target_name,kind,d,kappa,tau,state,distance_to_optimum,M,seed,backend,device,bias_base,bias_stl,var_eucl_base,var_eucl_stl,var_fr_base,var_fr_stl,ratio_euclidean,ratio_fr,var_eucl_base_exact,var_fr_base_exact,var_eucl_stl_exact,var_fr_stl_exact
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,0,torch,cuda,0.00995599466572664,0.0,10.941124895325512,0.0,1.9974307041495503,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,1,torch,cuda,0.0038930249318560326,0.0,10.996824668566,0.0,2.0007898596044016,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,2,torch,cuda,0.006237244279875251,0.0,10.97570463800642,0.0,1.9969961232060192,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,3,torch,cuda,0.002121615588603974,0.0,11.056170062820641,0.0,2.0060161393893168,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,4,torch,cuda,0.013069447936250382,0.0,11.112782549912145,0.0,2.0095750484509662,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,5,torch,cuda,0.008716709766463595,0.0,10.931096759969375,0.0,1.9997059915035225,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,6,torch,cuda,0.013275550809173418,0.0,10.964869692717011,0.0,1.98793076954097,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,7,torch,cuda,0.014262468599859706,0.0,10.943661348012574,0.0,1.9979678795590905,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,8,torch,cuda,0.005737774547231893,0.0,10.962294778118533,0.0,1.9979009557636545,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,9,torch,cuda,0.0007704020703281028,0.0,11.017457258935362,0.0,1.9980146823324945,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,10,torch,cuda,0.00417412857991948,0.0,11.071847574964028,0.0,2.0091974343352437,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,11,torch,cuda,0.004706399678354843,0.0,10.961921309497763,0.0,1.993240184339123,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,12,torch,cuda,0.022392470541105002,0.0,11.095877848336505,0.0,2.0024593938368334,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,13,torch,cuda,0.010396800179972005,0.0,10.972991796192868,0.0,1.9949534246956342,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,14,torch,cuda,0.012486418071633277,0.0,11.077465536757607,0.0,2.0026361052484836,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,15,torch,cuda,0.012826304941377488,0.0,10.948792859420308,0.0,1.9982342738245027,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,16,torch,cuda,0.01812050042542768,0.0,11.082450678341235,0.0,2.0158463436196223,0.0,0.0,0.0,11.0,2.0,0.0,0.0
gaussian,gaussian,2,10.0,0.0,optimum,0.0,100000,17,torch,cuda,0.008649643541218608,0.0,10.952968808291528,0.0,1.9964885722859163,0.0,0.0,0.0,11.0,2.0,0.0,0.0
