target_name,kind,method,scheme,stl,seed,d,kappa,tau,dt,batch_size,n_steps,tail_mean_gap,tail_median_gap,tail_std_gap,final_gap,tail_steps,spd_fail
gaussian,gaussian,kl,kl,0,13,2,10.0,0.0,0.1,1,2000,0.0526398637781934,0.0385892263767251,0.0464846494234024,0.0040246122194638,400,0
gaussian,gaussian,kl,kl,0,14,2,10.0,0.0,0.1,1,2000,0.0595685588411634,0.041436907807258,0.0557231460137068,0.0669845429717845,400,0
gaussian,gaussian,kl,kl,0,15,2,10.0,0.0,0.1,1,2000,0.0704239982269006,0.0478916218059403,0.0779804688670838,0.0414332977468545,400,0
gaussian,gaussian,kl,kl,0,16,2,10.0,0.0,0.1,1,2000,0.0522428303980008,0.0407527171842062,0.0484799735878636,0.0289806877429934,400,0
gaussian,gaussian,kl,kl,0,17,2,10.0,0.0,0.1,1,2000,0.0430709444827744,0.0313921733734686,0.0384405851341297,0.013861015678483,400,0
gaussian,gaussian,kl,kl,0,18,2,10.0,0.0,0.1,1,2000,0.05134688909817,0.0309272442237152,0.0593471145867238,0.0980671971896458,400,0
gaussian,gaussian,kl,kl,0,19,2,10.0,0.0,0.1,1,2000,0.0496082336781216,0.0370049889712814,0.0470371321170677,0.0612313424687407,400,0
gaussian,gaussian,riemannian,riemannian,0,0,2,10.0,0.0,0.1,4,2000,0.0135685132978695,0.0119773354866784,0.0109416391083226,0.0119799327788872,400,0
gaussian,gaussian,riemannian,riemannian,0,1,2,10.0,0.0,0.1,4,2000,0.0114637325215662,0.0080340950575995,0.0119635273619242,0.0221684122099812,400,0
gaussian,gaussian,riemannian,riemannian,0,2,2,10.0,0.0,0.1,4,2000,0.0140779816799944,0.0111352905823866,0.0116499379194486,0.0096405929720797,400,0
gaussian,gaussian,riemannian,riemannian,0,3,2,10.0,0.0,0.1,4,2000,0.0143319925197528,0.0084387688252774,0.0169844935068836,0.0035015553809125,400,0
gaussian,gaussian,riemannian,riemannian,0,4,2,10.0,0.0,0.1,4,2000,0.0165087437862753,0.0107719734456176,0.0168275799953366,0.0733829678590223,400,0
gaussian,gaussian,riemannian,riemannian,0,5,2,10.0,0.0,0.1,4,2000,0.0121346893322117,0.0083542073456247,0.012147563350083,0.0053089607877085,400,0
gaussian,gaussian,riemannian,riemannian,0,6,2,10.0,0.0,0.1,4,2000,0.0154425534988679,0.01165192699616,0.0138864704658839,0.0351100346427195,400,0
gaussian,gaussian,riemannian,riemannian,0,7,2,10.0,0.0,0.1,4,2000,0.0163714212863733,0.009783776611401,0.016107798865674,0.0137555047048529,400,0
gaussian,gaussian,riemannian,riemannian,0,8,2,10.0,0.0,0.1,4,2000,0.0086617505790767,0.005950802224961,0.0081200943839064,0.002113039421437,400,0
gaussian,gaussian,riemannian,riemannian,0,9,2,10.0,0.0,0.1,4,2000,0.0159744643678367,0.0124818881101654,0.0140029407230907,0.0296250049454671,400,0
gaussian,gaussian,riemannian,riemannian,0,10,2,10.0,0.0,0.1,4,2000,0.0111822849838936,0.0079007966073125,0.0106131786862041,0.0021010728824482,400,0
gaussian,gaussian,riemannian,riemannian,0,11,2,10.0,0.0,0.1,4,2000,0.0123357169748177,0.009760397726365,0.0108014970037694,0.032973004581859,400,0
gaussian,gaussian,riemannian,riemannian,0,12,2,10.0,0.0,0.1,4,2000,0.0127587703073778,0.0078403827164775,0.0142277631103705,0.0021733860436781,400,0
gaussian,gaussian,riemannian,riemannian,0,13,2,10.0,0.0,0.1,4,2000,0.0128608954040586,0.0084027232000689,0.0132804036562991,0.0069631372169847,400,0
gaussian,gaussian,riemannian,riemannian,0,14,2,10.0,0.0,0.1,4,2000,0.0120880386085883,0.0094868867707553,0.0107865003599185,0.0046513870347952,400,0
gaussian,gaussian,riemannian,riemannian,0,15,2,10.0,0.0,0.1,4,2000,0.0150719384372664,0.0097089878109917,0.01499226158504,0.0031447805662434,400,0
gaussian,gaussian,riemannian,riemannian,0,16,2,10.0,0.0,0.1,4,2000,0.0131125000045154,0.0092087193272863,0.0134294037915529,0.0015994019684821,400,0
gaussian,gaussian,riemannian,riemannian,0,17,2,10.0,0.0,0.1,4,2000,0.0129427525399997,0.009582981990034,0.0117706803875229,0.0024994702940877,400,0
