potential_family,N_theta,kappa_target,M_mc,Lambda_hat_full_sym_mean,Lambda_hat_full_sym_std,Lambda_hat_raw_forward_mean,Lambda_hat_raw_forward_std,Lambda_hat_diag_mean,Lambda_hat_diag_std,Lambda_hat_separable_exact_mean,Lambda_hat_separable_exact_std,Lambda_true_mean,Lambda_true_std,gamma_loc_mean,gamma_loc_std,gamma_true_mean,gamma_true_std,inverse_gamma_loc_mean,inverse_gamma_loc_std,full_sym_minus_exact_mean,full_sym_minus_exact_std,full_sym_minus_diag_mean,full_sym_minus_diag_std,full_sym_minus_gaussian_mean,full_sym_minus_gaussian_std,full_sym_minus_separable_mean,full_sym_minus_separable_std,full_sym_over_separable_mean,full_sym_over_separable_std,full_sym_minus_separable_exact_mean,full_sym_minus_separable_exact_std,diag_minus_exact_mean,diag_minus_exact_std,abs_diag_minus_exact_mean,abs_diag_minus_exact_std,gamma_minus_gaussian_mean,gamma_minus_gaussian_std,gamma_minus_separable_mean,gamma_minus_separable_std,inverse_gamma_minus_gaussian_inverse_mean,inverse_gamma_minus_gaussian_inverse_std,self_adjoint_error_H_sym_mean,self_adjoint_error_H_sym_std,self_adjoint_error_L_star_mean,self_adjoint_error_L_star_std,n_seeds,baseline_correction_status,is_largest_M_row
gaussian,16,5.0,8192,0.5039854463099156,0.011033023838611336,0.017027518035450093,0.024080546939285963,0.1676082716215471,0.027641468088034006,1.3831867155085286e-15,0.0,0.0,0.0,0.7474937455813792,0.019290277897754775,1.0,0.0,1.3382494600589658,0.034535678905218664,0.5039854463099143,0.011033023838611395,0.3363771746883686,0.0386744919266454,0.0,0.0,0.06281538707999595,0.02542818110474635,1.145261509034747,0.06964341780055218,0.5039854463099143,0.011033023838611395,0.1676082716215457,0.027641468088034006,0.1676082716215457,0.027641468088034006,0.0,0.0,0.07624194176594101,0.031023833636083825,0.0,0.0,4.440892098500626e-16,0.0,2.363930815421839e-15,8.413961124027786e-16,2,ok,False
gaussian,16,5.0,16384,0.35201144686111974,0.04985330414912759,3.7893598039165e-17,4.745844380645113e-17,0.10910622663658356,0.04975902305257213,1.3831867155085286e-15,0.0,0.0,0.0,0.818476999620484,0.01726086722231977,1.0,0.0,1.2220531829653694,0.02577188820157367,0.3520114468611183,0.04985330414912763,0.24290522022453614,9.428109655548098e-05,0.0,0.0,0.05124581696444108,0.12374770928153492,1.2278030765936272,0.4674107282871607,0.3520114468611183,0.04985330414912763,0.10910622663658218,0.04975902305257213,0.10910622663658218,0.04975902305257213,0.0,0.0,0.09452206310309952,0.016085628299579543,0.0,0.0,2.8506637511737065e-16,8.912624213076677e-17,1.5508985757099767e-15,1.2163074921062258e-15,2,ok,False
gaussian,16,5.0,32768,0.24734810473262664,0.009144131721129323,0.001463442436987099,0.0020696201421394785,0.0681431858842711,0.022247014963131653,1.3831867155085286e-15,0.0,0.0,0.0,0.8677687020578235,0.0095993270315174,1.0,0.0,1.1524513227800641,0.012748509031308057,0.24734810473262525,0.009144131721129323,0.17920491884835554,0.013102883242002322,0.0,0.0,0.054991687827774374,0.04170380787862407,1.3259270725162868,0.30296118483368695,0.24734810473262525,0.009144131721129323,0.06814318588426971,0.022247014963131646,0.06814318588426971,0.022247014963131646,0.0,0.0,0.11058547759607068,0.03246566024086497,0.0,0.0,1.1102230246251565e-16,0.0,2.0833651103243597e-15,4.341752605015885e-16,2,ok,False
gaussian,16,5.0,65536,0.18559174778131396,0.00037649156726115364,0.003490062036103317,0.0049356930649807566,0.0619926613035358,0.006074522770731288,1.3831867155085286e-15,0.0,0.0,0.0,0.9049956533159638,0.008247191025139928,1.0,0.0,1.1050235667966888,0.010070037805443549,0.18559174778131257,0.00037649156726115364,0.12359908647777818,0.006451014337992446,0.0,0.0,0.042037212783595373,0.037700993055464704,1.3384109819611552,0.35061249897885977,0.18559174778131257,0.00037649156726115364,0.06199266130353441,0.006074522770731281,0.06199266130353441,0.006074522770731281,0.0,0.0,0.11964146976047807,0.032752322019793265,0.0,0.0,1.249000902703301e-16,1.962615573354719e-17,5.65874221168263e-15,4.662261800525781e-16,2,ok,False
gaussian,16,5.0,131072,0.12004044771123835,0.006306145408251785,4.038365461362407e-18,1.9123032355512466e-18,0.037519669669033175,0.01394982954634747,1.3831867155085286e-15,0.0,0.0,0.0,0.930675833495474,0.004927623617088813,1.0,0.0,1.074503044973571,0.005689141579146275,0.12004044771123697,0.006306145408251785,0.08252077804220517,0.020255974954599264,0.0,0.0,0.015402492397014897,0.04571568042573673,1.246988529082323,0.5299165426638109,0.12004044771123697,0.006306145408251785,0.037519669669031794,0.013949829546347473,0.037519669669031794,0.013949829546347473,0.0,0.0,0.1348520479537042,0.039287820549989964,0.0,0.0,8.326672684688674e-17,3.925231146709438e-17,1.1597757101874066e-15,1.1296780410872517e-15,2,ok,False
gaussian,16,5.0,262144,0.08641846914261726,0.007843829603661019,0.0020938454601028295,0.00296114464719075,0.028972449403235137,0.0008335564839680835,1.3831867155085286e-15,0.0,0.0,0.0,0.9535279685462266,0.003653521447810893,1.0,0.0,1.048744634194879,0.0040183519945924786,0.08641846914261588,0.007843829603661019,0.057446019739382126,0.008677386087629102,0.0,0.0,0.0031642763603884558,0.06263202648124763,1.3644651923995945,0.9921472353173272,0.08641846914261588,0.007843829603661019,0.028972449403233753,0.0008335564839680835,0.028972449403233753,0.0008335564839680835,0.0,0.0,0.15918550880346705,0.0492585437559421,0.0,0.0,7.28583859910259e-17,1.471961680016039e-17,2.099464952352598e-15,5.566289582503095e-16,2,ok,True
gaussian,32,5.0,8192,1.5503737321718007,0.0263677147978671,0.16655752584295241,0.03564240105351241,0.499132460608824,0.009100635452298896,1.3831867155085286e-15,0.0,0.0,0.0,0.3080918968355759,0.004637343127822709,1.0,0.0,3.246152533438098,0.048860496810915255,1.5503737321717994,0.0263677147978671,1.0512412715629766,0.01726707934556822,0.0,0.0,0.24304053370567236,0.03499961216572325,1.185998014804882,0.02799984578001402,1.5503737321717994,0.0263677147978671,0.49913246060882266,0.009100635452298955,0.49913246060882266,0.009100635452298955,0.0,0.0,0.07434896068909966,0.037522572863629595,0.0,0.0,9.298117831235686e-16,2.5514002453611344e-16,2.5622797795054642e-15,1.111462880876931e-15,2,ok,False
gaussian,32,5.0,16384,1.0472583367649824,0.0507583317050426,0.03103692259485094,0.012474174841212224,0.2687960859129708,0.013749329766426172,1.3831867155085286e-15,0.0,0.0,0.0,0.49188929291493455,0.03161625327312795,1.0,0.0,2.037185881025416,0.1309404081500882,1.047258336764981,0.0507583317050426,0.7784622508520115,0.037009001938616344,0.0,0.0,0.20827403420104618,0.03388800918139978,1.2478894642446634,0.03540713917840631,1.047258336764981,0.0507583317050426,0.2687960859129694,0.013749329766426172,0.2687960859129694,0.013749329766426172,0.0,0.0,0.027318101225442537,0.053010360034600315,0.0,0.0,6.112150673440255e-16,2.34676083313937e-16,2.1899558741441543e-15,1.9272305695747904e-15,2,ok,False
gaussian,32,5.0,32768,0.7304083500939831,0.01820382600604405,0.01104634110989444,0.015621885412212131,0.18061452502427433,0.007341836226866723,1.3831867155085286e-15,0.0,0.0,0.0,0.6380329817301017,0.02014576739754105,1.0,0.0,1.5680987683009817,0.049512413851867984,0.7304083500939818,0.01820382600604405,0.5497938250697088,0.010861989779177295,0.0,0.0,0.09985264087981016,0.00202524775610349,1.1584896524307804,0.008296406723812724,0.7304083500939818,0.01820382600604405,0.18061452502427294,0.007341836226866723,0.18061452502427294,0.007341836226866723,0.0,0.0,0.06318317058372841,0.03186746552404143,0.0,0.0,5.601993577933145e-16,7.195300082115923e-18,4.440892098500626e-15,1.2560739669470201e-15,2,ok,False
gaussian,32,5.0,65536,0.5207846725210867,0.005027904344568877,0.009204958699876963,0.013017777434450154,0.1151949662108393,0.029478210294202032,1.3831867155085286e-15,0.0,0.0,0.0,0.7425121850839731,0.011424116129117269,1.0,0.0,1.3469386697561234,0.020723678467784938,0.5207846725210854,0.005027904344568877,0.40558970631024743,0.03450611463877092,0.0,0.0,0.08036556511234838,0.0013003874655028536,1.1824692414111961,0.00140827288779862,0.5207846725210854,0.005027904344568877,0.11519496621083791,0.029478210294202032,0.11519496621083791,0.029478210294202032,0.0,0.0,0.061953863936012155,0.023938271904608188,0.0,0.0,3.885780586188048e-16,7.850462293418876e-17,3.552713678800501e-15,0.0,2,ok,False
