target_name,Lambda,epsilon,dt,c,h,batches_to_1e_minus_3,gap_final,spd_feasible,monotone,status
smooth_log_cosh,100.0,0.01,0.05,0.0,0.0,205,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.05,0.25,0.024603936235082065,198,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.05,0.5,0.04920787247016413,158,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.05,0.9,0.08857417044629544,122,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.1,0.0,0.0,105,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.1,0.25,0.024603936235082065,120,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.1,0.5,0.04920787247016413,100,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.1,0.9,0.08857417044629544,82,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.2,0.0,0.0,55,2.6645352591003757e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.2,0.25,0.024603936235082065,72,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.2,0.5,0.04920787247016413,62,2.6645352591003757e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.2,0.9,0.08857417044629544,54,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.5,0.0,0.0,25,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.5,0.25,0.024603936235082065,38,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.5,0.5,0.04920787247016413,34,2.6645352591003757e-15,1,1,ok
smooth_log_cosh,100.0,0.01,0.5,0.9,0.08857417044629544,30,2.6645352591003757e-15,1,1,ok
smooth_log_cosh,100.0,0.01,1.0,0.0,0.0,16,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.01,1.0,0.25,0.024603936235082065,26,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.01,1.0,0.5,0.04920787247016413,24,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.01,1.0,0.9,0.08857417044629544,22,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.05,0.0,0.0,252,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.05,0.25,0.024603936235082065,200,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.05,0.5,0.04920787247016413,158,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.05,0.9,0.08857417044629544,122,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.1,0.0,0.0,129,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.1,0.25,0.024603936235082065,120,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.1,0.5,0.04920787247016413,100,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.1,0.9,0.08857417044629544,82,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.2,0.0,0.0,67,2.6645352591003757e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.2,0.25,0.024603936235082065,72,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.2,0.5,0.04920787247016413,62,2.6645352591003757e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.2,0.9,0.08857417044629544,54,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.5,0.0,0.0,31,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.5,0.25,0.024603936235082065,38,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.5,0.5,0.04920787247016413,34,2.6645352591003757e-15,1,1,ok
smooth_log_cosh,100.0,0.001,0.5,0.9,0.08857417044629544,30,2.6645352591003757e-15,1,1,ok
smooth_log_cosh,100.0,0.001,1.0,0.0,0.0,19,2.886579864025407e-15,1,1,ok
smooth_log_cosh,100.0,0.001,1.0,0.25,0.024603936235082065,26,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.001,1.0,0.5,0.04920787247016413,24,3.1086244689504383e-15,1,1,ok
smooth_log_cosh,100.0,0.001,1.0,0.9,0.08857417044629544,22,2.886579864025407e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.05,0.0,0.0,205,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.05,0.25,0.0024962304655524454,308,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.05,0.5,0.004992460931104891,280,2.220446049250313e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.05,0.9,0.008986429675988804,252,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.1,0.0,0.0,105,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.1,0.25,0.0024962304655524454,170,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.1,0.5,0.004992460931104891,156,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.1,0.9,0.008986429675988804,144,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.2,0.0,0.0,55,1.7763568394002505e-15,1,1,ok
