target_name,lambda,method,dt,T,N,F0,F_final,gap_final,gap_min,spd_feasible,stable,monotone,accurate,num_energy_increases,max_energy_increase,max_gap_ratio,min_eig_C_min,max_eig_C_max,wall_time_total,time_to_gap_1e_minus_4,time_to_gap_1e_minus_6,iter_to_gap_1e_minus_4,iter_to_gap_1e_minus_6,terminal_accuracy_error,failed_at_step
gaussian_posterior,0.01,riemannian,0.001,15.0,15000,50.76,-1.3025850928042262,1.8981971550147136e-10,1.8981971550147136e-10,1,1,1,1,0,-3.8036240823657863e-13,1.0,0.5,99.99850939314446,0.9927523259999735,8.408,10.717,8408,10717,8.556136916860936e-07,-1
gaussian_posterior,0.01,riemannian,0.002,15.0,7500,50.76,-1.3025850928062606,1.8778534283114823e-10,1.8778534283114823e-10,1,1,1,1,0,-7.533973445106312e-13,1.0,0.5,99.9985176498094,0.41588496699997357,8.406,10.714,4203,5357,1.7079814416989897e-06,-1
gaussian_posterior,0.01,riemannian,0.005,15.0,3000,50.76,-1.302585092812248,1.8179791005934476e-10,1.8179791005934476e-10,1,1,1,1,0,-1.8318679906315083e-12,1.0,0.5,99.99854220857712,0.1809470490000269,8.4,10.705,1680,2141,4.2456860940469676e-06,-1
gaussian_posterior,0.01,riemannian,0.01,15.0,1500,50.76,-1.30258509282185,1.721958131639667e-10,1.721958131639667e-10,1,1,1,1,0,-3.496092304544618e-12,1.0,0.5,99.99858244187904,0.09596407899997406,8.39,10.69,839,1069,8.410990677057228e-06,-1
gaussian_posterior,0.01,riemannian,0.02,15.0,750,50.76,-1.3025850928397122,1.5433365696537749e-10,1.5433365696537749e-10,1,1,1,1,0,-6.363132243336622e-12,1.0,0.5,99.99866033662633,0.04938110900000847,8.38,10.66,419,533,1.650426949754528e-05,-1
gaussian_posterior,0.01,riemannian,0.05,15.0,300,50.76,-1.3025850928838343,1.1021161760993436e-10,1.1021161760993436e-10,1,1,1,1,0,-1.1906253760685104e-11,1.0,0.5,99.9988743434282,0.021903711000003767,8.35,10.600000000000001,167,212,3.895359405662259e-05,-1
gaussian_posterior,0.01,riemannian,0.1,15.0,150,50.76,-1.3025850929329816,6.106426475582794e-11,6.106426475582794e-11,1,1,1,1,0,-1.432365337450392e-11,1.0,0.5,99.99917121741862,0.011094282999999372,8.3,10.4,83,104,7.071433951403566e-05,-1
gaussian_posterior,0.01,riemannian,0.2,15.0,75,50.76,-1.3025850929775507,1.6495249610670726e-11,1.6495249610670726e-11,1,1,1,1,0,-9.278133816792433e-12,1.0,0.5,99.99958103357409,0.005545455000004473,8.0,10.200000000000001,40,51,0.00011625406436276414,-1
gaussian_posterior,0.01,riemannian,0.5,15.0,30,50.76,-1.3025850929939826,6.328271240363392e-14,6.328271240363392e-14,1,1,1,1,0,-1.9118040484045196e-13,1.0,0.5,99.99997747491115,0.0022382059999994652,7.5,9.5,15,19,0.00016466400973161243,-1
gaussian_posterior,0.01,riemannian,1.0,15.0,15,50.76,-1.302585092994046,0.0,0.0,1,1,1,1,0,0.0,1.0,0.5,100.0,0.001117916999998414,7.0,7.0,7,7,0.00016805964603848375,-1
gaussian_posterior,0.01,riemannian,2.0,15.0,8,50.76,-1.1976688707666394,0.10491622222740649,0.06270104554011935,1,1,0,0,3,0.08637505403455736,1.0,0.5,120.25404791166245,0.0006048350000007474,inf,inf,-1,-1,4.165067374898499,-1
gaussian_posterior,0.01,riemannian,5.0,15.0,3,50.76,97683.33474179782,97684.63732689082,52.06258509299404,1,0,0,0,2,97575.06321440356,1876.3947112170872,5.360482236949852e-11,268.579559369871,0.0002309999999994261,inf,inf,-1,-1,456.6162306592913,-1
gaussian_posterior,0.01,riemannian,10.0,15.0,2,50.76,inf,inf,52.06258509299404,0,0,0,0,2,inf,inf,0.0,36067.489855657026,0.00015583400000007686,inf,inf,-1,-1,inf,2
gaussian_posterior,0.01,kl,0.001,15.0,15000,50.76,-1.3025850928021674,1.9187851307833625e-10,1.9187851307833625e-10,1,1,1,1,0,-3.8391512191537913e-13,1.0,0.5,99.99848982480135,1.5490660569999486,8.411,10.721,8411,10721,5.133152677550045e-07,-1
gaussian_posterior,0.01,kl,0.002,15.0,7500,50.76,-1.302585092802146,1.9189982936040906e-10,1.9189982936040906e-10,1,1,1,1,0,-7.696066006701585e-13,1.0,0.5,99.99847847887463,0.9223955769999979,8.412,10.722,4206,5361,1.0268973095711678e-06,-1
gaussian_posterior,0.01,kl,0.005,15.0,3000,50.76,-1.3025850928019813,1.9206458645726343e-10,1.9206458645726343e-10,1,1,1,1,0,-1.9317880628477724e-12,1.0,0.5,99.99844401984659,0.37813899799998474,8.42,10.725,1684,2145,2.5692697425394057e-06,-1
gaussian_posterior,0.01,kl,0.01,15.0,1500,50.76,-1.3025850928013654,1.9268053819132547e-10,1.9268053819132547e-10,1,1,1,1,0,-3.898437128668775e-12,1.0,0.5,99.99838516411141,0.17390366599994778,8.43,10.73,843,1073,5.145456745475999e-06,-1
gaussian_posterior,0.01,kl,0.02,15.0,750,50.76,-1.3025850927987948,1.9525114858254256e-10,1.9525114858254256e-10,1,1,1,1,0,-7.987610572968151e-12,1.0,0.5,99.99826196022788,0.08627997400000531,8.44,10.76,422,538,1.0319831371500662e-05,-1
gaussian_posterior,0.01,kl,0.05,15.0,300,50.76,-1.3025850927790041,2.1504176217490567e-10,2.1504176217490567e-10,1,1,1,1,0,-2.2588597659023435e-11,1.0,0.5,99.99784524944623,0.03492167099998866,8.5,10.8,170,216,2.6042841431499633e-05,-1
gaussian_posterior,0.01,kl,0.1,15.0,150,50.76,-1.3025850926932918,3.007540883004367e-10,3.007540883004367e-10,1,1,1,1,0,-6.49076348224753e-11,1.0,0.5,99.99697113336018,0.017405167999983817,8.6,10.9,86,109,5.309158960352234e-05,-1
gaussian_posterior,0.01,kl,0.2,15.0,75,50.76,-1.3025850921622184,8.318274957730409e-10,8.318274957730409e-10,1,1,1,1,0,-3.702886886003398e-10,1.0,0.5,99.99435611553653,0.008407296000005005,8.8,11.200000000000001,44,56,0.00011196926045936646,-1
gaussian_posterior,0.01,kl,0.5,15.0,30,50.76,-1.302585076665904,1.6328141949628616e-08,1.6328141949628616e-08,1,1,1,1,0,-2.0407022516266693e-08,1.0,0.5,99.97445256263427,0.0034579200000006693,10.0,12.5,20,25,0.00037473477382677885,-1
gaussian_posterior,0.01,kl,1.0,15.0,15,50.76,-1.3025845348475722,5.581464737058894e-07,5.581464737058894e-07,1,1,1,1,0,-1.6700034188854573e-06,1.0,0.5,99.8506871438584,0.001635167999996412,12.0,15.0,12,15,0.0016311590348559554,-1
gaussian_posterior,0.01,kl,2.0,15.0,8,50.76,-1.3023028173465172,0.00028227564752869583,0.00028227564752869583,1,1,1,0,0,-0.0001332558764866043,1.0,0.5,99.25869894099851,0.0008922510000015649,inf,inf,-1,-1,0.2389616176975696,-1
gaussian_posterior,0.01,kl,5.0,15.0,3,50.76,18140.627023210403,18141.9296083034,52.06258509299404,1,0,0,0,3,16927.163597452436,348.4638647101049,0.5,81.50943396226414,0.0003402079999990093,inf,inf,-1,-1,190.72238519694437,-1
gaussian_posterior,0.01,kl,10.0,15.0,2,50.76,53354.5010958724,53355.80368096539,52.06258509299404,1,0,0,0,2,52555.04195063219,1024.8396921831948,0.5,71.1764705882353,0.00022791600000182655,inf,inf,-1,-1,327.0228940262347,-1
gaussian_posterior,0.1,riemannian,0.001,15.0,15000,55.35,-0.1512925464666215,3.0401459127915587e-11,3.0401459127915587e-11,1,1,1,1,0,-6.084022174945858e-14,1.0,0.5,9.999987845625466,1.2889893000001393,7.5,9.802,7500,9802,1.130083571676983e-07,-1
