target,lambda,method,c,dt,eps,N_obs,T_obs,obs_status,N_theory,T_theory,theory_status,N_theory_over_N_obs
gaussian_posterior,0.1,riemannian,0.25,0.025,1e-06,389,9.725000000000001,reached,8143,203.57500000000002,ok,20.933161953727506
gaussian_posterior,0.1,riemannian,0.25,0.025,1e-08,480,12.0,reached,10246,256.15000000000003,ok,21.345833333333335
gaussian_posterior,0.1,riemannian,0.5,0.05,0.0001,148,7.4,reached,3521,176.05,ok,23.79054054054054
gaussian_posterior,0.1,riemannian,0.5,0.05,1e-06,193,9.65,reached,4747,237.35000000000002,ok,24.59585492227979
gaussian_posterior,0.1,riemannian,0.5,0.05,1e-08,237,11.850000000000001,reached,5972,298.6,ok,25.19831223628692
gaussian_posterior,0.1,riemannian,0.75,0.07500000000000001,0.0001,98,7.350000000000001,reached,2816,211.20000000000005,ok,28.73469387755102
gaussian_posterior,0.1,riemannian,0.75,0.07500000000000001,1e-06,127,9.525000000000002,reached,3796,284.70000000000005,ok,29.88976377952756
gaussian_posterior,0.1,riemannian,0.75,0.07500000000000001,1e-08,157,11.775000000000002,reached,4776,358.20000000000005,ok,30.420382165605094
gaussian_posterior,0.1,riemannian,1.0,0.1,0.0001,73,7.300000000000001,reached,2639,263.90000000000003,ok,36.15068493150685
gaussian_posterior,0.1,riemannian,1.0,0.1,1e-06,94,9.4,reached,3558,355.8,ok,37.851063829787236
gaussian_posterior,0.1,riemannian,1.0,0.1,1e-08,116,11.600000000000001,reached,4477,447.70000000000005,ok,38.5948275862069
gaussian_posterior,0.1,kl,0.05,0.005000000000000001,0.0001,1499,7.495000000000002,reached,111654,558.2700000000001,ok,74.48565710473649
gaussian_posterior,0.1,kl,0.05,0.005000000000000001,1e-06,1959,9.795000000000002,reached,150529,752.6450000000001,ok,76.83971413986728
gaussian_posterior,0.1,kl,0.05,0.005000000000000001,1e-08,2418,12.090000000000002,reached,189403,947.0150000000002,ok,78.33043837882548
gaussian_posterior,0.1,kl,0.1,0.010000000000000002,0.0001,749,7.490000000000001,reached,58774,587.7400000000001,ok,78.46995994659547
gaussian_posterior,0.1,kl,0.1,0.010000000000000002,1e-06,978,9.780000000000001,reached,79237,792.3700000000001,ok,81.01942740286299
gaussian_posterior,0.1,kl,0.1,0.010000000000000002,1e-08,1207,12.070000000000002,reached,99700,997.0000000000002,ok,82.60149130074565
gaussian_posterior,0.1,kl,0.25,0.025,0.0001,299,7.4750000000000005,reached,27109,677.725,ok,90.66555183946488
gaussian_posterior,0.1,kl,0.25,0.025,1e-06,390,9.75,reached,36547,913.6750000000001,ok,93.7102564102564
gaussian_posterior,0.1,kl,0.25,0.025,1e-08,481,12.025,reached,45985,1149.625,ok,95.6029106029106
gaussian_posterior,0.1,kl,0.5,0.05,0.0001,149,7.45,reached,16660,833.0,ok,111.81208053691275
gaussian_posterior,0.1,kl,0.5,0.05,1e-06,194,9.700000000000001,reached,22460,1123.0,ok,115.77319587628865
gaussian_posterior,0.1,kl,0.5,0.05,1e-08,238,11.9,reached,28260,1413.0,ok,118.73949579831933
gaussian_posterior,0.1,kl,0.75,0.07500000000000001,0.0001,99,7.425000000000001,reached,13265,994.8750000000001,ok,133.989898989899
gaussian_posterior,0.1,kl,0.75,0.07500000000000001,1e-06,128,9.600000000000001,reached,17883,1341.2250000000001,ok,139.7109375
gaussian_posterior,0.1,kl,0.75,0.07500000000000001,1e-08,158,11.850000000000001,reached,22501,1687.5750000000003,ok,142.41139240506328
gaussian_posterior,0.1,kl,1.0,0.1,0.0001,74,7.4,reached,11633,1163.3,ok,157.2027027027027
gaussian_posterior,0.1,kl,1.0,0.1,1e-06,96,9.600000000000001,reached,15684,1568.4,ok,163.375
gaussian_posterior,0.1,kl,1.0,0.1,1e-08,118,11.8,reached,19734,1973.4,ok,167.23728813559322
gaussian_posterior,1.0,riemannian,0.05,0.025,0.0001,289,7.2250000000000005,reached,560,14.0,ok,1.9377162629757785
gaussian_posterior,1.0,riemannian,0.05,0.025,1e-06,380,9.5,reached,747,18.675,ok,1.9657894736842105
gaussian_posterior,1.0,riemannian,0.05,0.025,1e-08,471,11.775,reached,934,23.35,ok,1.9830148619957537
gaussian_posterior,1.0,riemannian,0.1,0.05,0.0001,143,7.15,reached,284,14.200000000000001,ok,1.986013986013986
gaussian_posterior,1.0,riemannian,0.1,0.05,1e-06,188,9.4,reached,379,18.95,ok,2.015957446808511
gaussian_posterior,1.0,riemannian,0.1,0.05,1e-08,233,11.65,reached,474,23.700000000000003,ok,2.0343347639484977
gaussian_posterior,1.0,riemannian,0.25,0.125,0.0001,56,7.0,reached,120,15.0,ok,2.142857142857143
gaussian_posterior,1.0,riemannian,0.25,0.125,1e-06,73,9.125,reached,160,20.0,ok,2.191780821917808
gaussian_posterior,1.0,riemannian,0.25,0.125,1e-08,90,11.25,reached,199,24.875,ok,2.2111111111111112
gaussian_posterior,1.0,riemannian,0.5,0.25,0.0001,26,6.5,reached,67,16.75,ok,2.576923076923077
gaussian_posterior,1.0,riemannian,0.5,0.25,1e-06,34,8.5,reached,89,22.25,ok,2.6176470588235294
gaussian_posterior,1.0,riemannian,0.5,0.25,1e-08,42,10.5,reached,111,27.75,ok,2.642857142857143
gaussian_posterior,1.0,riemannian,0.75,0.375,0.0001,17,6.375,reached,52,19.5,ok,3.0588235294117645
gaussian_posterior,1.0,riemannian,0.75,0.375,1e-06,22,8.25,reached,69,25.875,ok,3.1363636363636362
