construction,K,kappa_star_lower,kappa_star_upper,t_end,radius_ratio_end,certified_mean_gap_ratio_end,fitted_radial_rate,K_times_fitted_rate,time_to_radius_threshold,time_over_K,max_normalized_phase,min_radius_over_r0,min_covariance_eigenvalue,containment_pass
logarithmic_spiral,16,16.0,16.48,0.192,0.966685225621509,0.9344803254349079,0.17647058823524375,2.8235294117639,0.11448201332811073,0.00715512583300692,0.11833790381388098,7.142889025333264,0.03254282631612655,True
logarithmic_spiral,24,24.0,24.72,0.28800000000000003,0.9660303761250321,0.9332146875962709,0.11999999999997335,2.8799999999993604,0.16835591233762767,0.007014829680734486,0.040954249485025684,7.138052178379119,0.021489700771808576,True
logarithmic_spiral,32,32.0,32.96,0.384,0.9656932025583501,0.9325633614674026,0.09090909090910254,2.9090909090912813,0.22222979155499722,0.006944680986093663,0.02423774276394397,7.135561064471906,0.01602016173700022,True
logarithmic_spiral,48,48.0,49.44,0.5760000000000001,0.96534926920886,0.93189921156208,0.061224489796089146,2.9387755102122792,0.3299775969181238,0.006874533269127579,0.012764097618855885,7.13301985099161,0.010604858990853151,True
logarithmic_spiral,64,64.0,65.92,0.768,0.9651747037759073,0.9315622088089104,0.046153846154524704,2.953846153889581,0.4377253645236564,0.006839458820682131,0.00693557012709789,7.131730012017823,0.007922133790362298,True
