method,variant,progress,elapsed_time,error,phase
continuous,continuous,0.0,0.0,13107200.000000017,global
continuous,continuous,0.052305094388765294,0.052305094388765294,13063098.569840318,global
continuous,continuous,0.10461018877753059,0.10461018877753059,13016952.891693316,global
continuous,continuous,0.15691528316629588,0.15691528316629588,12968684.612564985,global
continuous,continuous,0.20922037755506118,0.20922037755506118,12918216.443839747,global
continuous,continuous,0.26152547194382647,0.26152547194382647,12865468.335622568,global
continuous,continuous,0.31383056633259176,0.31383056633259176,12810358.904423987,global
continuous,continuous,0.36613566072135706,0.36613566072135706,12752806.472984754,global
continuous,continuous,0.41844075511012235,0.41844075511012235,12692729.378211228,global
continuous,continuous,0.47074584949888765,0.47074584949888765,12630046.392154234,global
continuous,continuous,0.5230509438876529,0.5230509438876529,12564674.59797267,global
continuous,continuous,0.5753560382764182,0.5753560382764182,12496531.684757736,global
continuous,continuous,0.6276611326651835,0.6276611326651835,12425537.056072969,global
continuous,continuous,0.6799662270539488,0.6799662270539488,12351613.007588217,global
continuous,continuous,0.7322713214427141,0.7322713214427141,12274682.05877259,global
continuous,continuous,0.7845764158314794,0.7845764158314794,12194667.622644389,global
continuous,continuous,0.8368815102202447,0.8368815102202447,12111499.275403151,global
continuous,continuous,0.88918660460901,0.88918660460901,12025104.72736684,global
continuous,continuous,0.9414916989977753,0.9414916989977753,11935420.300778698,global
continuous,continuous,0.9937967933865406,0.9937967933865406,11842382.932805806,global
continuous,continuous,1.0461018877753059,1.0461018877753059,11745936.478523483,global
continuous,continuous,1.0984069821640712,1.0984069821640712,11646031.382188262,global
continuous,continuous,1.1507120765528365,1.1507120765528365,11542622.287455427,global
continuous,continuous,1.2030171709416018,1.2030171709416018,11435667.15162929,global
continuous,continuous,1.255322265330367,1.255322265330367,11325147.3224886,global
continuous,continuous,1.3076273597191324,1.3076273597191324,11211019.564021224,global
continuous,continuous,1.3599324541078976,1.3599324541078976,11093229.279091235,global
continuous,continuous,1.412237548496663,1.412237548496663,10971762.760507058,global
continuous,continuous,1.4645426428854282,1.4645426428854282,10846619.11598925,global
continuous,continuous,1.5168477372741935,1.5168477372741935,10717807.755551038,global
continuous,continuous,1.5691528316629588,1.5691528316629588,10585348.969346767,global
continuous,continuous,1.6214579260517241,1.6214579260517241,10449274.465749891,global
continuous,continuous,1.6737630204404894,1.6737630204404894,10309627.86081876,global
continuous,continuous,1.7260681148292547,1.7260681148292547,10166465.11039348,global
continuous,continuous,1.77837320921802,1.77837320921802,10019854.875530627,global
continuous,continuous,1.8306783036067853,1.8306783036067853,9869878.812465852,global
continuous,continuous,1.8829833979955506,1.8829833979955506,9716631.778909823,global
continuous,continuous,1.9352884923843159,1.9352884923843159,9560221.948524037,global
continuous,continuous,1.9875935867730812,1.9875935867730812,9400770.826569434,global
continuous,continuous,2.0398986811618465,2.0398986811618465,9238413.160627937,global
continuous,continuous,2.0922037755506118,2.0922037755506118,9073296.741220143,global
continuous,continuous,2.144508869939377,2.144508869939377,8905582.088792888,global
continuous,continuous,2.1968139643281424,2.1968139643281424,8735442.024950286,global
continuous,continuous,2.2491190587169076,2.2491190587169076,8563061.127157602,global
continuous,continuous,2.301424153105673,2.301424153105673,8388635.068269681,global
continuous,continuous,2.3537292474944382,2.3537292474944382,8212369.844208535,global
continuous,continuous,2.4060343418832035,2.4060343418832035,8034480.894154246,global
continuous,continuous,2.458339436271969,2.458339436271969,7855192.120116598,global
continuous,continuous,2.510644530660734,2.510644530660734,7674734.815050134,global
continuous,continuous,2.5629496250494994,2.5629496250494994,7493346.508800427,global
continuous,continuous,2.6152547194382647,2.6152547194382647,7311269.743879248,global
continuous,continuous,2.66755981382703,2.66755981382703,7128750.794770757,global
continuous,continuous,2.7198649082157953,2.7198649082157953,6946038.344171345,global
continuous,continuous,2.7721700026045606,2.7721700026045606,6763382.1311948085,global
continuous,continuous,2.824475096993326,2.824475096993326,6581031.587694764,global
continuous,continuous,2.876780191382091,2.876780191382091,6399234.478198162,global
continuous,continuous,2.9290852857708565,2.9290852857708565,6218235.558744153,global
continuous,continuous,2.9813903801596218,2.9813903801596218,6038275.270514067,global
continuous,continuous,3.033695474548387,3.033695474548387,5859588.48311311,global
continuous,continuous,3.0860005689371524,3.0860005689371524,5682403.300384824,global
continuous,continuous,3.1383056633259176,3.1383056633259176,5506939.941744033,global
continuous,continuous,3.190610757714683,3.190610757714683,5333409.710524319,global
continuous,continuous,3.2429158521034482,3.2429158521034482,5162014.057898839,global
continuous,continuous,3.2952209464922135,3.2952209464922135,4992943.75058272,global
continuous,continuous,3.347526040880979,3.347526040880979,4826378.148469993,global
continuous,continuous,3.399831135269744,3.399831135269744,4662484.595783808,global
continuous,continuous,3.4521362296585094,3.4521362296585094,4501417.928121859,global
continuous,continuous,3.5044413240472747,3.5044413240472747,4343320.09597833,global
continuous,continuous,3.55674641843604,3.55674641843604,4188319.9032900883,global
continuous,continuous,3.6090515128248053,3.6090515128248053,4036532.8581317984,global
continuous,continuous,3.6613566072135706,3.6613566072135706,3888061.131370109,global
continuous,continuous,3.713661701602336,3.713661701602336,3742993.61763317,global
continuous,continuous,3.765966795991101,3.765966795991101,3601406.0920398375,global
continuous,continuous,3.8182718903798665,3.8182718903798665,3463361.4552212474,global
continuous,continuous,3.8705769847686318,3.8705769847686318,3328910.05827905,global
continuous,continuous,3.922882079157397,3.922882079157397,3198090.099340757,global
continuous,continuous,3.9751871735461624,3.9751871735461624,3070928.082665289,global
continuous,continuous,4.027492267934928,4.027492267934928,2947439.331043717,global
continuous,continuous,4.079797362323693,4.079797362323693,2827628.5428632814,global
continuous,continuous,4.132102456712458,4.132102456712458,2711490.3849617243,global
continuous,continuous,4.1844075511012235,4.1844075511012235,2599010.112550804,global
continuous,continuous,4.236712645489989,4.236712645489989,2490164.2083898894,global
continuous,continuous,4.289017739878754,4.289017739878754,2384921.0338081024,global
continuous,continuous,4.341322834267519,4.341322834267519,2283241.484296647,global
continuous,continuous,4.393627928656285,4.393627928656285,2185079.643365509,global
continuous,continuous,4.4459330230450504,4.4459330230450504,2090383.4293666314,global
continuous,continuous,4.498238117433815,4.498238117433815,1999095.2298540375,global
continuous,continuous,4.55054321182258,4.55054321182258,1911152.5190240506,global
continuous,continuous,4.602848306211346,4.602848306211346,1826488.4550696854,global
continuous,continuous,4.655153400600112,4.655153400600112,1745032.4538832465,global
continuous,continuous,4.7074584949888765,4.7074584949888765,1666710.7365575044,global
continuous,continuous,4.759763589377641,4.759763589377641,1591446.8491745498,global
continuous,continuous,4.812068683766407,4.812068683766407,1519162.153170885,global
continuous,continuous,4.864373778155173,4.864373778155173,1449776.2851891743,global
continuous,continuous,4.916678872543938,4.916678872543938,1383207.586184654,global
continuous,continuous,4.9689839669327025,4.9689839669327025,1319373.4995835458,global
continuous,continuous,5.021289061321468,5.021289061321468,1258190.9384151108,global
continuous,continuous,5.073594155710234,5.073594155710234,1199576.622088781,global
continuous,continuous,5.125899250098999,5.125899250098999,1143447.3836538803,global
continuous,continuous,5.178204344487764,5.178204344487764,1089720.4480958215,global
continuous,continuous,5.230509438876529,5.230509438876529,1038313.6829101132,global
continuous,continuous,5.282814533265295,5.282814533265295,989145.8223679552,global
continuous,continuous,5.33511962765406,5.33511962765406,942136.6663933329,global
continuous,continuous,5.387424722042825,5.387424722042825,897207.2555678564,global
continuous,continuous,5.439729816431591,5.439729816431591,854280.023865455,global
continuous,continuous,5.492034910820356,5.492034910820356,813278.9302859128,global
continuous,continuous,5.544340005209121,5.544340005209121,774129.5708552921,global
continuous,continuous,5.596645099597886,5.596645099597886,736759.2726162577,global
continuous,continuous,5.648950193986652,5.648950193986652,701097.1708641407,global
continuous,continuous,5.7012552883754175,5.7012552883754175,667074.2708901938,global
continuous,continuous,5.753560382764182,5.753560382764182,634623.4957670084,global
continuous,continuous,5.805865477152947,5.805865477152947,603679.721387478,global
continuous,continuous,5.858170571541713,5.858170571541713,574179.7997698708,global
continuous,continuous,5.910475665930479,5.910475665930479,546062.5719967528,global
continuous,continuous,5.9627807603192435,5.9627807603192435,519268.8718680781,global
continuous,continuous,6.015085854708008,6.015085854708008,493741.5210716373,global
continuous,continuous,6.067390949096774,6.067390949096774,469425.31699271954,global
continuous,continuous,6.11969604348554,6.11969604348554,446267.0140928642,global
continuous,continuous,6.172001137874305,6.172001137874305,424215.29950230167,global
continuous,continuous,6.22430623226307,6.22430623226307,403220.7636555128,global
continuous,continuous,6.276611326651835,6.276611326651835,383235.8667711893,global
continuous,continuous,6.328916421040601,6.328916421040601,364214.90168599115,global
continuous,continuous,6.381221515429366,6.381221515429366,346113.9535979754,global
continuous,continuous,6.433526609818131,6.433526609818131,328890.8574020419,global
continuous,continuous,6.4858317042068965,6.4858317042068965,312505.1530110535,global
continuous,continuous,6.538136798595662,6.538136798595662,296918.0390030146,global
continuous,continuous,6.590441892984427,6.590441892984427,282092.3251497581,global
continuous,continuous,6.642746987373192,6.642746987373192,267992.3841250479,global
continuous,continuous,6.695052081761958,6.695052081761958,254584.1025962955,global
continuous,continuous,6.747357176150723,6.747357176150723,241834.8320991174,global
continuous,continuous,6.799662270539488,6.799662270539488,229713.3399393141,global
continuous,continuous,6.851967364928253,6.851967364928253,218189.76023644838,global
continuous,continuous,6.904272459317019,6.904272459317019,207235.54535425326,global
continuous,continuous,6.956577553705785,6.956577553705785,196823.41793335186,global
continuous,continuous,7.008882648094549,7.008882648094549,186927.3235818216,global
continuous,continuous,7.061187742483314,7.061187742483314,177522.38433926014,global
continuous,continuous,7.11349283687208,7.11349283687208,168584.8531056198,global
continuous,continuous,7.165797931260846,7.165797931260846,160092.06905415715,global
continuous,continuous,7.218103025649611,7.218103025649611,152022.41405334117,global
continuous,continuous,7.270408120038375,7.270408120038375,144355.27025351985,global
continuous,continuous,7.322713214427141,7.322713214427141,137070.97883845848,global
continuous,continuous,7.375018308815907,7.375018308815907,130150.79992111555,global
continuous,continuous,7.427323403204672,7.427323403204672,123576.87367957942,global
continuous,continuous,7.479628497593437,7.479628497593437,117332.1827405428,global
continuous,continuous,7.531933591982202,7.531933591982202,111400.5157634227,global
continuous,continuous,7.584238686370968,7.584238686370968,105766.43226146526,global
continuous,continuous,7.636543780759733,7.636543780759733,100415.22868151175,global
continuous,continuous,7.688848875148498,7.688848875148498,95332.90568406678,global
continuous,continuous,7.7411539695372635,7.7411539695372635,90506.13661063975,global
continuous,continuous,7.793459063926029,7.793459063926029,85922.23717037024,global
continuous,continuous,7.845764158314794,7.845764158314794,81569.136286196,global
continuous,continuous,7.898069252703559,7.898069252703559,77435.34805593225,global
continuous,continuous,7.950374347092325,7.950374347092325,73509.9448583777,global
continuous,continuous,8.00267944148109,8.00267944148109,69782.53155040408,global
continuous,continuous,8.054984535869856,8.054984535869856,66243.22069998556,global
continuous,continuous,8.10728963025862,8.10728963025862,62882.60886546932,global
continuous,continuous,8.159594724647386,8.159594724647386,59691.75388507761,global
continuous,continuous,8.211899819036152,8.211899819036152,56662.15311753721,global
continuous,continuous,8.264204913424916,8.264204913424916,53785.72262246498,global
continuous,continuous,8.316510007813681,8.316510007813681,51054.777262801384,global
continuous,continuous,8.368815102202447,8.368815102202447,48462.011671948625,global
continuous,continuous,8.421120196591213,8.421120196591213,46000.48205591424,global
continuous,continuous,8.473425290979979,8.473425290979979,43663.588826079605,global
continuous,continuous,8.525730385368743,8.525730385368743,41445.06001084165,global
continuous,continuous,8.578035479757508,8.578035479757508,39338.93540579541,global
continuous,continuous,8.630340574146274,8.630340574146274,37339.551462638614,global
continuous,continuous,8.682645668535038,8.682645668535038,35441.52687322463,global
continuous,continuous,8.734950762923804,8.734950762923804,33639.74880749018,global
continuous,continuous,8.78725585731257,8.78725585731257,31929.359798966976,global
continuous,continuous,8.839560951701335,8.839560951701335,30305.74524801804,global
continuous,continuous,8.891866046090101,8.891866046090101,28764.52150251886,global
continuous,continuous,8.944171140478865,8.944171140478865,27301.524501483847,global
continuous,continuous,8.99647623486763,8.99647623486763,25912.798964434263,global
continuous,continuous,9.048781329256396,9.048781329256396,24594.58808951573,global
continuous,continuous,9.10108642364516,9.10108642364516,23343.323738677944,global
continuous,continuous,9.153391518033926,9.153391518033926,22155.61710187144,global
continuous,continuous,9.205696612422692,9.205696612422692,21028.249808013512,global
continuous,continuous,9.258001706811458,9.258001706811458,19958.16545729262,global
continuous,continuous,9.310306801200223,9.310306801200223,18942.461570674517,global
continuous,continuous,9.362611895588987,9.362611895588987,17978.381930070478,global
continuous,continuous,9.414916989977753,9.414916989977753,17063.309284539067,global
continuous,continuous,9.467222084366519,9.467222084366519,16194.75841613081,global
continuous,continuous,9.519527178755283,9.519527178755283,15370.369547094135,global
continuous,continuous,9.571832273144048,9.571832273144048,14587.902065201593,global
continuous,continuous,9.624137367532814,9.624137367532814,13845.22855743762,global
continuous,continuous,9.67644246192158,9.67644246192158,13140.329141120545,global
continuous,continuous,9.728747556310346,9.728747556310346,12471.286071566901,global
continuous,continuous,9.78105265069911,9.78105265069911,11836.278613491795,global
continuous,continuous,9.833357745087875,9.833357745087875,11233.578170514356,global
continuous,continuous,9.885662839476641,9.885662839476641,10661.543654814397,global
continuous,continuous,9.937967933865405,9.937967933865405,10118.61708270423,global
continuous,continuous,9.99027302825417,9.99027302825417,9603.319392886442,global
continuous,continuous,10.042578122642936,10.042578122642936,9114.246472772547,global
continuous,continuous,10.094883217031702,10.094883217031702,8650.065379388217,global
continuous,continuous,10.147188311420468,10.147188311420468,8209.510750763677,global
continuous,continuous,10.199493405809232,10.199493405809232,7791.38139772695,global
continuous,continuous,10.251798500197998,10.251798500197998,7394.537063570308,global
continuous,continuous,10.304103594586763,10.304103594586763,7017.8953459945205,global
continuous,continuous,10.356408688975527,10.356408688975527,6660.428775224777,global
continuous,continuous,10.408713783364293,10.408713783364293,6321.1620371460285,global
continuous,continuous,10.461018877753059,10.461018877753059,5999.169334479117,global
continuous,continuous,10.513323972141825,10.513323972141825,5693.571882744771,global
continuous,continuous,10.56562906653059,10.56562906653059,5403.535531496262,global
continuous,continuous,10.617934160919354,10.617934160919354,5128.268503247904,global
continuous,continuous,10.67023925530812,10.67023925530812,4867.0192481661115,global
continuous,continuous,10.722544349696886,10.722544349696886,4619.074406810636,global
continuous,continuous,10.77484944408565,10.77484944408565,4383.756873835798,global
continuous,continuous,10.827154538474415,10.827154538474415,4160.423960342774,global
continuous,continuous,10.879459632863181,10.879459632863181,3948.465649569042,global
continuous,continuous,10.931764727251947,10.931764727251947,3747.302939368176,global
continuous,continuous,10.984069821640713,10.984069821640713,3556.386268468989,global
continuous,continuous,11.036374916029477,11.036374916029477,3375.1940232793086,global
continuous,continuous,11.088680010418242,11.088680010418242,3203.23111943616,global
continuous,continuous,11.140985104807008,11.140985104807008,3040.027654433404,global
continuous,continuous,11.193290199195772,11.193290199195772,2885.1376295795003,global
continuous,continuous,11.245595293584538,11.245595293584538,2738.137736353429,global
continuous,continuous,11.297900387973304,11.297900387973304,2598.6262032256227,global
continuous,continuous,11.35020548236207,11.35020548236207,2466.221701887453,global
continuous,continuous,11.402510576750835,11.402510576750835,2340.562308906275,global
continuous,continuous,11.454815671139599,11.454815671139599,2221.3045191441606,global
continuous,continuous,11.507120765528365,11.507120765528365,2108.122309707965,global
continuous,continuous,11.55942585991713,11.55942585991713,2000.706251689435,global
continuous,continuous,11.611730954305894,11.611730954305894,1898.7626663260958,global
continuous,continuous,11.66403604869466,11.66403604869466,1802.0128240086165,global
continuous,continuous,11.716341143083426,11.716341143083426,1710.1921844630156,global
continuous,continuous,11.768646237472192,11.768646237472192,1623.049675131679,global
continuous,continuous,11.820951331860957,11.820951331860957,1540.3470058569537,global
continuous,continuous,11.873256426249721,11.873256426249721,1461.8580189588738,global
continuous,continuous,11.925561520638487,11.925561520638487,1387.3680721803596,global
continuous,continuous,11.977866615027253,11.977866615027253,1316.6734524808937,global
continuous,continuous,12.030171709416017,12.030171709416017,1249.5808201235739,global
continuous,continuous,12.082476803804783,12.082476803804783,1185.9066810196189,global
continuous,continuous,12.134781898193548,12.134781898193548,1125.4768854563351,global
continuous,continuous,12.187086992582314,12.187086992582314,1068.1261525667137,global
continuous,continuous,12.23939208697108,12.23939208697108,1013.6976191412647,global
continuous,continuous,12.291697181359844,12.291697181359844,962.0424110611464,global
continuous,continuous,12.34400227574861,12.34400227574861,913.0192365407413,global
continuous,continuous,12.396307370137375,12.396307370137375,866.4940003261631,global
continuous,continuous,12.44861246452614,12.44861246452614,822.3394373319721,global
continuous,continuous,12.500917558914905,12.500917558914905,780.4347647442715,global
continuous,continuous,12.55322265330367,12.55322265330367,740.6653521251648,global
continuous,continuous,12.605527747692436,12.605527747692436,702.9224082314536,global
continuous,continuous,12.657832842081202,12.657832842081202,667.102683517157,global
continuous,continuous,12.710137936469966,12.710137936469966,633.108188033536,global
continuous,continuous,12.762443030858732,12.762443030858732,600.8459236912627,global
continuous,continuous,12.814748125247498,12.814748125247498,570.2276299300983,global
continuous,continuous,12.867053219636261,12.867053219636261,541.1695424657232,global
continuous,continuous,12.919358314025027,12.919358314025027,513.5921644030948,global
continuous,continuous,12.971663408413793,12.971663408413793,487.42004884061345,global
continuous,continuous,13.023968502802559,13.023968502802559,462.5815925492806,global
continuous,continuous,13.076273597191324,13.076273597191324,439.0088402936603,global
continuous,continuous,13.128578691580088,13.128578691580088,416.6372990231352,global
continuous,continuous,13.180883785968854,13.180883785968854,395.40576143746296,global
continuous,continuous,13.23318888035762,13.23318888035762,375.2561386904233,global
continuous,continuous,13.285493974746384,13.285493974746384,356.13330157773663,global
continuous,continuous,13.33779906913515,13.33779906913515,337.9849296849022,global
continuous,continuous,13.390104163523915,13.390104163523915,320.7613683485889,global
continuous,continuous,13.442409257912681,13.442409257912681,304.4154929064179,global
continuous,continuous,13.494714352301447,13.494714352301447,288.90257974994984,global
continuous,continuous,13.54701944669021,13.54701944669021,274.1801840118311,global
continuous,continuous,13.599324541078976,13.599324541078976,260.20802352718914,global
continuous,continuous,13.651629635467742,13.651629635467742,246.9478686245008,global
continuous,continuous,13.703934729856506,13.703934729856506,234.36343753368558,global
continuous,continuous,13.756239824245272,13.756239824245272,222.4202971922336,global
continuous,continuous,13.808544918634038,13.808544918634038,211.08576905781428,global
continuous,continuous,13.860850013022803,13.860850013022803,200.32883967476462,global
continuous,continuous,13.91315510741157,13.91315510741157,190.1200758749291,global
continuous,continuous,13.965460201800333,13.965460201800333,180.43154428121107,global
continuous,continuous,14.017765296189099,14.017765296189099,171.23673484740158,global
continuous,continuous,14.070070390577865,14.070070390577865,162.5104883597857,global
continuous,continuous,14.122375484966629,14.122375484966629,154.22892763451034,global
continuous,continuous,14.174680579355394,14.174680579355394,146.36939216440285,global
continuous,continuous,14.22698567374416,14.22698567374416,138.91037612899098,global
continuous,continuous,14.279290768132926,14.279290768132926,131.83146958568474,global
continuous,continuous,14.331595862521691,14.331595862521691,125.11330261643587,global
continuous,continuous,14.383900956910455,14.383900956910455,118.73749232172416,global
continuous,continuous,14.436206051299221,14.436206051299221,112.68659255112928,global
continuous,continuous,14.488511145687987,14.488511145687987,106.94404617193177,global
continuous,continuous,14.54081624007675,14.54081624007675,101.4941397472367,global
continuous,continuous,14.593121334465517,14.593121334465517,96.32196056325326,global
continuous,continuous,14.645426428854282,14.645426428854282,91.4133558376324,global
continuous,continuous,14.697731523243048,14.697731523243048,86.75489397358456,global
continuous,continuous,14.750036617631814,14.750036617631814,82.33382782193861,global
continuous,continuous,14.802341712020578,14.802341712020578,78.1380598164866,global
continuous,continuous,14.854646806409344,14.854646806409344,74.15610885764555,global
continuous,continuous,14.90695190079811,14.90695190079811,70.377078900492,global
continuous,continuous,14.959256995186873,14.959256995186873,66.7906291551615,global
continuous,continuous,15.011562089575639,15.011562089575639,63.38694578515331,global
continuous,continuous,15.063867183964405,15.063867183964405,60.1567150484794,global
continuous,continuous,15.11617227835317,15.11617227835317,57.0910978257527,global
continuous,continuous,15.168477372741936,15.168477372741936,54.181705434567874,global
continuous,continuous,15.2207824671307,15.2207824671307,51.42057666483701,global
continuous,continuous,15.273087561519466,15.273087561519466,48.800156004621165,global
continuous,continuous,15.325392655908232,15.325392655908232,46.31327297128503,global
continuous,continuous,15.377697750296996,15.377697750296996,43.953122479317976,global
continuous,continuous,15.430002844685761,15.430002844685761,41.7132462256217,global
continuous,continuous,15.482307939074527,15.482307939074527,39.587515024127725,global
continuous,continuous,15.534613033463293,15.534613033463293,37.57011202635876,global
continuous,continuous,15.586918127852059,15.586918127852059,35.655516805559955,global
continuous,continuous,15.639223222240823,15.639223222240823,33.838490257914934,global
continuous,continuous,15.691528316629588,15.691528316629588,32.11406026280948,global
continuous,continuous,15.743833411018354,15.743833411018354,30.477508074123172,global
continuous,continuous,15.796138505407118,15.796138505407118,28.924355414338542,global
continuous,continuous,15.848443599795884,15.848443599795884,27.450352220461614,global
continuous,continuous,15.90074869418465,15.90074869418465,26.05146500854284,global
continuous,continuous,15.953053788573415,15.953053788573415,24.72386584143754,global
continuous,continuous,16.00535888296218,16.00535888296218,23.463921856657862,global
continuous,continuous,16.057663977350945,16.057663977350945,22.26818531947948,global
continuous,continuous,16.109969071739712,16.109969071739712,21.13338419156474,global
continuous,continuous,16.162274166128476,16.162274166128476,20.05641318063145,global
continuous,continuous,16.21457926051724,16.21457926051724,19.03432523902107,global
continuous,continuous,16.266884354906008,16.266884354906008,18.064323499780627,global
continuous,continuous,16.319189449294772,16.319189449294772,17.14375362677523,global
continuous,continuous,16.371494543683536,16.371494543683536,16.27009654940789,global
continuous,continuous,16.423799638072303,16.423799638072303,15.440961567691124,global
continuous,continuous,16.476104732461067,16.476104732461067,14.654079813438162,global
continuous,continuous,16.52840982684983,16.52840982684983,13.907298041726827,global
continuous,continuous,16.5807149212386,16.5807149212386,13.198572735758106,global
continuous,continuous,16.633020015627363,16.633020015627363,12.525964517364844,global
continuous,continuous,16.68532511001613,16.68532511001613,11.887632841313412,global
continuous,continuous,16.737630204404894,16.737630204404894,11.281830955724928,global
continuous,continuous,16.789935298793658,16.789935298793658,10.706901123676856,global
continuous,continuous,16.842240393182426,16.842240393182426,10.161270088548015,global
continuous,continuous,16.89454548757119,16.89454548757119,9.64344476680632,global
continuous,continuous,16.946850581959957,16.946850581959957,9.152008162444243,global
continuous,continuous,16.99915567634872,16.99915567634872,8.685615491202062,global
continuous,continuous,17.051460770737485,17.051460770737485,8.242990499662245,global
continuous,continuous,17.103765865126253,17.103765865126253,7.822921971963066,global
continuous,continuous,17.156070959515016,17.156070959515016,7.424260416952076,global
continuous,continuous,17.20837605390378,17.20837605390378,7.045914922682969,global
continuous,continuous,17.260681148292548,17.260681148292548,6.686850169678538,global
continuous,continuous,17.312986242681312,17.312986242681312,6.346083599055719,global
continuous,continuous,17.365291337070076,17.365291337070076,6.022682724441649,global
continuous,continuous,17.417596431458843,17.417596431458843,5.715762578714546,global
continuous,continuous,17.469901525847607,17.469901525847607,5.424483293065334,global
continuous,continuous,17.522206620236375,17.522206620236375,5.14804779955925,global
continuous,continuous,17.57451171462514,17.57451171462514,4.885699648932438,global
continuous,continuous,17.626816809013903,17.626816809013903,4.6367209406745715,global
continuous,continuous,17.67912190340267,17.67912190340267,4.400430359407425,global
continuous,continuous,17.731426997791434,17.731426997791434,4.176181309998157,global
continuous,continuous,17.783732092180202,17.783732092180202,3.963360147717728,global
continuous,continuous,17.836037186568966,17.836037186568966,3.761384499823696,global
continuous,continuous,17.88834228095773,17.88834228095773,3.5697016719313015,global
continuous,continuous,17.940647375346497,17.940647375346497,3.387787134814304,global
continuous,continuous,17.99295246973526,17.99295246973526,3.215143089667646,global
continuous,continuous,18.045257564124025,18.045257564124025,3.051297106224369,global
continuous,continuous,18.097562658512793,18.097562658512793,2.895800829178269,global
continuous,continuous,18.149867752901557,18.149867752901557,2.7482287516425536,global
continuous,continuous,18.20217284729032,18.20217284729032,2.6081770511828806,global
continuous,continuous,18.254477941679088,18.254477941679088,2.475262484233843,global
continuous,continuous,18.306783036067852,18.306783036067852,2.349121337398713,global
continuous,continuous,18.35908813045662,18.35908813045662,2.229408432606775,global
continuous,continuous,18.411393224845384,18.411393224845384,2.1157961822957567,global
continuous,continuous,18.463698319234148,18.463698319234148,2.0079736927423295,global
continuous,continuous,18.516003413622915,18.516003413622915,1.9056459137144486,global
continuous,continuous,18.56830850801168,18.56830850801168,1.808532831083357,global
continuous,continuous,18.620613602400446,18.620613602400446,1.7163687001802168,global
continuous,continuous,18.67291869678921,18.67291869678921,1.6289013189056727,global
continuous,continuous,18.725223791177974,18.725223791177974,1.5458913377519616,global
continuous,continuous,18.777528885566742,18.777528885566742,1.4671116044302663,global
continuous,continuous,18.829833979955506,18.829833979955506,1.3923465424593884,global
