construction,kappa,method,dt,kappa_over_dt,num_train_steps,train_steps_over_kappa2,final_gap_ratio,gap_threshold,steps_to_gap_threshold,steps_to_threshold_over_kappa2,max_center_shadow_error_over_width,max_relative_covariance_error,min_spacing_over_width,hessian_lipschitz,shadowing_pass
flat_top_bump_train,8,riemannian,0.0625,128.0,19,0.296875,0.7410172501579099,0.8,14.128030354370601,0.22075047428704064,5.421975107869979e-12,0.0,258.8366754192147,1.0,True
flat_top_bump_train,8,kl,0.0625,128.0,19,0.296875,0.7410172501579099,0.8,14.128030354370601,0.22075047428704064,5.421975107869979e-12,0.0,258.8366754192147,1.0,True
flat_top_bump_train,12,riemannian,0.041666666666666664,288.0,43,0.2986111111111111,0.7401327222544009,0.8,31.840534395373247,0.221114822190092,0.0,0.0,368.6933972397675,1.0,True
flat_top_bump_train,12,kl,0.041666666666666664,288.0,43,0.2986111111111111,0.7401327222544009,0.8,31.840534395373247,0.221114822190092,0.0,0.0,368.6933972397675,1.0,True
flat_top_bump_train,16,riemannian,0.03125,512.0,76,0.296875,0.7415654467214967,0.8,56.637970605565485,0.22124207267799018,0.0,0.0,480.3580860827998,1.0,True
flat_top_bump_train,16,kl,0.03125,512.0,76,0.296875,0.7415654467214967,0.8,56.637970605565485,0.22124207267799018,0.0,0.0,480.3580860827998,1.0,True
flat_top_bump_train,24,riemannian,0.020833333333333332,1152.0,172,0.2986111111111111,0.7403371575433164,0.8,127.46027194451163,0.22128519434811048,0.0,0.0,703.4875302940037,1.0,True
flat_top_bump_train,24,kl,0.020833333333333332,1152.0,172,0.2986111111111111,0.7403371575433164,0.8,127.46027194451163,0.22128519434811048,0.0,0.0,703.4875302940037,1.0,True
flat_top_bump_train,32,riemannian,0.015625,2048.0,307,0.2998046875,0.7394592463526524,0.8,226.59392764682454,0.2212831324676021,0.0,0.0,926.9810906700496,1.0,True
flat_top_bump_train,32,kl,0.015625,2048.0,307,0.2998046875,0.7394592463526524,0.8,226.59392764682454,0.2212831324676021,0.0,0.0,926.9810906700496,1.0,True
flat_top_bump_train,48,riemannian,0.010416666666666666,4608.0,691,0.2999131944444444,0.7393809573803783,0.8,509.82250614077793,0.2212771294013793,0.0,0.0,1375.2188281737353,1.0,True
flat_top_bump_train,48,kl,0.010416666666666666,4608.0,691,0.2999131944444444,0.7393809573803783,0.8,509.82250614077793,0.2212771294013793,0.0,0.0,1375.2188281737353,1.0,True
flat_top_bump_train,64,riemannian,0.0078125,8192.0,1228,0.2998046875,0.7394585528461233,0.8,906.3239145646533,0.22127048695426105,0.0,0.0,1823.8408222485007,1.0,True
flat_top_bump_train,64,kl,0.0078125,8192.0,1228,0.2998046875,0.7394585528461233,0.8,906.3239145646533,0.22127048695426105,0.0,0.0,1823.8408222485007,1.0,True
