construction,regime,tuning_parameter,n,alpha,beta,kappa,gamma,inverse_gap,Lambda,predicted_inverse_gap_scale,inverse_gap_over_predicted,slow_block,isotropy_error,hessian_lipschitz_certificate,Delta,tail_probability
ChenLogBump,fixed_dim_log,0.2,1,140.36079207195115,688.8899791428096,4.907994383429196,0.8044831936524866,1.2430340470629782,1.2847659592556424,2.590865382477431,0.47977562071340324,scalar,0.0,,,
ChenLogBump,fixed_dim_log,0.1,1,370.72531830483894,7392.391328153348,19.940346566982388,0.6142805640357738,1.6279206254387744,1.7820336812491515,3.9927451448732443,0.4077196430954411,scalar,0.0,,,
ChenLogBump,fixed_dim_log,0.05,1,1142.160795738062,84584.78372424694,74.05680884851981,0.4736021255003099,2.1114770102511833,2.4755038043496675,5.304832485825279,0.3980289699803213,scalar,0.0,,,
ChenLogBump,fixed_dim_log,0.02,1,5927.548196404785,2320470.6595503557,391.4722550814151,0.35510843533031206,2.816041244049378,3.572465686692988,6.96991464467288,0.4040280817788327,scalar,0.0,,,
ChenLogBump,fixed_dim_log,0.01,1,22028.940390284984,29089594.769826874,1320.517203934862,0.2980382706346941,3.3552737971215154,4.443270160408499,8.185778760001325,0.4098906036303591,scalar,0.0,,,
ChenLogBump,fixed_dim_log,0.005,1,84475.79575712966,364201582.92199576,4311.31284005996,0.2575142509882169,3.8832802307541305,5.298383787437208,9.36899773997781,0.4144819262986958,scalar,0.0,,,
ChenLogBump,fixed_dim_log,0.002,1,512746.0633509394,10143063817.683086,19781.84630301268,0.2193748218374263,4.55840826045697,6.377685038091881,10.89251994273228,0.4184897787126326,scalar,0.0,,,
ChenLogBump,fixed_dim_log,0.001,1,2028018.1055489543,124071858803.90231,61178.87136432537,0.19787697655089453,5.053645034559122,7.155641989583083,12.021557169746654,0.4203818992166074,scalar,0.0,,,
ChenLogBump,fixed_dim_log,0.0005,1,8061272.949388044,1502772628238.2676,186418.77500901985,0.1805458255119483,5.5387600193161,7.907464756309684,13.135750900458593,0.4216553786143076,scalar,0.0,,,
ChenLogBump,fixed_dim_log,0.0002,1,50170926.18837546,40125084613003.33,799767.6674802998,0.1620934600776205,6.169280361595942,8.873258698253299,14.592076548821648,0.42278289460413565,scalar,0.0,,,
RidgeTarget,uniform_saturation,8.0,513,0.11268188465920037,9.07783447753108,80.56161382982232,0.29716551005984426,3.365128072226876,3.327503117458715,8.975612170198884,0.3749190593818082,scalar,4.440892098500626e-16,64.0,,
RidgeTarget,uniform_saturation,12.0,2593,0.07850747805975167,13.050574731771363,166.23352391779332,0.2263926066163717,4.417105377007857,4.390669158797653,12.893158027333463,0.3425929758747705,scalar,1.1102230246251565e-16,64.0,,
RidgeTarget,uniform_saturation,16.0,8193,0.05998954122714528,17.037510776657793,284.00801920032546,0.1834687567095081,5.4505193033129435,5.430024829092652,16.852537470669674,0.32342425066842795,scalar,0.0,64.0,,
RidgeTarget,uniform_saturation,24.0,41473,0.040648281956748744,25.024753309927185,615.6411072072968,0.13349166934416665,7.491104163375257,7.476638896540622,24.812116137228134,0.3019131508954851,scalar,0.0,64.0,,
