construction,regime,tuning_parameter,n,alpha,beta,kappa,gamma,inverse_gap,Lambda,predicted_inverse_gap_scale,inverse_gap_over_predicted,slow_block,isotropy_error,hessian_lipschitz_certificate,Delta,tail_probability
RidgeTarget,uniform_saturation,32.0,131073,0.030705993837158663,33.01847691788751,1075.3104782405842,0.10509831706396679,9.514900218538822,9.503432326203725,32.791927028471264,0.2901598375196921,scalar,4.440892098500626e-16,64.0,,
RidgeTarget,uniform_saturation,48.0,663553,0.020604807843662143,49.012260420013796,2378.6807812958828,0.07384611672006057,13.5416734747319,13.533164209332728,48.771721122961026,0.27765420540708935,scalar,0.0,64.0,,
RidgeTarget,uniform_saturation,64.0,2097153,0.015500276568780169,65.00917442880359,4194.065450402453,0.05695937923612502,17.55637110886517,17.5493153352405,64.7616047546882,0.2710922803004544,scalar,1.1102230246251565e-16,64.0,,
RidgeTarget,uniform_saturation,96.0,10616833,0.010362960872374982,97.00610280627428,9360.848120624278,0.03910515908538627,25.572073439632252,25.566447144204876,96.75147606431788,0.2643068041942078,scalar,4.440892098500626e-16,64.0,,
RidgeTarget,uniform_saturation,128.0,33554433,0.007782781661011984,129.0045721084182,16575.63808511672,0.029779328418111928,33.58034089821164,33.575418891035646,128.74640998923707,0.26082545448078037,scalar,6.661338147750939e-16,64.0,,
ShellTarget,dimension_branch,4.1588830833596715,65,0.005209057409859622,13771.784806042873,2643815.1324605974,0.03823071889727608,26.156976087395773,20.747740592286128,32.03439840641967,0.8165277760344621,scalar,6.772360450213455e-14,,38.39466227065249,0.0016383084628291589
ShellTarget,dimension_branch,4.852030263919617,129,0.003539144345145234,50583.59177525191,14292604.890399331,0.02663968342797514,37.53798361394451,30.294278447276184,47.47954942815547,0.7906137287748651,scalar,5.184741524999481e-14,,56.51083439824851,0.0008012214286943583
ShellTarget,dimension_branch,5.545177444479562,257,0.0024118995574626888,179065.96171121014,74242710.96081091,0.01854352551631391,53.92717793173886,44.12237609299536,70.10401195096618,0.7692452461844537,scalar,2.1094237467877974e-15,,82.92219275101134,0.00039117895981068335
ShellTarget,dimension_branch,6.238324625039508,513,0.0016461215389520316,612888.5413092227,372322776.1781218,0.012868453829028613,77.70941352287433,64.26182360348007,103.13677515436159,0.7534597955634066,scalar,3.086420008457935e-14,,121.49771160112866,0.00019066326214628034
ShellTarget,dimension_branch,6.931471805599453,1025,0.0011244600329453152,2038296.4816170018,1812689132.470152,0.008909363321442498,112.2414659634839,93.5728002522551,151.24823708196777,0.7421009866227766,scalar,1.1324274851176597e-14,,177.86314687960672,9.280879690265604e-05
ShellTarget,dimension_branch,7.6246189861593985,2049,0.0007686701778409498,6618715.33032837,8610605069.809134,0.006154866809836779,162.4730527721231,136.2752613808788,221.18421647416818,0.7345598857009678,scalar,1.3988810110276972e-14,,260.18961807749906,4.5138816571642884e-05
ShellTarget,dimension_branch,8.317766166719343,4097,0.0005258569966574976,21077557.46094228,40082299170.53012,0.004245638349862556,235.53584116093472,198.44918642314232,322.67937661111694,0.7299376973967417,scalar,3.774758283725532e-15,,380.33153741655826,2.194573733476641e-05
ShellTarget,dimension_branch,9.010913347279288,8193,0.0003600570426003121,66074839.42555701,183512142821.50452,0.0029259115632896326,341.77382958071695,288.91425140904494,469.76902187535785,0.7275359031047359,scalar,1.2212453270876722e-15,,555.4675407974554,1.0669847751320404e-05
ShellTarget,uniform_saturation,1.0,65,0.01152060428523471,285.6388290493102,24793.736680583406,0.07437064917275739,13.446164731964027,11.216777276007583,157.4602701654719,0.08539401537818851,scalar,3.68594044175552e-14,,17.360200476317758,0.07051651989774278
ShellTarget,uniform_saturation,1.0,129,0.00834030633295911,435.94564065933656,52269.73965411467,0.05493268081879344,18.204099728879104,15.402193528728276,228.62576332101042,0.07962400853012776,scalar,2.1094237467877974e-15,,23.979934551041932,0.07279570665960125
ShellTarget,uniform_saturation,1.0,257,0.00599754233845547,652.7896248580666,108842.85395910648,0.04012484296259972,24.922215918255375,21.298375887372494,329.9134037275638,0.07554168953631138,scalar,1.7319479184152442e-14,,33.346992603557915,0.07445749615936906
ShellTarget,uniform_saturation,1.0,513,0.00429204138295335,962.8136178503751,224325.33425105602,0.029056975260706247,34.415144419808215,29.61913629006449,473.6299549765154,0.07266251650302537,scalar,8.548717289613705e-15,,46.59787316924241,0.07565848089354815
ShellTarget,uniform_saturation,1.0,1025,0.0030609018393386624,1403.817013990719,458628.56363078515,0.020905684385226386,47.83388008606306,41.372726804802866,677.221207310274,0.0706325784983098,scalar,1.7763568394002505e-15,,65.34022013695544,0.0765209673778081
ShellTarget,uniform_saturation,1.0,2049,0.0021775134451649442,2029.3996191794506,931980.2932494526,0.014968323248478365,66.8077501667835,57.9861807633077,965.391264332474,0.0692027705605749,scalar,5.551115123125783e-16,,91.84788293458745,0.07713757536778137
ShellTarget,uniform_saturation,1.0,4097,0.001546350410224277,2915.51291062124,1885415.4215915294,0.010679485948971747,93.63746577112009,81.47372883662199,1373.1043010607495,0.06819399349254339,scalar,0.0,,129.3367911164409,0.07757698990068525
ShellTarget,uniform_saturation,1.0,8193,0.0010967611051096182,4169.687763505978,3801819.5066182893,0.0076000531689678266,131.5780268594899,114.68482988906112,1949.8255067103541,0.06748194974712461,scalar,1.1405099087369308e-11,,182.35511732521786,0.07788941970835127
