target,method,scheme,d,kappa,alpha,beta,gamma,lambda0,c,eta,dt,bootstrapped,lambda_min_C0,lambda_min_after,lambda_max_after,gap0,gap_after,iter_to_1e_minus_1,iter_to_1e_minus_3,iter_to_1e_minus_6,gap_final,n_iters,wall_time,status
gaussian,riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,1e-08,,,0.5,0,1e-08,1.6487208585198623e-08,1.648721262456522e-08,244.64669373400508,239.6466833575816,41,45,50,0.0,6000,0.32483133114874363,ok
gaussian,wboot_riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,1e-08,0.25,0.005000000000000001,0.5,1,1e-08,0.005005306114104677,0.0050070406643391895,244.64669373400508,103.00988574004512,16,19,24,0.0,6000,0.32516382727772,ok
gaussian,wboot_riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,1e-08,0.5,0.010000000000000002,0.5,1,1e-08,0.010005001250156251,0.010009904901712876,244.64669373400508,87.34835942268867,14,18,23,0.0,6000,0.32495477981865406,ok
gaussian,wboot_riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,1e-08,1.0,0.020000000000000004,0.5,1,1e-08,0.020000000000000004,0.020013864095743163,244.64669373400508,67.948885726787,13,17,22,0.0,6000,0.3235904574394226,ok
gaussian,kl,kl,20,50.0,1.0,49.99999999999999,0.0,1e-08,,,0.5,0,1e-08,1.4999996250000938e-08,1.4999999925000002e-08,244.64669373400508,240.59203207994662,50,55,63,0.0,6000,0.3920347886160016,ok
gaussian,wboot_kl,kl,20,50.0,1.0,49.99999999999999,0.0,1e-08,0.25,0.005000000000000001,0.5,1,1e-08,0.005005306114104677,0.0050070406643391895,244.64669373400508,103.00988574004512,19,23,31,0.0,6000,0.39164997078478336,ok
gaussian,wboot_kl,kl,20,50.0,1.0,49.99999999999999,0.0,1e-08,0.5,0.010000000000000002,0.5,1,1e-08,0.010005001250156251,0.010009904901712876,244.64669373400508,87.34835942268867,17,21,29,0.0,6000,0.39345210511237383,ok
gaussian,wboot_kl,kl,20,50.0,1.0,49.99999999999999,0.0,1e-08,1.0,0.020000000000000004,0.5,1,1e-08,0.020000000000000004,0.020013864095743163,244.64669373400508,67.948885726787,15,20,28,0.0,6000,0.3938584653660655,ok
gaussian,riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,1e-06,,,0.5,0,1e-06,1.6486800531835816e-06,1.648720446339699e-06,198.5951227147189,193.59408507759434,32,35,40,0.0,6000,0.3252139426767826,ok
gaussian,wboot_riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,1e-06,0.25,0.005000000000000001,0.5,1,1e-06,0.005053315004360432,0.005070853878589323,198.5951227147189,102.89829985556565,16,19,24,0.0,6000,0.32817605417221785,ok
gaussian,wboot_riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,1e-06,0.5,0.010000000000000002,0.5,1,1e-06,0.010050125156249758,0.010099491262866321,198.5951227147189,87.2788523887813,14,18,23,0.0,6000,0.3258382501080632,ok
gaussian,wboot_riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,1e-06,1.0,0.020000000000000004,0.5,1,1e-06,0.020000000000000004,0.020139073961014126,198.5951227147189,67.90948366417723,13,17,22,0.0,6000,0.3261572904884815,ok
gaussian,kl,kl,20,50.0,1.0,49.99999999999999,0.0,1e-06,,,0.5,0,1e-06,1.4999625009374765e-06,1.4999992500003745e-06,198.5951227147189,194.53941434099238,39,43,51,0.0,6000,0.39469809643924236,ok
gaussian,wboot_kl,kl,20,50.0,1.0,49.99999999999999,0.0,1e-06,0.25,0.005000000000000001,0.5,1,1e-06,0.005053315004360432,0.005070853878589323,198.5951227147189,102.89829985556565,19,23,31,0.0,6000,0.394782898016274,ok
gaussian,wboot_kl,kl,20,50.0,1.0,49.99999999999999,0.0,1e-06,0.5,0.010000000000000002,0.5,1,1e-06,0.010050125156249758,0.010099491262866321,198.5951227147189,87.2788523887813,17,21,29,0.0,6000,0.3898063711822033,ok
gaussian,wboot_kl,kl,20,50.0,1.0,49.99999999999999,0.0,1e-06,1.0,0.020000000000000004,0.5,1,1e-06,0.020000000000000004,0.020139073961014126,198.5951227147189,67.90948366417723,15,20,28,0.0,6000,0.3936751205474138,ok
gaussian,riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,0.0001,,,0.5,0,0.0001,0.0001644604615486486,0.00016486388366974606,152.55650491431646,147.45279348351391,23,26,31,0.0,6000,0.32722168881446123,ok
gaussian,wboot_riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,0.0001,0.25,0.005000000000000001,0.5,1,0.0001,0.005559200338935072,0.005754811730392546,152.55650491431646,101.78794381668816,16,19,24,0.0,6000,0.32454730197787285,ok
gaussian,wboot_riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,0.0001,0.5,0.010000000000000002,0.5,1,0.0001,0.010512656225593567,0.011040217131697854,152.55650491431646,86.58733341836795,14,18,23,0.0,6000,0.3285231003537774,ok
gaussian,wboot_riemannian,riemannian,20,50.0,1.0,49.99999999999999,0.0,0.0001,1.0,0.020000000000000004,0.5,1,0.0001,0.020000000000000004,0.021434780945657185,152.55650491431646,67.517273999461,13,16,21,0.0,6000,0.3267031293362379,ok
gaussian,kl,kl,20,50.0,1.0,49.99999999999999,0.0,0.0001,,,0.5,0,0.0001,0.00014962593516209478,0.00014999250037498122,152.55650491431646,148.39617502278998,27,32,40,0.0,6000,0.39555615186691284,ok
gaussian,wboot_kl,kl,20,50.0,1.0,49.99999999999999,0.0,0.0001,0.25,0.005000000000000001,0.5,1,0.0001,0.005559200338935072,0.005754811730392546,152.55650491431646,101.78794381668816,18,23,31,0.0,6000,0.389350613579154,ok
gaussian,wboot_kl,kl,20,50.0,1.0,49.99999999999999,0.0,0.0001,0.5,0.010000000000000002,0.5,1,0.0001,0.010512656225593567,0.011040217131697854,152.55650491431646,86.58733341836795,17,21,29,0.0,6000,0.3900465499609709,ok
gaussian,wboot_kl,kl,20,50.0,1.0,49.99999999999999,0.0,0.0001,1.0,0.020000000000000004,0.5,1,0.0001,0.020000000000000004,0.021434780945657185,152.55650491431646,67.517273999461,15,20,28,0.0,6000,0.3924001269042492,ok
log_cosh,riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,1e-08,,,0.5,0,1e-08,1.6487208515759613e-08,1.648721262132493e-08,241.5372199536181,236.5372091108144,40,43,48,0.0,6000,0.5086339320987463,ok
log_cosh,wboot_riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,1e-08,0.25,0.004901960784313726,0.5,1,1e-08,0.004907220064737029,0.00490893146605581,241.5372199536181,99.84733231483564,15,18,23,0.0,6000,0.5083983018994331,ok
log_cosh,wboot_riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,1e-08,0.5,0.009803921568627453,0.5,1,1e-08,0.00980888886901197,0.009813727054988052,241.5372199536181,83.96021909807659,13,17,22,0.0,6000,0.5120974108576775,ok
log_cosh,wboot_riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,1e-08,1.0,0.019607843137254905,0.5,1,1e-08,0.01960788642572897,0.019621565380268123,241.5372199536181,64.1942926644936,12,15,20,0.0,6000,0.5110209826380014,ok
log_cosh,kl,kl,20,50.0,1.0,50.99999999999999,1.0,1e-08,,,0.5,0,1e-08,1.499999618682562e-08,1.4999999922051994e-08,241.5372199536181,237.48255782713977,49,53,62,0.0,6000,0.5682809818536043,ok
log_cosh,wboot_kl,kl,20,50.0,1.0,50.99999999999999,1.0,1e-08,0.25,0.004901960784313726,0.5,1,1e-08,0.004907220064737029,0.00490893146605581,241.5372199536181,99.84733231483564,17,21,30,0.0,6000,0.5726432045921683,ok
log_cosh,wboot_kl,kl,20,50.0,1.0,50.99999999999999,1.0,1e-08,0.5,0.009803921568627453,0.5,1,1e-08,0.00980888886901197,0.009813727054988052,241.5372199536181,83.96021909807659,15,20,28,0.0,6000,0.5734888277947903,ok
log_cosh,wboot_kl,kl,20,50.0,1.0,50.99999999999999,1.0,1e-08,1.0,0.019607843137254905,0.5,1,1e-08,0.01960788642572897,0.019621565380268123,241.5372199536181,64.1942926644936,14,18,27,0.0,6000,0.5828552758321166,ok
log_cosh,riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,1e-06,,,0.5,0,1e-06,1.64867935881117e-06,1.6487204139367543e-06,195.48565295478483,190.48456868000477,31,34,39,0.0,6000,0.5169227421283722,ok
log_cosh,wboot_riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,1e-06,0.25,0.004901960784313726,0.5,1,1e-06,0.004954807983611426,0.004972114768816706,195.48565295478483,99.73482343973338,15,18,23,0.0,6000,0.5093548223376274,ok
log_cosh,wboot_riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,1e-06,0.5,0.009803921568627453,0.5,1,1e-06,0.009853707927224077,0.00990241852051793,195.48565295478483,83.89028809710602,13,17,22,0.0,6000,0.5031302571296692,ok
log_cosh,wboot_riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,1e-06,1.0,0.019607843137254905,0.5,1,1e-06,0.019608276027502845,0.019745498244170642,195.48565295478483,64.1548620466218,12,15,20,0.0,6000,0.5012619588524103,ok
log_cosh,kl,kl,20,50.0,1.0,50.99999999999999,1.0,1e-06,,,0.5,0,1e-06,1.4999618692161671e-06,1.4999992205203204e-06,195.48565295478483,191.42989733942267,37,41,50,0.0,6000,0.5698764780536294,ok
log_cosh,wboot_kl,kl,20,50.0,1.0,50.99999999999999,1.0,1e-06,0.25,0.004901960784313726,0.5,1,1e-06,0.004954807983611426,0.004972114768816706,195.48565295478483,99.73482343973338,17,21,30,0.0,6000,0.5757014257833362,ok
log_cosh,wboot_kl,kl,20,50.0,1.0,50.99999999999999,1.0,1e-06,0.5,0.009803921568627453,0.5,1,1e-06,0.009853707927224077,0.00990241852051793,195.48565295478483,83.89028809710602,15,20,28,0.0,6000,0.5726545704528689,ok
log_cosh,wboot_kl,kl,20,50.0,1.0,50.99999999999999,1.0,1e-06,1.0,0.019607843137254905,0.5,1,1e-06,0.019608276027502845,0.019745498244170642,195.48565295478483,64.1548620466218,14,18,27,0.0,6000,0.5726289674639702,ok
log_cosh,riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,0.0001,,,0.5,0,0.0001,0.00016445353549477402,0.00016486355959627723,149.44743720434076,144.33906569502045,21,25,30,0.0,6000,0.5036039045080543,ok
log_cosh,wboot_riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,0.0001,0.25,0.004901960784313726,0.5,1,0.0001,0.005456545070506169,0.005649781664153577,149.44743720434076,98.61544307065633,14,18,23,0.0,6000,0.5119786420837045,ok
log_cosh,wboot_riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,0.0001,0.5,0.009803921568627453,0.5,1,0.0001,0.010313262922271596,0.010834189879603683,149.44743720434076,83.19469923588214,13,16,21,0.0,6000,0.506344330497086,ok
log_cosh,wboot_riemannian,riemannian,20,50.0,1.0,50.99999999999999,1.0,0.0001,1.0,0.019607843137254905,0.5,1,0.0001,0.01961217367675445,0.021028409167967534,149.44743720434076,63.7624978906089,12,15,20,0.0,6000,0.5074563305824995,ok
log_cosh,kl,kl,20,50.0,1.0,50.99999999999999,1.0,0.0001,,,0.5,0,0.0001,0.00014961964969209304,0.00014999220554926966,149.44743720434076,145.28238670221123,26,30,39,0.0,6000,0.5820482727140188,ok
log_cosh,wboot_kl,kl,20,50.0,1.0,50.99999999999999,1.0,0.0001,0.25,0.004901960784313726,0.5,1,0.0001,0.005456545070506169,0.005649781664153577,149.44743720434076,98.61544307065633,17,21,30,0.0,6000,0.5886100772768259,ok
log_cosh,wboot_kl,kl,20,50.0,1.0,50.99999999999999,1.0,0.0001,0.5,0.009803921568627453,0.5,1,0.0001,0.010313262922271596,0.010834189879603683,149.44743720434076,83.19469923588214,15,20,28,0.0,6000,0.5877080243080854,ok
log_cosh,wboot_kl,kl,20,50.0,1.0,50.99999999999999,1.0,0.0001,1.0,0.019607843137254905,0.5,1,0.0001,0.01961217367675445,0.021028409167967534,149.44743720434076,63.7624978906089,14,18,27,0.0,6000,0.5904809115454555,ok
