target,scheme,d,kappa,alpha,beta,dt,lambda0,log_inv_beta_lambda0,inv_lambda0,N_cov,N_cov_envelope,N_cov_theory_slope,gap0,gap_final,min_eig_final,n_iters,wall_time,status
gaussian,riemannian,10,10.0,1.0,10.0,0.5,1e-10,20.72326583694641,10000000000.0,42,43,2.4663034623764317,149.37279191926064,8.881784197001252e-16,0.09999999999999995,200,0.009150339290499687,ok
gaussian,kl,10,10.0,1.0,10.0,0.5,1e-10,20.72326583694641,10000000000.0,52,52,2.4663034623764317,149.37279191926064,0.0,0.09999999999999994,200,0.011253018863499165,ok
gaussian,riemannian,10,10.0,1.0,10.0,0.5,1e-08,16.11809565095832,100000000.0,32,34,2.4663034623764317,126.34694119162435,8.881784197001252e-16,0.09999999999999995,200,0.009170448407530785,ok
gaussian,kl,10,10.0,1.0,10.0,0.5,1e-08,16.11809565095832,100000000.0,40,40,2.4663034623764317,126.34694119162435,0.0,0.09999999999999994,200,0.010723019018769264,ok
gaussian,riemannian,10,10.0,1.0,10.0,0.5,1e-06,11.512925464970229,1000000.0,23,24,2.4663034623764317,103.32111049209931,8.881784197001252e-16,0.09999999999999995,200,0.009132814593613148,ok
gaussian,kl,10,10.0,1.0,10.0,0.5,1e-06,11.512925464970229,1000000.0,29,29,2.4663034623764317,103.32111049209931,0.0,0.09999999999999994,200,0.010705226100981236,ok
gaussian,riemannian,10,10.0,1.0,10.0,0.5,0.0001,6.907755278982137,10000.0,14,15,2.4663034623764317,80.29728260370189,8.881784197001252e-16,0.09999999999999995,200,0.009173138067126274,ok
gaussian,kl,10,10.0,1.0,10.0,0.5,0.0001,6.907755278982137,10000.0,18,18,2.4663034623764317,80.29728260370189,0.0,0.09999999999999994,200,0.010748503729701042,ok
gaussian,riemannian,10,10.0,1.0,10.0,0.5,0.01,2.302585092994046,100.0,5,6,2.4663034623764317,57.473735828064704,8.881784197001252e-16,0.09999999999999995,200,0.009134416468441486,ok
gaussian,kl,10,10.0,1.0,10.0,0.5,0.01,2.302585092994046,100.0,6,6,2.4663034623764317,57.473735828064704,0.0,0.09999999999999994,200,0.01111394353210926,ok
gaussian,riemannian,10,100.0,1.0,100.0,0.5,1e-10,18.420680743952367,10000000000.0,37,38,2.4663034623764317,143.6163291971411,0.0,0.009999999999999998,200,0.009207095950841904,ok
gaussian,kl,10,100.0,1.0,100.0,0.5,1e-10,18.420680743952367,10000000000.0,46,46,2.4663034623764317,143.6163291971411,0.0,0.010000000000000002,200,0.010974962264299393,ok
gaussian,riemannian,10,100.0,1.0,100.0,0.5,1e-08,13.815510557964274,100000000.0,28,29,2.4663034623764317,120.59047949569806,0.0,0.009999999999999998,200,0.009193038567900658,ok
gaussian,kl,10,100.0,1.0,100.0,0.5,1e-08,13.815510557964274,100000000.0,35,35,2.4663034623764317,120.59047949569806,0.0,0.010000000000000002,200,0.01113757211714983,ok
gaussian,riemannian,10,100.0,1.0,100.0,0.5,1e-06,9.210340371976184,1000000.0,19,20,2.4663034623764317,97.56475141549656,0.0,0.009999999999999998,200,0.009248750284314156,ok
gaussian,kl,10,100.0,1.0,100.0,0.5,1e-06,9.210340371976184,1000000.0,23,23,2.4663034623764317,97.56475141549656,0.0,0.010000000000000002,200,0.010870464146137238,ok
gaussian,riemannian,10,100.0,1.0,100.0,0.5,0.0001,4.605170185988092,10000.0,9,10,2.4663034623764317,74.55118545945169,0.0,0.009999999999999998,200,0.009062494151294231,ok
gaussian,kl,10,100.0,1.0,100.0,0.5,0.0001,4.605170185988092,10000.0,12,12,2.4663034623764317,74.55118545945169,0.0,0.010000000000000002,200,0.01068094838410616,ok
gaussian,riemannian,10,100.0,1.0,100.0,0.5,0.01,0.0,100.0,0,0,2.4663034623764317,52.753831919071416,-8.881784197001252e-16,0.010000000000000002,200,0.009123329073190689,ok
gaussian,kl,10,100.0,1.0,100.0,0.5,0.01,0.0,100.0,0,0,2.4663034623764317,52.753831919071416,0.0,0.010000000000000002,200,0.01085457019507885,ok
gaussian,riemannian,10,1000.0,1.0,1000.0,0.5,1e-10,16.11809565095832,10000000000.0,32,34,2.4663034623764317,137.85986654551488,8.881784197001252e-16,0.0009999999999999996,200,0.009255328215658665,ok
gaussian,kl,10,1000.0,1.0,1000.0,0.5,1e-10,16.11809565095832,10000000000.0,40,40,2.4663034623764317,137.85986654551488,0.0,0.0009999999999999992,200,0.01098033506423235,ok
gaussian,riemannian,10,1000.0,1.0,1000.0,0.5,1e-08,11.512925464970229,100000000.0,23,24,2.4663034623764317,114.83402484909955,8.881784197001252e-16,0.0009999999999999996,200,0.009188149124383926,ok
