target,kind,method,scheme,stl,d,kappa,gamma,dt,batch_size,n_seeds,n_steps,tail_median_gap,tail_mean_gap,tail_median_gap_std,final_gap,psi_star,psi_tail,dt_psi_star,floor_over_dt_psi,n_clips,spd_fail_any,wall_time_cell
log_cosh,log_cosh,riemannian_stl,riemannian,1,8,10.0,1.0,0.0625,1,30,480,0.0006133089650348644,0.0006462151729040189,9.887209556533231e-05,0.0006953952198882618,0.0513895588606522,0.05168419560230811,0.0032118474287907623,0.19095208556209997,0,0,0.6694597881287336
log_cosh,log_cosh,kl_raw,kl,0,8,10.0,1.0,0.03125,1,30,960,0.05978678162448414,0.06312851428539129,0.00994816989598019,0.06250388381768879,0.0513895588606522,0.0518112875395052,0.0016059237143953812,37.228905139490664,0,0,1.1783047998324037
log_cosh,log_cosh,kl_stl,kl,1,8,10.0,1.0,0.03125,1,30,960,0.00028949247696852254,0.0003388036629286069,6.458319870304156e-05,0.0003207419239341647,0.0513895588606522,0.05121027803290723,0.0016059237143953812,0.18026539764842714,0,0,1.2028802586719394
log_cosh,log_cosh,riemannian_raw,riemannian,0,8,10.0,1.0,0.03125,1,30,960,0.05868577815401688,0.06239229640489043,0.010613696433635376,0.06227675581803194,0.0513895588606522,0.051734745563160475,0.0016059237143953812,36.543316240965815,0,0,1.200931648723781
log_cosh,log_cosh,riemannian_stl,riemannian,1,8,10.0,1.0,0.03125,1,30,960,0.0002772083539683834,0.0003026561112008386,6.539311763088722e-05,0.0002616553987326853,0.0513895588606522,0.05168462850071705,0.0016059237143953812,0.17261614078147564,0,0,1.3436756571754813
log_cosh,log_cosh,kl_raw,kl,0,8,10.0,1.0,0.015625,1,30,1920,0.029674448616914706,0.030811005322694048,0.006113668760260638,0.03094639403581123,0.0513895588606522,0.05163285229062216,0.0008029618571976906,36.956236900813096,0,0,2.3528882786631584
log_cosh,log_cosh,kl_stl,kl,1,8,10.0,1.0,0.015625,1,30,1920,0.0001382881655924706,0.00015496771792953835,2.1654422126610925e-05,0.00016774085424842156,0.0513895588606522,0.05173176815566295,0.0008029618571976906,0.17222258361697473,0,0,2.408215898089111
log_cosh,log_cosh,riemannian_raw,riemannian,0,8,10.0,1.0,0.015625,1,30,1920,0.031351399762763243,0.0342407874075875,0.006276431576144545,0.03505664622626359,0.0513895588606522,0.051777487762474914,0.0008029618571976906,39.04469369464019,0,0,2.409474248997867
log_cosh,log_cosh,riemannian_stl,riemannian,1,8,10.0,1.0,0.015625,1,30,1920,0.0001391425256165313,0.00014965530938079174,4.871094894064893e-05,0.00015043960434990566,0.0513895588606522,0.05107175286336887,0.0008029618571976906,0.17328659433728763,0,0,2.6903108032420278
log_cosh,log_cosh,kl_raw,kl,0,8,10.0,1.0,0.0078125,1,30,3840,0.014067864494977211,0.014743536463110473,0.0022967062737012304,0.013006854635897014,0.0513895588606522,0.05153368637069495,0.0004014809285988453,35.039932143411086,0,0,4.729544227011502
log_cosh,log_cosh,kl_stl,kl,1,8,10.0,1.0,0.0078125,1,30,3840,6.840876037328414e-05,7.743560613357643e-05,1.3333720242235301e-05,6.39839199756409e-05,0.0513895588606522,0.0514489597267301,0.0004014809285988453,0.17039105845457808,0,0,4.821471587754786
log_cosh,log_cosh,riemannian_raw,riemannian,0,8,10.0,1.0,0.0078125,1,30,3840,0.014288861124627683,0.014550853873084479,0.0032550079951309107,0.01492486257669956,0.0513895588606522,0.05134946720670783,0.0004014809285988453,35.59038576127469,0,0,4.8183237463235855
log_cosh,log_cosh,riemannian_stl,riemannian,1,8,10.0,1.0,0.0078125,1,30,3840,6.929635485919405e-05,7.756574754357407e-05,1.757072278703195e-05,6.870413107229467e-05,0.0513895588606522,0.05129286450791268,0.0004014809285988453,0.17260185957284688,0,0,5.36994166392833
log_cosh,log_cosh,kl_raw,kl,0,8,10.0,1.0,0.00390625,1,30,7680,0.007010050592783923,0.007623450650872264,0.001382580075103744,0.009033708019187792,0.0513895588606522,0.051224345105506455,0.00020074046429942265,34.92096432699187,0,0,9.343876444734633
log_cosh,log_cosh,kl_stl,kl,1,8,10.0,1.0,0.00390625,1,30,7680,3.7857032448407324e-05,4.0362991269591676e-05,5.5185811463887026e-06,4.166107034908606e-05,0.0513895588606522,0.05163684630792958,0.00020074046429942265,0.18858695271293247,0,0,9.709549489431083
log_cosh,log_cosh,riemannian_raw,riemannian,0,8,10.0,1.0,0.00390625,1,30,7680,0.0072271522430567,0.0077768310760102715,0.0010617122276358098,0.008376474773832854,0.0513895588606522,0.05149867120588539,0.00020074046429942265,36.00246850219867,0,0,9.586706437170506
log_cosh,log_cosh,riemannian_stl,riemannian,1,8,10.0,1.0,0.00390625,1,30,7680,3.5162148340539545e-05,3.984233102084465e-05,9.510533853690953e-06,2.6826620957542957e-05,0.0513895588606522,0.05148742492018576,0.00020074046429942265,0.17516223479533258,0,0,10.770258708857
