potential_family,N_theta,kappa_target,gamma_loc_mean,gamma_loc_std,gamma_loc_min,inverse_gamma_loc_mean,inverse_gamma_over_logkappa_mean,tau_H_sq_mean,coupling_bound_rate_mean,gamma_over_coupling_bound_min,Lambda_hat_full_sym_mean,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,current_bound_rate,conjecture_bound_rate,self_adjoint_error_L_star_max,n_seeds
additive_index,4,10.0,0.9225885448441368,0.029232630253350666,0.8910969651264374,1.0846389759957644,0.32842120504227684,0.007382468476810902,0.3325155270654162,2.6840097786675154,0.08846390622203965,0.03416852771745915,,0.20754716981132074,0.04054578386931515,6.661338147750939e-16,3
additive_index,4,50.0,0.9079269486201498,0.03325904642732828,0.8695360035121726,1.102417658760668,0.2244325113181301,0.011747201601437407,0.33203360975183777,2.623034077347244,0.12844228186465145,0.06822710350982815,,0.2015810276679842,0.02879078069520258,1.1102230246251565e-15,3
additive_index,4,100.0,0.8977402826804827,0.028185248913109615,0.8651987888239343,1.1146538872552467,0.19886173840745802,0.012604892621048356,0.3319389753614175,2.6100716488568687,0.12560364981782957,0.05909366901847154,,0.20079522862823063,0.02559495781739623,1.097889699343089e-15,3
additive_index,8,10.0,0.9111102121285467,0.022073248557521578,0.8862819392632257,1.0979964366721375,0.33246575205628387,0.014228511439064945,0.33176067294996087,2.6766654356425903,0.13351901451851117,0.07335930571614865,,0.20754716981132074,0.04054578386931515,1.994374226161161e-15,3
additive_index,8,50.0,0.9004242232635861,0.017081819886630357,0.8822483954359059,1.1108552506934177,0.2261502540736965,0.01967443476498225,0.33116275202311346,2.670612825553823,0.16230497496408153,0.08965219022097164,,0.2015810276679842,0.02879078069520258,2.2702576390173672e-15,3
additive_index,8,100.0,0.8957477886326571,0.022430913156465233,0.8722616530432702,1.1168544458902525,0.1992543328447343,0.020460528639667224,0.3310766222460458,2.6414151299298014,0.16021859204003022,0.08028409706359639,,0.20079522862823063,0.02559495781739623,3.552713678800501e-15,3
additive_index,12,10.0,0.8900155698700482,0.0021368652615145803,0.8879015422166096,1.1235801670910979,0.34021232926733963,0.014466361406620916,0.3317337434897596,2.677374910673836,0.18757219759395563,0.0684767221781548,,0.20754716981132074,0.04054578386931515,5.329070518200751e-15,3
additive_index,12,50.0,0.8687402837882846,0.003905070257122111,0.8651771728649804,1.151107500874005,0.23434489203367873,0.020828981849320125,0.331034965745141,2.613753651517009,0.1839076576046237,0.07218770389243971,,0.2015810276679842,0.02879078069520258,8.881784197001252e-15,3
additive_index,12,100.0,0.8668600095080062,0.005998292030308328,0.8609969924330014,1.153625610071973,0.20581455545378935,0.020650674209647616,0.3310545643815621,2.6016663322320452,0.21823856471998804,0.09114527143504865,,0.20079522862823063,0.02559495781739623,6.6699101449770965e-15,3
product_feature,4,10.0,0.928563409583019,0.009506267300091806,0.9179039475783867,1.0770079663568142,0.3261105879274784,0.007177222618271958,0.33253782706041246,2.7591529816147133,0.08649034410391576,0.04363876545516426,,0.20754716981132074,0.04054578386931515,1.1102230246251565e-15,3
