potential_family,N_theta,kappa_target,gamma_loc_mean,gamma_loc_std,gamma_loc_min,inverse_gamma_loc_mean,inverse_gamma_over_logkappa_mean,tau_H_sq_mean,coupling_bound_rate_mean,gamma_over_coupling_bound_min,Lambda_hat_full_sym_mean,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,current_bound_rate,conjecture_bound_rate,self_adjoint_error_L_star_max,n_seeds
additive_index,16,100.0,0.9077520494309463,,0.9077520494309463,1.101622409585175,0.1965368352845077,0.014708598645999089,0.33170701820040965,2.7366079088580024,0.2084056634637844,0.10222592405394143,,0.20079522862823063,0.02559495781739623,3.1840756246958975e-15,1
additive_index,32,100.0,,,,,,,,,,,,,,,1
product_feature,16,100.0,0.9174005270710145,,0.9174005270710145,1.0900364350047858,0.19446981961933626,0.01047475093300761,0.33217352169789155,2.761811123239922,0.1698974010904007,0.07457677159636833,,0.20079522862823063,0.02559495781739623,3.0256794331006387e-15,1
product_feature,32,100.0,,,,,,,,,,,,,,,1
random_feature,16,100.0,0.8993235288167636,,0.8993235288167636,1.1119468889196038,0.19837879172683628,0.015281231752208434,0.3316440236053506,2.7117133577143533,0.20941309307498454,0.09939214621714214,,0.20079522862823063,0.02559495781739623,5.329070518200751e-15,1
random_feature,32,100.0,,,,,,,,,,,,,,,1
