potential_family,N_theta,kappa_target,Lambda_hat_full_sym_mean,Lambda_hat_full_sym_std,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,tau_H_sq_mean,coupling_bound_rate_mean,full_minus_diag_mean,lambda_over_logkappa_mean,self_adjoint_error_H_sym_max,n_seeds
additive_index,16,100.0,0.2084056634637844,,0.10222592405394143,,0.014708598645999089,0.33170701820040965,0.10617973940984296,0.03718096980975898,2.7755575615628914e-16,1
additive_index,32,100.0,,,,,,,,,,1
product_feature,16,100.0,0.1698974010904007,,0.07457677159636833,,0.01047475093300761,0.33217352169789155,0.09532062949403236,0.030310837218665253,2.220446049250313e-16,1
product_feature,32,100.0,,,,,,,,,,1
random_feature,16,100.0,0.20941309307498454,,0.09939214621714214,,0.015281231752208434,0.3316440236053506,0.1100209468578424,0.03736070201730525,1.6653345369377348e-16,1
random_feature,32,100.0,,,,,,,,,,1
