family,N_theta,kappa_target,Lambda_hat_mean,Lambda_hat_std,lambda_over_logkappa_mean,log_kappa_factor,n_seeds
additive_index,4,2.0,0.038446851026864,0.01902011805197085,0.02270732956254231,1.6931471805599454,10
additive_index,4,5.0,0.06879573993397478,0.02690830659196533,0.026364198820811056,2.6094379124341005,10
additive_index,4,10.0,0.0743195526035261,0.03357549029597296,0.02250344821127675,3.302585092994046,10
additive_index,4,20.0,0.09735903195034072,0.04193575413096623,0.024365754581386168,3.995732273553991,10
additive_index,4,50.0,0.09861693781661907,0.0389145081598294,0.020076644125575166,4.912023005428146,10
additive_index,8,2.0,0.10304269460624263,0.012611396047752394,0.06085867536463374,1.6931471805599454,10
additive_index,8,5.0,0.11826415052350889,0.02214453077302987,0.045321695511502454,2.6094379124341005,10
additive_index,8,10.0,0.12823842912952438,0.022780398618296418,0.03882971233703064,3.302585092994046,10
additive_index,8,20.0,0.14123870672011668,0.030982556741280608,0.03534738992772716,3.995732273553991,10
additive_index,8,50.0,0.14122304279199577,0.02892795630568099,0.0287504848075699,4.912023005428146,10
additive_index,16,2.0,0.260208295910245,0.02691632305463895,0.15368321129896742,1.6931471805599454,10
additive_index,16,5.0,0.2789137145157581,0.024133882654682696,0.10688651114737027,2.6094379124341005,10
additive_index,16,10.0,0.2834325071064634,0.02140569396395419,0.08582140932802132,3.302585092994046,10
additive_index,16,20.0,0.2680430465552761,0.017311980506571494,0.06708233390143181,3.995732273553991,10
additive_index,16,50.0,0.27141985549505543,0.035270655449402784,0.05525622644582824,4.912023005428146,10
additive_index,32,2.0,0.7323752144308021,0.039971580870043995,0.43255259958475456,1.6931471805599454,10
additive_index,32,5.0,0.7194621109560189,0.05002788195829549,0.27571535905405004,2.6094379124341005,10
additive_index,32,10.0,0.7388022122470981,0.036963164809990304,0.22370421698273862,3.302585092994046,10
additive_index,32,20.0,0.7252501527058578,0.03971511508774391,0.18150619287132227,3.995732273553991,10
additive_index,32,50.0,0.7354867272943724,0.038589718610851254,0.1497319386496369,4.912023005428146,10
additive_index,64,2.0,2.017608811544848,0.055422733228683733,1.1916322660606498,1.6931471805599454,10
additive_index,64,5.0,1.9917335704936068,0.05272082386361521,0.7632806900685002,2.6094379124341005,10
additive_index,64,10.0,1.9933640634675474,0.02687255826544037,0.6035768972906042,3.302585092994046,10
additive_index,64,20.0,2.0146184335565733,0.030255186110885842,0.5041925473562016,3.995732273553991,10
additive_index,64,50.0,2.0453433598263566,0.04485594968969073,0.41639531361439097,4.912023005428146,10
radial_tail,4,2.0,0.12419416521442192,0.015326513636651062,0.07335107463802959,1.6931471805599454,10
radial_tail,4,5.0,0.21430696920830722,0.025771025968884444,0.0821276368321024,2.6094379124341005,10
radial_tail,4,10.0,0.25115578865861893,0.014736568307333183,0.07604824147950326,3.302585092994046,10
radial_tail,4,20.0,0.2836031936150996,0.018473540030950454,0.07097652550250813,3.995732273553991,10
radial_tail,4,50.0,0.3117809586446684,0.022409934305344277,0.06347302492275128,4.912023005428146,10
radial_tail,8,2.0,0.16240219444900614,0.021665830853795896,0.09591735220283545,1.6931471805599454,10
radial_tail,8,5.0,0.25089541599549814,0.03847870769753725,0.0961492184964314,2.6094379124341005,10
radial_tail,8,10.0,0.2920290354939751,0.030342992991198067,0.08842437886414259,3.302585092994046,10
radial_tail,8,20.0,0.34676348331585694,0.04352120236840368,0.08678346284883327,3.995732273553991,10
radial_tail,8,50.0,0.3667424989093599,0.02942259641867595,0.07466221117125928,4.912023005428146,10
radial_tail,16,2.0,0.3327640542139111,0.03317051567643931,0.19653581096468045,1.6931471805599454,10
