family,N_theta,kappa_target,Lambda_hat_mean,Lambda_hat_std,lambda_over_logkappa_mean,log_kappa_factor,n_seeds
radial_tail,16,5.0,0.41442583016743956,0.02145840526092041,0.15881804590662227,2.6094379124341005,10
radial_tail,16,10.0,0.4414473658177969,0.043709956106528114,0.13366721928051556,3.302585092994046,10
radial_tail,16,20.0,0.4908388259685175,0.034682183529111656,0.12284076919196152,3.995732273553991,10
radial_tail,16,50.0,0.4916396801004262,0.04083052225424603,0.10008904265251369,4.912023005428146,10
radial_tail,32,2.0,0.7984410118363604,0.02702630793142994,0.4715721237962939,1.6931471805599454,10
radial_tail,32,5.0,0.8732654332819457,0.051085015078971556,0.33465652856532546,2.6094379124341005,10
radial_tail,32,10.0,0.8985258079147844,0.04106949802330683,0.27206742070654777,3.302585092994046,10
radial_tail,32,20.0,0.9191906356577195,0.05269458923426246,0.2300430991689412,3.995732273553991,10
radial_tail,32,50.0,0.9478478473582092,0.04745944492579208,0.19296486321639122,4.912023005428146,10
radial_tail,64,2.0,2.07541862785615,0.0369334106649834,1.2257756748410866,1.6931471805599454,10
radial_tail,64,5.0,2.1504701746302457,0.06922642023776036,0.8241124130155193,2.6094379124341005,10
radial_tail,64,10.0,2.199256962597876,0.030814449058859255,0.665919847837768,3.302585092994046,10
radial_tail,64,20.0,2.2219686704711163,0.04827888581958096,0.5560854727873932,3.995732273553991,10
radial_tail,64,50.0,2.187098531891677,0.053573432225755266,0.4452541304213707,4.912023005428146,10
random_feature,4,2.0,0.04253992225678445,0.02109896940489827,0.025124763366830255,1.6931471805599454,10
random_feature,4,5.0,0.06579788100142878,0.03205238435249714,0.025215346449861335,2.6094379124341005,10
random_feature,4,10.0,0.08293886068227045,0.03986989299519474,0.025113315280872912,3.302585092994046,10
random_feature,4,20.0,0.09406848672870595,0.046892334092555825,0.023542239641855946,3.995732273553991,10
random_feature,4,50.0,0.09637713184588834,0.03787860646380102,0.019620659703626087,4.912023005428146,10
random_feature,8,2.0,0.09989250117046716,0.017394145898592308,0.0589981203745273,1.6931471805599454,10
random_feature,8,5.0,0.11518599819050594,0.02884510131375541,0.04414207275890297,2.6094379124341005,10
random_feature,8,10.0,0.13845946686838875,0.021087438784317538,0.04192457210629043,3.302585092994046,10
random_feature,8,20.0,0.1320090220630599,0.02250996798808228,0.03303750427343945,3.995732273553991,10
random_feature,8,50.0,0.14919020155206614,0.025099401405396595,0.03037245578597657,4.912023005428146,10
random_feature,16,2.0,0.26015169888632855,0.038847372531309425,0.15364978418491243,1.6931471805599454,10
random_feature,16,5.0,0.28366478048497623,0.032729744325763505,0.10870723504602256,2.6094379124341005,10
random_feature,16,10.0,0.27314025356111743,0.017064209568372367,0.0827049859034805,3.302585092994046,10
random_feature,16,20.0,0.27910923125442133,0.021304387588942705,0.06985183494442898,3.995732273553991,10
random_feature,16,50.0,0.2803106166364864,0.02142568432618049,0.05706622634436413,4.912023005428146,10
random_feature,32,2.0,0.7060067659982021,0.03717294262188414,0.41697896916717936,1.6931471805599454,10
random_feature,32,5.0,0.6989995722598985,0.03990846105637581,0.26787361712234314,2.6094379124341005,10
random_feature,32,10.0,0.7201560037497742,0.032207038239159644,0.21805827358619173,3.302585092994046,10
random_feature,32,20.0,0.7065597922221181,0.039307953491547344,0.17682861209158812,3.995732273553991,10
random_feature,32,50.0,0.7280457705603958,0.04231281315245175,0.14821709298915167,4.912023005428146,10
random_feature,64,2.0,2.016804764723127,0.0625439447920429,1.1911573830552311,1.6931471805599454,10
random_feature,64,5.0,2.0220676896408363,0.05109566196681537,0.7749054614427054,2.6094379124341005,10
random_feature,64,10.0,2.039015101758157,0.04564263686570945,0.6173997169924951,3.302585092994046,10
random_feature,64,20.0,2.028449078712259,0.05085548710100102,0.5076539016734627,3.995732273553991,10
random_feature,64,50.0,2.0307174078993446,0.05772084510505192,0.41341773148359706,4.912023005428146,10
separable,4,2.0,0.0418772261221628,0.03191171296446979,0.02473336435425151,1.6931471805599454,10
separable,4,5.0,0.07142197489824177,0.057328020747870405,0.027370635859129865,2.6094379124341005,10
separable,4,10.0,0.08847966740280938,0.06439626343849833,0.026791033360656212,3.302585092994046,10
separable,4,20.0,0.08770669510161735,0.0626076387144648,0.021950093023526553,3.995732273553991,10
separable,4,50.0,0.09941309022462091,0.07358933510277169,0.020238726511411315,4.912023005428146,10
separable,8,2.0,0.0728158066146107,0.0213146354443729,0.04300618838731409,1.6931471805599454,10
separable,8,5.0,0.09869304191532227,0.05487193677159994,0.037821571245303456,2.6094379124341005,10
separable,8,10.0,0.10553125131382676,0.051200664245620996,0.031954135424911836,3.302585092994046,10
separable,8,20.0,0.10919275868779914,0.06078070914223316,0.027327346081342435,3.995732273553991,10
separable,8,50.0,0.11867079725287714,0.05871952865031042,0.02415925111135212,4.912023005428146,10
separable,16,2.0,0.21941828616168194,0.03388258188927005,0.12959197444909515,1.6931471805599454,10
separable,16,5.0,0.20980463178608644,0.03403630123581495,0.08040223175510594,2.6094379124341005,10
separable,16,10.0,0.2082883192460978,0.04855823677769623,0.06306826724554385,3.302585092994046,10
separable,16,20.0,0.2085122986532951,0.04647418170896205,0.05218375115703999,3.995732273553991,10
separable,16,50.0,0.22244680990736918,0.051297362473041494,0.045286190569862786,4.912023005428146,10
separable,32,2.0,0.6687781320901556,0.043402241826352314,0.39499113825945253,1.6931471805599454,10
separable,32,5.0,0.6759309259355849,0.03652896672468065,0.25903315143646094,2.6094379124341005,10
separable,32,10.0,0.6359506866950556,0.058597768966161874,0.19256148404597737,3.302585092994046,10
separable,32,20.0,0.6540998277228544,0.03451123712233934,0.16369961322285173,3.995732273553991,10
separable,32,50.0,0.6516898116545062,0.06560886047606844,0.13267238588547753,4.912023005428146,10
separable,64,2.0,1.9783456259431056,0.04703864039831373,1.1684427961477284,1.6931471805599454,10
separable,64,5.0,1.9649835544136498,0.05124320025404895,0.7530294340594985,2.6094379124341005,10
separable,64,10.0,1.905745220896332,0.04911756018501582,0.5770465157549137,3.302585092994046,10
separable,64,20.0,1.9170292256731152,0.051260297702732854,0.4797691873304665,3.995732273553991,10
separable,64,50.0,1.921195094594377,0.06823279664933571,0.3911209480231088,4.912023005428146,10
