potential_family,N_theta,kappa_target,Lambda_hat_full_sym_mean,Lambda_hat_full_sym_std,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,full_minus_diag_mean,lambda_over_logkappa_mean,self_adjoint_error_H_sym_max,n_seeds
additive_index,1,2.0,-0.008251177980048237,0.07871751168041202,-0.008251177980048237,,0.0,-0.004873278634477301,1.3877787807814457e-17,3
additive_index,1,5.0,-0.01621788353853904,0.16008881583197948,-0.01621788353853904,,0.0,-0.006215086958482501,2.775557561562892e-17,3
additive_index,1,10.0,-0.019256964964880125,0.1955464840091703,-0.019256964964880125,,0.0,-0.005830876244712367,5.551115123125783e-17,3
additive_index,1,20.0,-0.02062782360648473,0.21593209443347516,-0.02062782360648473,,0.0,-0.005162463897546733,5.551115123125783e-17,3
additive_index,1,50.0,-0.021464289383063124,0.23085086840558905,-0.021464289383063124,,0.0,-0.0043697452881111334,5.551115123125783e-17,3
additive_index,1,100.0,-0.021816449481857864,0.23386318375988777,-0.021816449481857864,,0.0,-0.0038922010854183994,5.551115123125783e-17,3
additive_index,2,2.0,0.04068752624312423,0.03605900922127124,0.0196004798012545,,0.021087046441869733,0.024030708440637937,2.775557561562892e-17,3
additive_index,2,5.0,0.07921057257800643,0.06963671880923727,0.03651453807317637,,0.04269603450483,0.030355415701045798,4.163336342344337e-17,3
additive_index,2,10.0,0.09763930752214621,0.08454812110751701,0.04642903759383713,,0.051210269928309037,0.029564509247399465,4.163336342344337e-17,3
additive_index,2,20.0,0.1091643923305363,0.09411394385137625,0.05071514821138597,,0.058449244119150305,0.0273202469177046,5.551115123125783e-17,3
additive_index,2,50.0,0.11557704030397985,0.09974793776799053,0.05472228714048549,,0.06085475316349429,0.023529417548789632,1.6653345369377348e-16,3
additive_index,2,100.0,0.11550448924417372,0.1018920345584301,0.055205907357352035,,0.06029858188682167,0.020606776495906202,1.1102230246251563e-16,3
additive_index,3,2.0,0.033189608720668035,0.010179238155060555,0.019203423254047832,,0.013986185466620166,0.019602317566799934,2.775557561562892e-17,3
additive_index,3,5.0,0.06631102645669787,0.018206854713495833,0.03926379287346599,,0.027047233583231838,0.025411996254336034,4.163336342344337e-17,3
additive_index,3,10.0,0.0813643605934763,0.02202874668264052,0.04648074689790643,,0.0348836136955698,0.024636567507701435,5.551115123125783e-17,3
additive_index,3,20.0,0.09160836714969206,0.02380731033023972,0.05384265240055397,,0.03776571474913806,0.022926552851402934,1.1102230246251563e-16,3
additive_index,3,50.0,0.0957957607817988,0.026286995408955512,0.05573703750226857,,0.0400587232795302,0.019502302956630534,8.326672684688674e-17,3
additive_index,3,100.0,0.09485628804212372,0.023291687849804812,0.05433910526166686,,0.04051718278045677,0.0169229987484139,5.551115123125783e-17,3
additive_index,4,2.0,0.023728293316022137,0.007959602089960603,0.007800567712167234,,0.0159277256038548,0.0140143122750704,2.775557561562892e-17,3
additive_index,4,5.0,0.04840370933227527,0.016747077133217183,0.0171980063022219,,0.031205703030053298,0.018549477303763034,8.326672684688674e-17,3
additive_index,4,10.0,0.0590876182881769,0.019187020893095624,0.0213451683466435,,0.03774244994153337,0.0178913235009516,8.326672684688674e-17,3
additive_index,4,20.0,0.06569006406457507,0.02329200332363813,0.023754614885139733,,0.04193544917943523,0.016440056432045966,5.551115123125783e-17,3
additive_index,4,50.0,0.06858409949266187,0.022965107863834065,0.024581770774467798,,0.04400232871819396,0.013962495578068598,8.326672684688674e-17,3
additive_index,4,100.0,0.07117343104361419,0.02526645285820312,0.026948741193796904,,0.04422468984981723,0.012697818029064433,1.1102230246251563e-16,3
additive_index,5,2.0,0.03296849141038003,0.015731704342338393,0.014267378704838365,,0.018701112705541634,0.019471722121332,3.4694469519536136e-17,3
additive_index,5,5.0,0.06729338025860133,0.03309343420981094,0.029766979960882265,,0.03752640029771903,0.025788458095877667,4.163336342344337e-17,3
additive_index,5,10.0,0.0839469499219862,0.04154821761980834,0.038269738923094966,,0.04567721099889116,0.025418557753460264,6.938893903907227e-17,3
additive_index,5,20.0,0.09124098771084672,0.04418200673441828,0.038793638740919796,,0.052447348969926866,0.02283460989484477,8.326672684688674e-17,3
additive_index,5,50.0,0.09811735861370346,0.04783996858340675,0.04304509116374163,,0.0550722674499618,0.019974938738128136,5.551115123125783e-17,3
additive_index,5,100.0,0.0987900222935242,0.04842455457467283,0.043276255949644966,,0.05551376634387917,0.0176248033539608,1.1102230246251563e-16,3
additive_index,6,2.0,0.0309417899493111,0.009487414934389746,0.013917779885150633,,0.017024010064160402,0.018274719589987568,4.163336342344337e-17,3
additive_index,6,5.0,0.06247570366649707,0.020267830282223762,0.027384235317224736,,0.03509146834927227,0.023942207388341036,5.551115123125783e-17,3
additive_index,6,10.0,0.075668167760923,0.025456296989156836,0.0343747989404278,,0.041293368820495134,0.02291179958434437,1.3877787807814454e-16,3
additive_index,6,20.0,0.08558285960478923,0.028706931444605267,0.038033083624542066,,0.04754977598024717,0.021418567047453266,1.1102230246251563e-16,3
additive_index,6,50.0,0.08904548825254836,0.0289521697171036,0.03950047934392573,,0.04954500890862257,0.018128068242788436,1.1102230246251563e-16,3
additive_index,6,100.0,0.08985383588708386,0.02757292044516741,0.0406486447960582,,0.049205191091025606,0.01603052769239763,1.1102230246251563e-16,3
additive_index,7,2.0,0.0345796626092783,0.0012586712132242506,0.015335441825603632,,0.0192442207836746,0.02042330578599923,3.816391647148976e-17,3
additive_index,7,5.0,0.0682227615381958,0.0018874622746872355,0.03039470643951123,,0.03782805509868453,0.0261446195799911,1.006139616066548e-16,3
additive_index,7,10.0,0.08476577365171963,0.00217529277184358,0.03739666110513207,,0.047369112546587565,0.02566649193431463,1.1102230246251563e-16,3
additive_index,7,20.0,0.09457856410097033,0.0040174894140621,0.0419427587593581,,0.05263580534161217,0.023669895184656,1.3877787807814454e-16,3
additive_index,7,50.0,0.10262252704336823,0.0005260826199869645,0.046827233905280874,,0.05579529313808727,0.020892110425778265,2.498001805406602e-16,3
additive_index,7,100.0,0.09953453033852823,0.0010410226726558045,0.04480466157466117,,0.05472986876386707,0.017757628588574565,1.6653345369377348e-16,3
additive_index,8,2.0,0.04000535183449196,0.00319624907422194,0.019591982617041166,,0.020413369217450735,0.0236278052456501,2.775557561562892e-17,3
additive_index,8,5.0,0.0802935020893084,0.009493274939348317,0.043147933285766334,,0.03714556880354206,0.030770420597748604,1.1102230246251563e-16,3
additive_index,8,10.0,0.09985790942085622,0.010332513226426433,0.051734194463334694,,0.0481237149575215,0.030236286608538932,8.326672684688674e-17,3
additive_index,8,20.0,0.10663606596426263,0.013364793214475503,0.05588202264775453,,0.050754043316508034,0.026687490218010868,1.3877787807814454e-16,3
additive_index,8,50.0,0.11760084508228048,0.012415365225540572,0.06346241163281874,,0.05413843344946167,0.023941427992564934,2.498001805406602e-16,3
additive_index,8,100.0,0.11939674156817526,0.011274117799749418,0.06322007644394383,,0.0561766651242314,0.0213011804470532,1.6653345369377348e-16,3
additive_index,9,2.0,0.03803805587583247,0.005802445109709727,0.012231065635346266,,0.0258069902404862,0.0224658885610008,8.326672684688674e-17,3
additive_index,9,5.0,0.07673284891558241,0.01214158805427846,0.0267273911880076,,0.05000545772757473,0.029405891801428368,1.6653345369377348e-16,3
additive_index,9,10.0,0.09337082072260024,0.01378144225605246,0.0328912068865618,,0.0604796138360384,0.028272040869037063,2.220446049250313e-16,3
additive_index,9,20.0,0.10520078582573587,0.008946940798643587,0.03717608810392837,,0.06802469772180747,0.026328286938044832,1.249000902703301e-16,3
additive_index,9,50.0,0.10886654541536907,0.02011328263378677,0.038293712138621434,,0.07057283327674757,0.02216328085089653,2.220446049250313e-16,3
additive_index,9,100.0,0.11293402091973247,0.015540037392847499,0.039778089592630565,,0.07315593132710187,0.020148187686084337,2.7755575615628914e-16,3
additive_index,10,2.0,0.035487968450568834,0.007439780352535872,0.017012225135429267,,0.0184757433151395,0.0209597658479002,8.326672684688674e-17,3
additive_index,10,5.0,0.07211496557478048,0.013163338546930947,0.033545640153660135,,0.0385693254211203,0.027636206721435668,8.326672684688674e-17,3
additive_index,10,10.0,0.08780163828018737,0.021386965817652887,0.042223024009297304,,0.045578614270889994,0.026585730816276534,9.714451465470121e-17,3
additive_index,10,20.0,0.09788064256672728,0.02073055373589875,0.04634374987376327,,0.051536892692963965,0.024496296514798167,2.220446049250313e-16,3
additive_index,10,50.0,0.1027889660256735,0.022623315958272817,0.049253281598772326,,0.05353568442690113,0.02092599442471747,1.9428902930940242e-16,3
additive_index,10,100.0,0.10453251325991036,0.022543359666984505,0.050214345021850494,,0.05431816823805983,0.018649302303295336,1.3877787807814454e-16,3
additive_index,11,2.0,0.041590209035878935,0.00870485765183639,0.019246671768936397,,0.022343537266942503,0.02456384743949107,8.326672684688674e-17,3
additive_index,11,5.0,0.07986073241917047,0.014959924093267312,0.03899152954326967,,0.0408692028759008,0.0306045727467322,8.326672684688674e-17,3
additive_index,11,10.0,0.09596792492752564,0.021018204813057776,0.04494616747146734,,0.05102175745605827,0.0290584261193171,1.1102230246251563e-16,3
additive_index,11,20.0,0.10581683655610243,0.017159625297590814,0.04985864818909636,,0.05595818836700606,0.026482464117142668,8.326672684688674e-17,3
additive_index,11,50.0,0.11492946003084153,0.02755863790186097,0.0532730879708636,,0.061656372059977836,0.023397581791419902,1.6653345369377348e-16,3
additive_index,11,100.0,0.11662532978674917,0.02542025030967987,0.0560843164600943,,0.060541013326654826,0.020806741975166233,1.873501354054952e-16,3
