kappa,gamma,scheme,family,dt,dt_over_certified,perturb,p,r,q,c_cycle,M,initial_gap,final_gap,final_rel_gap,min_rel_gap,max_rel_gap,amplitude_min,amplitude_max,n_steps,sign_flips,n_tol,tol_rel,converged,status
64.0,0.25,riemannian,fisher_rao,0.25,16.0,0.0,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160728405.546739,1160728405.5467396,1.0000000000000004,1.0,1.0000000000000009,1.0,1.0000000000000002,20000,20000,-1,1e-06,0,cycling
64.0,0.25,riemannian,fisher_rao,0.25,16.0,1e-12,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160728405.5488558,1160728405.5467396,0.9999999999981768,0.9999999999968097,1.0,0.9999999999992503,1.000000000001,20000,20000,-1,1e-06,0,cycling
64.0,0.25,riemannian,fisher_rao,0.25,16.0,1e-06,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160730522.0818174,1160728405.5467396,0.9999981765491321,0.9999968089611315,1.0,0.9999992500000007,1.000001,20000,20000,-1,1e-06,0,cycling
64.0,0.25,riemannian,fisher_rao,0.25,16.0,0.01,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1181906983.351233,1160728405.5467396,0.9820810113631424,0.9686564123948792,1.107354572251375,0.9925000000000004,1.0696515523940997,20000,20000,-1,1e-06,0,cycling
64.0,0.25,riemannian,fisher_rao,0.25,16.0,0.05,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1266885861.4374707,1160728405.5467396,0.9162059826208182,0.8536395597594285,1.70213659091999,0.9624999999999999,1.4573578307159518,20000,20000,-1,1e-06,0,cycling
64.0,0.25,riemannian,fisher_rao,0.25,16.0,0.1,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1373704734.4988608,1160728405.5467396,0.8449620769270939,0.7296083007935046,1.529156849185216,0.925,1.432381570626516,20000,20000,-1,1e-06,0,cycling
64.0,0.25,riemannian,fisher_rao,0.25,16.0,0.2,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1589326732.1336176,1115.0378747607308,7.015787579837847e-07,7.015787579837847e-07,1.0,0.0009752984092376253,1.2,24,2,24,1e-06,1,ok
64.0,0.25,riemannian,fisher_rao,0.25,16.0,0.5,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,2252066737.1336985,2122.3310873168225,9.423926264361082e-07,9.423926264361082e-07,1.0,0.0013455482444379547,1.5000000000000002,23,2,23,1e-06,1,ok
64.0,0.25,kl,fisher_rao,0.25,16.0,0.0,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160728405.546739,1160728405.5467396,1.0000000000000004,1.0,1.0000000000000009,1.0,1.0000000000000002,20000,20000,-1,1e-06,0,cycling
64.0,0.25,kl,fisher_rao,0.25,16.0,1e-12,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160728405.5488558,1160728405.5467396,0.9999999999981768,0.9999999999968097,1.0,0.9999999999992503,1.000000000001,20000,20000,-1,1e-06,0,cycling
64.0,0.25,kl,fisher_rao,0.25,16.0,1e-06,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160730522.0818174,1160728405.5467396,0.9999981765491321,0.9999968089611315,1.0,0.9999992500000007,1.000001,20000,20000,-1,1e-06,0,cycling
64.0,0.25,kl,fisher_rao,0.25,16.0,0.01,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1181906983.351233,1160728405.5467412,0.9820810113631437,0.9686564123948792,1.0818844368323197,0.9925000000000004,1.0555390432840392,20000,20000,-1,1e-06,0,cycling
64.0,0.25,kl,fisher_rao,0.25,16.0,0.05,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1266885861.4374707,1160728405.5467412,0.9162059826208195,0.8536395597594285,1.5884906723777181,0.9624999999999999,1.3927652264631423,20000,20000,-1,1e-06,0,cycling
64.0,0.25,kl,fisher_rao,0.25,16.0,0.1,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1373704734.4988608,1160728405.5467412,0.8449620769270951,0.7296083007935046,1.4241896404629204,0.925,1.3674978991111266,20000,20000,-1,1e-06,0,cycling
64.0,0.25,kl,fisher_rao,0.25,16.0,0.2,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1589326732.1336176,1044.174416817259,6.56991665530907e-07,6.56991665530907e-07,1.0,0.0009437675629467704,1.2,6,2,6,1e-06,1,ok
64.0,0.25,kl,fisher_rao,0.25,16.0,0.5,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,2252066737.1336985,1635.6238651328365,7.262768186055467e-07,7.262768186055467e-07,1.0,0.001181229518767898,1.5000000000000002,13,2,13,1e-06,1,ok
64.0,0.5,riemannian,fisher_rao,0.5,32.0,0.0,13.0,52.0,4.0,0.07692307692307693,3027.3282010893413,282348457.0436736,282348457.0436736,1.0,1.0,1.0000000000000013,1.0,1.0000000000000007,20000,20000,-1,1e-06,0,cycling
64.0,0.5,riemannian,fisher_rao,0.5,32.0,1e-12,13.0,52.0,4.0,0.07692307692307693,3027.3282010893413,282348457.0441502,282348457.04367375,0.9999999999983127,0.9999999999974689,1.0,0.9999999999995004,1.000000000001,20000,20000,-1,1e-06,0,cycling
64.0,0.5,riemannian,fisher_rao,0.5,32.0,1e-06,13.0,52.0,4.0,0.07692307692307693,3027.3282010893413,282348933.6089671,282348457.0436739,0.9999983121406298,0.9999974682111026,1.0,0.9999995000000006,1.000001,20000,20000,-1,1e-06,0,cycling
64.0,0.5,riemannian,fisher_rao,0.5,32.0,0.01,13.0,52.0,4.0,0.07692307692307693,3027.3282010893413,287120066.4483954,282348457.0436738,0.9833811357605715,0.9750872643728035,1.0,0.9950000000000003,1.01,20000,20000,-1,1e-06,0,cycling
64.0,0.5,riemannian,fisher_rao,0.5,32.0,0.05,13.0,52.0,4.0,0.07692307692307693,3027.3282010893413,306325645.3757648,436090888.63548994,1.4236186072522403,0.6794655622534407,3.459149311722901,0.8433124911568763,2.389619328350806,20000,20000,-1,1e-06,0,cycling
64.0,0.5,riemannian,fisher_rao,0.5,32.0,0.1,13.0,52.0,4.0,0.07692307692307693,3027.3282010893413,330600686.97906214,436090888.63548994,1.3190864562937488,0.6295743931139322,3.2051540940438494,0.8433124911568763,2.389619328350806,20000,20000,-1,1e-06,0,cycling
64.0,0.5,riemannian,fisher_rao,0.5,32.0,0.2,13.0,52.0,4.0,0.07692307692307693,3027.3282010893413,380044329.9992749,436090888.63548994,1.1474737398037802,0.5476669705039126,2.7881645948162728,0.8433124911568763,2.389619328350806,20000,20000,-1,1e-06,0,cycling
64.0,0.5,riemannian,fisher_rao,0.5,32.0,0.5,13.0,52.0,4.0,0.07692307692307693,3027.3282010893413,535523737.56886023,454.86316482854863,8.493800235513559e-07,8.493800235513559e-07,1.0,0.0012453914739434175,1.5,11,2,11,1e-06,1,ok
