kappa,gamma,scheme,dt,perturb,n,m,c,gap,rel_gap,amplitude,cA
64.0,0.25,riemannian,0.25,0.0,430,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,440,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,450,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,460,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,470,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,480,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,490,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,500,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,510,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,520,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,530,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,540,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,550,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,560,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,570,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,580,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,590,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,600,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,610,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,620,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,630,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,640,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,650,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,660,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,670,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,680,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,690,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,700,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,710,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,720,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,730,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,740,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,750,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,760,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,770,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,780,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,790,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,800,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,810,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,820,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,830,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,840,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,850,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,860,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,870,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,880,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,890,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,900,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,910,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,920,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,930,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,940,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,950,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,960,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,970,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,980,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,990,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1000,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1010,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1020,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1030,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1040,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1050,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1060,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1070,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1080,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1090,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1100,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1110,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1120,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1130,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1140,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1150,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1160,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1170,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1180,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1190,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1200,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1210,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1220,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1230,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1240,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1250,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1260,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1270,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1280,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1290,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1300,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1310,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1320,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1330,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1340,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1350,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1360,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1370,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1380,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1390,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1400,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1410,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1420,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1430,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1440,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1450,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1460,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1470,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1480,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1490,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1500,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1510,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1520,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1530,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1540,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1550,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1560,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1570,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1580,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1590,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1600,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1610,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1620,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1630,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1640,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1650,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1660,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1670,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1680,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1690,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1700,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1710,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1720,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1730,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1740,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1750,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1760,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1770,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1780,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1790,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1800,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1810,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1820,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1830,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1840,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1850,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1860,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1870,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1880,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1890,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1900,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1910,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1920,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,1930,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
