kappa,gamma,scheme,dt,perturb,n,m,c,gap,rel_gap,amplitude,cA
64.0,0.25,riemannian,0.25,0.0,0,6052.4652502691915,0.13846153846153847,1160728405.546739,1.0,1.0,1.0
64.0,0.25,riemannian,0.25,0.0,10,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,20,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,30,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,40,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,50,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,60,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,70,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,80,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,90,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,100,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,110,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,120,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,130,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,140,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,150,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,160,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,170,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,180,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,190,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,200,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,210,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,220,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,230,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,240,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,250,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,260,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,270,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,280,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,290,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,300,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,310,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,320,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,330,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,340,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,350,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,360,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,370,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,380,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,390,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,400,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,410,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
64.0,0.25,riemannian,0.25,0.0,420,6052.465250269193,0.13846153846153847,1160728405.5467396,1.0000000000000004,1.0000000000000002,1.0
