family,kappa,scheme,arm,gamma,dt_nominal,dt_mean,s_train,N_train,x0,initial_gap,final_gap,final_rel_gap,n_steps,n_half,n_tol,tol_rel,n_half_over_N_train,shadow_mean_err_over_w,shadow_cov_err,cA_min,cA_max,c_min,c_max,max_energy_increase,monotone,status
manuscript,128.0,riemannian,const,0.5,0.5,0.5,3.0517578125e-05,4096,2147483648.0,2.3631621988793303e+18,796890294575.5999,3.3721354164919566e-07,22,10,22,1e-06,0.00244140625,4219156.919065077,126.89002614285792,0.007812499999999999,0.9999999999999999,0.0078125,0.9995701377390672,0.0,1,ok
manuscript,128.0,kl,const,0.5,0.5,0.5,3.0517578125e-05,4096,2147483648.0,2.3631621988793303e+18,781882272945.1968,3.3086272000964835e-07,25,11,25,1e-06,0.002685546875,4218796.379511445,125.56772067878948,0.007812499999999999,0.9999999999999999,0.0078125,0.9925122834792793,0.0,1,ok
manuscript,256.0,riemannian,theory,0.5,0.001953125,0.001953125,7.62939453125e-06,16384,34359738368.0,6.050948318153208e+20,604707319165455.5,9.993595836065848e-07,22681,18454,22681,1e-06,1.1263427734375,0.0,0.0,0.0039062499999999996,0.9999999999999999,0.00390625,0.9988446708540757,0.0,1,ok
manuscript,256.0,kl,theory,0.5,0.001953125,0.001953125,7.62939453125e-06,16384,34359738368.0,6.050948318153208e+20,602966929190216.0,9.96483356800915e-07,22685,18455,22685,1e-06,1.12640380859375,0.0,0.0,0.0039062499999999996,0.9999999999999999,0.00390625,0.9988321511510616,0.0,1,ok
manuscript,256.0,riemannian,const,0.5,0.5,0.5,7.62939453125e-06,16384,34359738368.0,6.050948318153208e+20,350075682014267.75,5.785468055709875e-07,23,11,23,1e-06,0.00067138671875,33627488.57684798,254.71142828691364,0.0039062499999999996,0.9999999999999999,0.00390625,0.9994359067280948,0.0,1,ok
manuscript,256.0,kl,const,0.5,0.5,0.5,7.62939453125e-06,16384,34359738368.0,6.050948318153208e+20,531718466620338.06,8.787357595257437e-07,26,13,26,1e-06,0.00079345703125,33615397.32813075,251.1800239093069,0.0039062499999999996,0.9999999999999999,0.00390625,0.9900024183538552,0.0,1,ok
manuscript,512.0,riemannian,theory,0.5,0.0009765625,0.0009765625,1.9073486328125e-06,65536,549755813888.0,1.5492058341235532e+23,1.546908750764804e+17,9.985172510274924e-07,78842,70373,78842,1e-06,1.0738067626953125,0.0,0.0,0.0019531249999999998,0.9999999999999999,0.001953125,0.9988422232844546,0.0,1,ok
manuscript,512.0,kl,theory,0.5,0.0009765625,0.0009765625,1.9073486328125e-06,65536,549755813888.0,1.5492058341235532e+23,1.5487503846850576e+17,9.997060110228972e-07,78845,70375,78845,1e-06,1.0738372802734375,0.0,0.0,0.0019531249999999998,0.9999999999999999,0.001953125,0.9988344343632128,0.0,1,ok
manuscript,512.0,riemannian,const,0.5,0.5,0.5,1.9073486328125e-06,65536,549755813888.0,1.5492058341235532e+23,1.5365147255116246e+17,9.918079906927871e-07,24,12,24,1e-06,0.00018310546875,268405151.32721266,510.24447021175473,0.0019531249999999998,0.9999999999999999,0.001953125,0.9992613610342806,0.0,1,ok
manuscript,512.0,kl,const,0.5,0.5,0.5,1.9073486328125e-06,65536,549755813888.0,1.5492058341235532e+23,9.201921007665723e+16,5.939766559730013e-07,28,14,28,1e-06,0.000213623046875,268530085.10997546,504.1844928821587,0.0019531249999999998,0.9999999999999999,0.001953125,0.9910860891546243,0.0,1,ok
