kappa,gamma,scheme,family,dt,dt_over_certified,perturb,p,r,q,c_cycle,M,initial_gap,final_gap,final_rel_gap,min_rel_gap,max_rel_gap,amplitude_min,amplitude_max,n_steps,sign_flips,n_tol,tol_rel,converged,status,bw_eta_multiplier
64.0,0.25,riemannian,fisher_rao,0.25,16.0,0.0,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160728405.546739,1160728405.5467396,1.0000000000000004,1.0,1.0000000000000009,1.0,1.0000000000000002,2000,2000,-1,1e-06,0,cycling,
64.0,0.25,kl,fisher_rao,0.25,16.0,0.0,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160728405.546739,1160728405.5467396,1.0000000000000004,1.0,1.0000000000000009,1.0,1.0000000000000002,2000,2000,-1,1e-06,0,cycling,
64.0,0.25,bures_wasserstein,bures_wasserstein,0.00390625,0.25,0.0,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160728405.546739,707.587221067365,6.096061901182382e-07,6.096061901182382e-07,1.0,0.0007769314406055785,1.0,25,0,25,1e-06,1,ok,0.25
64.0,0.25,bures_wasserstein,bures_wasserstein,0.0078125,0.5,0.0,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160728405.546739,336.4680822211406,2.8987666762807766e-07,2.8987666762807766e-07,1.0,0.0005357530381944814,1.0,11,0,11,1e-06,1,ok,0.5
64.0,0.25,bures_wasserstein,bures_wasserstein,0.015625,1.0,0.0,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160728405.546739,1.2588366349319813e-08,1.0845229848054163e-17,1.0845229848054163e-17,1.0,3.7567117867073965e-17,1.0,2,0,2,1e-06,1,ok,1.0
64.0,0.25,bures_wasserstein,bures_wasserstein,0.03125,2.0,0.0,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160728405.546739,760690271.7256482,0.6553559541496182,0.6553525155794627,1.0,0.8055555555553985,1.0,2000,2000,-1,1e-06,0,cycling,2.0
64.0,0.25,bures_wasserstein,bures_wasserstein,0.0625,4.0,0.0,7.222222222222222,57.77777777777778,8.0,0.13846153846153847,6052.4652502691915,1160728405.546739,3505860532.28472,3.0203969468924567,1.0,4.233605970570253,1.0,2.611111111111111,2000,2000,-1,1e-06,0,cycling,4.0
64.0,0.5,riemannian,fisher_rao,0.5,32.0,0.0,13.0,52.0,4.0,0.07692307692307693,3027.3282010893413,282348457.0436736,282348457.0436736,1.0,1.0,1.0000000000000013,1.0,1.0000000000000007,2000,2000,-1,1e-06,0,cycling,
64.0,0.5,kl,fisher_rao,0.5,32.0,0.0,13.0,52.0,4.0,0.07692307692307693,3027.3282010893413,282348457.0436736,282348457.0436736,1.0,1.0,1.0000000000000013,1.0,1.0000000000000007,2000,2000,-1,1e-06,0,cycling,
64.0,0.5,bures_wasserstein,bures_wasserstein,0.00390625,0.25,0.0,13.0,52.0,4.0,0.07692307692307693,3027.3282010893413,282348457.0436736,187.5406635890802,6.642170655109033e-07,6.642170655109033e-07,1.0,0.0007996744649962823,1.0,25,0,25,1e-06,1,ok,0.25
