family,kappa,scheme,arm,gamma,dt_nominal,dt_mean,s_train,N_train,x0,initial_gap,final_gap,final_rel_gap,n_steps,n_half,n_tol,tol_rel,n_half_over_N_train,shadow_mean_err_over_w,shadow_cov_err,cA_min,cA_max,c_min,c_max,max_energy_increase,monotone,status,n_points,slope,r2,slope_upper,all_monotone,all_converged,statuses
retuned,8.0,riemannian,const,0.125,0.125,0.125,0.015625,8,16384.0,137120013.59620225,122.6856959477256,8.94732232954822e-07,77,17,77,1e-06,2.125,0.0,0.0,0.12499999999999999,0.9999999999999999,0.125,0.999079531267155,0.0,1,ok,8,0.8486915277964623,0.9982381705373528,0.9230891533249821,1,1,ok
retuned,8.0,kl,const,0.125,0.125,0.125,0.015625,8,16384.0,137120013.59620225,107.16955408655468,7.815748502049661e-07,79,17,79,1e-06,2.125,0.0,0.0,0.12499999999999999,0.9999999999999999,0.125,0.9981650517155908,0.0,1,ok,8,0.8483182335463777,0.9984837831071013,0.9204197161074145,1,1,ok
retuned,16.0,riemannian,const,0.125,0.125,0.125,0.0078125,16,131072.0,8792122649.438044,7126.2072881525755,8.105218241704185e-07,91,30,91,1e-06,1.875,0.0,0.0,0.06249999999999999,0.9999999999999999,0.0625,0.9990717363471393,0.0,1,ok,8,0.8486915277964623,0.9982381705373528,0.9230891533249821,1,1,ok
retuned,16.0,kl,const,0.125,0.125,0.125,0.0078125,16,131072.0,8792122649.438044,6874.669348507498,7.819123575291456e-07,93,30,93,1e-06,1.875,0.0,0.0,0.06249999999999999,0.9999999999999999,0.0625,0.9980606486995963,0.0,1,ok,8,0.8483182335463777,0.9984837831071013,0.9204197161074145,1,1,ok
retuned,32.0,riemannian,const,0.125,0.125,0.125,0.00390625,32,1048576.0,563189996853.3853,533972.2230273556,9.481209290128143e-07,112,50,112,1e-06,1.5625,0.0,0.0,0.031249999999999997,0.9999999999999999,0.03125,0.9989683823790357,0.0,1,ok,8,0.8486915277964623,0.9982381705373528,0.9230891533249821,1,1,ok
retuned,32.0,kl,const,0.125,0.125,0.125,0.00390625,32,1048576.0,563189996853.3853,433806.46883769805,7.702666440480662e-07,115,51,115,1e-06,1.59375,0.0,0.0,0.031249999999999997,0.9999999999999999,0.03125,0.9980230511840719,0.0,1,ok,8,0.8483182335463777,0.9984837831071013,0.9204197161074145,1,1,ok
retuned,64.0,riemannian,const,0.125,0.125,0.125,0.001953125,64,8388608.0,36059355848744.234,30456092.271616884,8.446099924626777e-07,150,87,150,1e-06,1.359375,0.0,0.0,0.015624999999999998,0.9999999999999999,0.015625,0.999013420462955,0.0,1,ok,8,0.8486915277964623,0.9982381705373528,0.9230891533249821,1,1,ok
retuned,64.0,kl,const,0.125,0.125,0.125,0.001953125,64,8388608.0,36059355848744.234,35437583.2128164,9.827569677468465e-07,152,88,152,1e-06,1.375,0.0,0.0,0.015624999999999998,0.9999999999999999,0.015625,0.9977710414534591,0.0,1,ok,8,0.8483182335463777,0.9984837831071013,0.9204197161074145,1,1,ok
retuned,128.0,riemannian,const,0.125,0.125,0.125,0.0009765625,128,67108864.0,2308274283900302.0,2261241265.07736,9.796241637525547e-07,219,157,219,1e-06,1.2265625,0.0,0.0,0.007812499999999999,0.9999999999999999,0.0078125,0.9989305700110531,0.0,1,ok,8,0.8486915277964623,0.9982381705373528,0.9230891533249821,1,1,ok
retuned,128.0,kl,const,0.125,0.125,0.125,0.0009765625,128,67108864.0,2308274283900302.0,2208667754.8061633,9.568480532019649e-07,222,158,222,1e-06,1.234375,0.0,0.0,0.007812499999999999,0.9999999999999999,0.0078125,0.9977835625558028,0.0,1,ok,8,0.8483182335463777,0.9984837831071013,0.9204197161074145,1,1,ok
retuned,256.0,riemannian,const,0.125,0.125,0.125,0.00048828125,256,536870912.0,1.4774459081428147e+17,128382396381.55812,8.6894820090529e-07,353,290,353,1e-06,1.1328125,0.0,0.0,0.0039062499999999996,0.9999999999999999,0.00390625,0.9989895492957432,0.0,1,ok,8,0.8486915277964623,0.9982381705373528,0.9230891533249821,1,1,ok
retuned,256.0,kl,const,0.125,0.125,0.125,0.00048828125,256,536870912.0,1.4774459081428147e+17,137372090663.25676,9.297943830372566e-07,356,292,356,1e-06,1.140625,0.0,0.0,0.0039062499999999996,0.9999999999999999,0.00390625,0.9978047397141353,0.0,1,ok,8,0.8483182335463777,0.9984837831071013,0.9204197161074145,1,1,ok
retuned,512.0,riemannian,const,0.125,0.125,0.125,0.000244140625,512,4294967296.0,9.456132049571463e+18,7283275897053.3545,7.702172366959935e-07,615,552,615,1e-06,1.078125,0.0,0.0,0.0019531249999999998,0.9999999999999999,0.001953125,0.9990471619668391,0.0,1,ok,8,0.8486915277964623,0.9982381705373528,0.9230891533249821,1,1,ok
retuned,512.0,kl,const,0.125,0.125,0.125,0.000244140625,512,4294967296.0,9.456132049571463e+18,8535265021958.722,9.026169449849768e-07,618,553,618,1e-06,1.080078125,0.0,0.0,0.0019531249999999998,0.9999999999999999,0.001953125,0.9978299857093533,0.0,1,ok,8,0.8483182335463777,0.9984837831071013,0.9204197161074145,1,1,ok
retuned,1024.0,riemannian,const,0.125,0.125,0.125,0.0001220703125,1024,34359738368.0,6.05207707319397e+20,539304738743277.75,8.911068583907853e-07,1132,1069,1132,1e-06,1.0439453125,0.0,0.0,0.0009765624999999999,0.9999999999999999,0.0009765625,0.9989742843102566,0.0,1,ok,8,0.8486915277964623,0.9982381705373528,0.9230891533249821,1,1,ok
retuned,1024.0,kl,const,0.125,0.125,0.125,0.0001220703125,1024,34359738368.0,6.05207707319397e+20,530042135153631.75,8.758020242361243e-07,1136,1071,1136,1e-06,1.0458984375,0.0,0.0,0.0009765624999999999,0.9999999999999999,0.0009765625,0.997857040477378,0.0,1,ok,8,0.8483182335463777,0.9984837831071013,0.9204197161074145,1,1,ok
