family,scheme,arm,metric,n_points,kappa_min,kappa_max,slope,intercept,r2,slope_upper,kappa_min_upper,n_points_upper,predicted_exponent
manuscript,kl,const,n_half,8,8.0,1024.0,0.2678903318845297,1.0216830453421735,0.9466708304415459,0.17286203480046194,128.0,4,1.0
manuscript,kl,const,n_tol,8,8.0,1024.0,0.10714949192902672,2.6703928121915457,0.9915668562286525,0.08960184214178965,128.0,4,1.0
manuscript,kl,theory,n_half,8,8.0,1024.0,1.8534589418595022,-0.41718764769603256,0.9995976849591288,1.928193133698323,128.0,4,2.0
manuscript,kl,theory,n_tol,8,8.0,1024.0,1.5490450782239085,1.56088997041497,0.9943073576365378,1.7875175017560723,128.0,4,2.0
manuscript,riemannian,const,n_half,8,8.0,1024.0,0.24744503630430165,1.0306448648991977,0.8735020865028529,0.15818113635945835,128.0,4,1.0
manuscript,riemannian,const,n_tol,8,8.0,1024.0,0.0963327234535493,2.6148498274097323,0.8504919172546115,0.07844248431755312,128.0,4,1.0
manuscript,riemannian,theory,n_half,8,8.0,1024.0,1.8534618798922133,-0.41732840456491355,0.9995958713649896,1.928280951663019,128.0,4,2.0
manuscript,riemannian,theory,n_tol,8,8.0,1024.0,1.5501548866942396,1.554309956971276,0.9943723186665951,1.7876539570422898,128.0,4,2.0
retuned,kl,const,n_half,8,8.0,1024.0,0.8123979119931002,-0.13149733263884372,0.9974283015401094,0.8980227517628243,128.0,4,1.0
retuned,kl,const,n_tol,8,8.0,1024.0,0.555260859241412,1.5432336845506338,0.963809951921057,0.7774493090373517,128.0,4,1.0
retuned,kl,theory,n_half,8,8.0,1024.0,1.8534589418595022,-0.41718764769603256,0.9995976849591288,1.928193133698323,128.0,4,2.0
retuned,kl,theory,n_tol,8,8.0,1024.0,1.5490450782239085,1.56088997041497,0.9943073576365378,1.7875175017560723,128.0,4,2.0
retuned,riemannian,const,n_half,8,8.0,1024.0,0.8200206025783033,-0.19328561237100256,0.9974352610657976,0.9051218780910171,128.0,4,1.0
retuned,riemannian,const,n_tol,8,8.0,1024.0,0.5680305403785288,1.4326292306558313,0.9611139120829211,0.7958975568300833,128.0,4,1.0
retuned,riemannian,theory,n_half,8,8.0,1024.0,1.8534618798922133,-0.41732840456491355,0.9995958713649896,1.928280951663019,128.0,4,2.0
retuned,riemannian,theory,n_tol,8,8.0,1024.0,1.5501548866942396,1.554309956971276,0.9943723186665951,1.7876539570422898,128.0,4,2.0
