family,kappa,scheme,arm,n,m,c,gap,rel_gap,cA,A
manuscript,8.0,riemannian,theory,0,32768.0,0.125,547730091.8086157,1.0,0.9999999999999999,7.999999999999999
manuscript,8.0,riemannian,theory,50,15307.451143328313,0.5340013273530183,117159030.33337076,0.21389920343158308,0.5340013273530182,0.9999999999999999
manuscript,8.0,riemannian,theory,100,1136.3530603599527,0.9658915215789583,645649.1391923496,0.0011787724443994,0.9658915215789582,0.9999999999999999
manuscript,8.0,riemannian,theory,150,46.71912586881193,0.9985992167672353,1091.3383614639529,1.9924747202775216e-06,0.9985992167672352,0.9999999999999999
manuscript,8.0,riemannian,theory,156,31.73443285607849,0.9990485182476126,503.53711457495007,9.193161414817661e-07,0.9999999999999999,
manuscript,8.0,kl,theory,0,32768.0,0.125,547730091.8086157,1.0,0.9999999999999999,7.999999999999999
manuscript,8.0,kl,theory,50,15576.441194945046,0.5136721835626107,121312760.23971161,0.22148273767310184,0.5136721835626106,0.9999999999999999
manuscript,8.0,kl,theory,100,1234.145097509693,0.9563087706307245,761557.0613452081,0.001390387478676827,0.9563087706307244,0.9999999999999999
manuscript,8.0,kl,theory,150,51.381137114032,0.9978001515869804,1320.0106267770886,2.40996550402843e-06,0.9978001515869803,0.9999999999999999
manuscript,8.0,kl,theory,157,32.73235001845118,0.9985598069852211,535.7033693842378,9.780426114901495e-07,0.9999999999999999,
manuscript,8.0,riemannian,const,0,32768.0,0.125,547730091.8086157,1.0,0.9999999999999999,7.999999999999999
manuscript,8.0,riemannian,const,16,23.976140506430095,0.9994847364957724,287.4276568584359,5.247614859160724e-07,0.9999999999999999,
manuscript,8.0,kl,const,0,32768.0,0.125,547730091.8086157,1.0,0.9999999999999999,7.999999999999999
manuscript,8.0,kl,const,18,18.459369118841806,0.9929454062865822,170.3741666334744,3.110549688276127e-07,0.9999999999999999,
manuscript,16.0,riemannian,theory,0,524288.0,0.0625,140507570642.3216,1.0,0.9999999999999999,15.999999999999998
