kappa,gamma,q,p,r,c_cycle,M,x1,x2,d,width_factor,V2_min,V2_max,kappa_realized,hessian_lipschitz,A_at_M,b_over_M_at_M,cA_at_M,mean_multiplier,c_star,energy_star,gap_at_cycle
64.0,0.25,8.0,7.222222222222222,57.77777777777778,0.13846153846153847,6052.4652502691915,5385.027669953734,5921.999999827647,125.99999999633292,48.0,1.0,64.0,64.0,0.9999999556378043,7.222222222222221,57.77777777777778,1.0,-1.0000000000000004,0.015625,2.5794416801565117,1160728405.546739
64.0,0.5,4.0,13.0,52.0,0.07692307692307693,3027.3282010893413,2375.060314945488,2897.999999915657,125.99999999633292,24.0,1.0,64.0,64.0,0.9999999924903022,12.999999999999996,52.000000000000014,0.9999999999999998,-1.0000000000000004,0.015625,2.57944154932,282348457.0436736
64.0,1.0,2.0,21.666666666666668,43.333333333333336,0.04615384615384615,3026.578013458532,1949.2199516921055,2897.999999915657,125.99999999633292,24.0,1.0,64.0,64.0,0.9999999900692274,21.666666666666664,43.33333333333332,0.9999999999999998,-0.9999999999999993,0.015625,2.5794415389622687,260749923.24097836
64.0,1.5,1.3333333333333333,27.85714285714286,37.142857142857146,0.035897435897435895,3026.273594152225,1645.3351102142904,2897.999999915657,125.99999999633292,24.0,1.0,64.0,64.0,0.9999999929789283,27.857142857142854,37.14285714285714,0.9999999999999998,-0.9999999999999998,0.015625,2.5794415287866217,238401812.42771068
128.0,0.25,8.0,14.333333333333334,114.66666666666667,0.06976744186046512,6099.169623085355,5318.170752081762,5841.999999829975,253.99999999260763,24.0,1.0,128.0,128.0,0.9999999924632448,14.333333333333332,114.66666666666666,0.9999999999999999,-0.9999999999999998,0.0078125,2.926015068971795,2353646071.6439867
128.0,0.5,4.0,25.8,103.2,0.03875968992248062,6098.362497515457,4755.239821290216,5841.999999829975,253.99999999260763,24.0,1.0,128.0,128.0,0.99999999120746,25.799999999999997,103.19999999999997,0.9999999999999999,-0.9999999999999993,0.0078125,2.9260153839695113,2286366771.779209
128.0,1.0,2.0,43.0,86.0,0.023255813953488372,6097.829982666574,3911.61960037666,5841.999999829975,253.99999999260763,24.0,1.0,128.0,128.0,0.9999999927301815,43.0,86.00000000000001,1.0,-1.0000000000000004,0.0078125,2.926015139599148,2110758622.7224562
128.0,1.5,1.3333333333333333,55.28571428571429,73.71428571428572,0.01808785529715762,6097.613892992155,3309.234186876557,5841.999999829975,253.99999999260763,24.0,1.0,128.0,128.0,0.9999999925587417,55.28571428571428,73.71428571428571,0.9999999999999998,-1.0,0.0078125,2.926015046186223,1930196321.8992045
256.0,0.25,8.0,28.555555555555557,228.44444444444446,0.03501945525291829,12242.245617945355,10636.538068241493,11729.999999658612,509.99999998515705,24.0,1.0,256.0,256.0,0.9999999928731995,28.555555555555554,228.44444444444449,1.0,-1.0000000000000004,0.00390625,3.272590018490678,18951193081.782074
256.0,0.5,4.0,51.4,205.6,0.019455252918287938,12241.673784701725,9516.412147393406,11729.999999658612,509.99999998515705,24.0,1.0,256.0,256.0,0.9999999899725935,51.39999999999999,205.6,0.9999999999999999,-1.0,0.00390625,3.272589939422124,18404812263.593826
256.0,1.0,2.0,85.66666666666667,171.33333333333334,0.011673151750972763,12241.296507974686,7836.7688921131685,11729.999999658612,509.99999998515705,24.0,1.0,256.0,256.0,0.9999999916653906,85.66666666666666,171.33333333333334,0.9999999999999999,-1.0000000000000004,0.00390625,3.2725868424145554,16987531155.159927
256.0,1.5,1.3333333333333333,110.14285714285715,146.85714285714286,0.00907911802853437,12241.14341251588,6637.164625637723,11729.999999658612,509.99999998515705,24.0,1.0,256.0,256.0,0.9999999894853318,110.14285714285714,146.85714285714283,0.9999999999999999,-0.9999999999999993,0.00390625,3.2725888898762596,15535329876.250942
512.0,0.25,8.0,57.0,456.0,0.017543859649122806,24529.58943811462,21274.241068055177,23505.999999315885,1021.9999999702559,24.0,1.0,512.0,512.0,0.9999999912311068,57.0,456.0000000000001,1.0,-1.0000000000000004,0.001953125,3.6191683143561697,152112069604.82538
512.0,0.5,4.0,102.6,410.4,0.009746588693957116,24529.18469704166,19039.3136001683,23505.999999315885,1021.9999999702559,24.0,1.0,512.0,512.0,0.9999999923786618,102.59999999999998,410.4,0.9999999999999999,-1.0,0.001953125,3.619158430427303,147704252316.8309
512.0,1.0,2.0,171.0,342.0,0.005847953216374269,24528.917662221622,15687.307084400527,23505.999999315885,1021.9999999702559,24.0,1.0,512.0,512.0,0.9999999910683073,170.99999999999997,342.0,0.9999999999999998,-1.0,0.001953125,3.619192018181598,136312975448.68022
512.0,1.5,1.3333333333333333,219.8571428571429,293.14285714285717,0.004548408057179987,24528.809301924364,13293.116066779297,23505.999999315885,1021.9999999702559,24.0,1.0,512.0,512.0,0.9999999882593329,219.85714285714283,293.1428571428572,0.9999999999999999,-1.0000000000000004,0.001953125,3.619168488765139,124662788073.1138
1024.0,0.25,8.0,113.88888888888889,911.1111111111111,0.00878048780487805,49105.12444965648,42550.320726092934,47057.99999863043,2045.9999999404536,24.0,1.0,1024.0,1024.0,0.9999999893784661,113.88888888888889,911.1111111111109,1.0,-0.9999999999999998,0.0009765625,3.9658237977513404,1218947969365.3916
1024.0,0.5,4.0,205.0,820.0,0.004878048780487805,49104.838114925806,38085.50385183223,47057.99999863043,2045.9999999404536,24.0,1.0,1024.0,1024.0,0.9999999918807134,205.0,820.0000000000002,1.0,-1.0000000000000004,0.0009765625,3.9658021131439565,1183526254770.6084
1024.0,1.0,2.0,341.6666666666667,683.3333333333334,0.002926829268292683,49104.64920070785,31388.550156202924,47057.99999863043,2045.9999999404536,24.0,1.0,1024.0,1024.0,0.9999999926058081,341.66666666666663,683.3333333333334,0.9999999999999999,-1.0,0.0009765625,3.965800604485784,1092174163473.8639
1024.0,1.5,1.3333333333333333,439.28571428571433,585.7142857142858,0.002276422764227642,49104.57254103922,26605.08195091261,47057.99999863043,2045.9999999404536,24.0,1.0,1024.0,1024.0,0.9999999928470515,439.2857142857142,585.7142857142858,0.9999999999999997,-0.9999999999999998,0.0009765625,3.9656670583820954,998837202681.4478
