potential_family,N_theta,kappa_target,Lambda_hat_full_sym_mean,Lambda_hat_full_sym_std,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,tau_H_sq_mean,coupling_bound_rate_mean,full_minus_diag_mean,lambda_over_logkappa_mean,self_adjoint_error_H_sym_max,n_seeds
additive_index,32,100.0,0.4166421240325021,0.006318126486898516,0.13226617242620473,,0.020184827097362412,0.33110557090634385,0.28437595160629736,0.07433175268683756,7.216449660063518e-16,2
product_feature,32,100.0,0.37979711835035446,0.02869667492055742,0.09647394188375585,,0.0168231954753402,0.33147451316752663,0.28332317646659855,0.06775835625825927,5.828670879282072e-16,2
random_feature,32,100.0,0.3772613653315797,0.05499416603798384,0.09035647271115965,,0.021651520850221997,0.3309448644877825,0.28690489262042007,0.06730596089208223,6.938893903907228e-16,2
