potential_family,N_theta,kappa_target,seed,p_sym_dim,M_over_p,sqrt_p_over_M,Lambda_inf_fit,Lambda_inf_fit_status,Lambda_inf_minus_exact,Lambda_inf_minus_gaussian,Lambda_inf_minus_separable,fit_slope_noise,fit_r2_scaling,n_M_values,largest_M_mc,largest_M_Lambda_hat_full_sym,largest_M_gamma_loc,largest_M_full_sym_minus_gaussian,largest_M_full_sym_minus_separable,largest_M_full_sym_minus_exact,largest_M_diag_minus_exact,converged_flag,convergence_warning
gaussian,64,5.0,0,2080,1008.2461538461539,0.03149319432929121,0.015321166559304242,ok,0.01532116655930286,-0.25300772254960413,-0.19340055478169466,7.957415598820847,0.9998337734620308,4,2097152,0.2683288891089084,0.8773930864700089,0.0,0.0596071677679095,0.268328889108907,0.058898904521195714,True,
gaussian,64,5.0,1,2080,1008.2461538461539,0.03149319432929121,0.015852678786657845,ok,0.01585267878665646,-0.24660183002806257,-0.1932732562401293,7.885645300881117,0.9994465103758604,4,2097152,0.26245450881472043,0.8763145219065955,0.0,0.05332857378793329,0.26245450881471905,0.055368647802175625,True,
random_feature,64,5.0,0,2080,1008.2461538461539,0.03149319432929121,0.04510431357552305,ok,,-0.22322457553338534,-0.16361740776547584,7.416168079350376,0.9989813377502177,4,2097152,0.2743350036961035,0.860936372008989,0.006006114587195077,0.06561328235510458,,,False,coupled_tail_not_stable
random_feature,64,5.0,1,2080,1008.2461538461539,0.03149319432929121,0.010074089970209787,ok,,-0.2523804188445106,-0.19905184505657736,7.852949797589575,0.9989081876691424,4,2097152,0.26429366946538163,0.8566632304897144,0.001839160650661198,0.05516773443859449,,,True,
separable,64,5.0,0,2080,1008.2461538461539,0.03149319432929121,-0.030485516179685732,ok,-0.14701492356992588,-0.29881440528859415,-0.23920723752068462,7.6363910668038315,0.999755131672049,4,2097152,0.2087217213409989,0.7851017601971754,-0.0596071677679095,0.0,0.09219231395075875,-8.981254303330743e-05,True,
separable,64,5.0,1,2080,1008.2461538461539,0.03149319432929121,-0.045537847066727796,ok,-0.15611839263277383,-0.30799235588144824,-0.2546637820935149,7.778441198441362,0.9963801425780813,4,2097152,0.20912593502678714,0.7953611644855201,-0.05332857378793329,0.0,0.0985453894607411,0.009074630065277992,True,
