potential_family,N_theta,kappa_target,seed,p_sym_dim,M_over_p,sqrt_p_over_M,Lambda_inf_fit,Lambda_inf_fit_status,Lambda_inf_minus_exact,Lambda_inf_minus_gaussian,Lambda_inf_minus_separable,fit_slope_noise,fit_r2_scaling,n_M_values,largest_M_mc,largest_M_Lambda_hat_full_sym,largest_M_gamma_loc,largest_M_full_sym_minus_gaussian,largest_M_full_sym_minus_separable,largest_M_full_sym_minus_exact,largest_M_diag_minus_exact,converged_flag,convergence_warning
gaussian,4,5.0,0,10,409.6,0.04941058844013093,-0.04865842302139796,ok,-0.04865842302139807,-0.13818258277247922,-0.055539785128880255,2.796618844964985,1.0,2,4096,0.08952415975108126,0.929081292316691,0.0,0.08264279764359896,0.08952415975108115,0.04965031115289853,True,
gaussian,8,5.0,0,36,113.77777777777777,0.09375,-0.024625403113986977,ok,-0.024625403113987088,-0.38868537296938266,-0.23916732564191395,4.145977311673419,1.0,2,4096,0.3640599698553957,0.8785274122801693,0.0,0.1495180473274687,0.36405996985539557,0.19062930528914718,True,
gaussian,16,5.0,0,136,30.11764705882353,0.18221724671391565,-0.005848982110492185,ok,-0.005848982110492295,-0.641629919152185,-0.6645481860246854,3.5212359462304623,1.0,2,4096,0.6357809370416928,0.6180405928856262,0.0,-0.022918266872500315,0.6357809370416927,0.1395071464815725,True,
random_feature,4,5.0,0,10,409.6,0.04941058844013093,0.06652629938087343,ok,,-0.02299786037020783,0.05964493727339113,0.12019634307612623,1.0,2,4096,0.07246527142061672,0.9213349794419022,-0.01705888833046454,0.06558390931313442,,,False,coupled_tail_not_stable
random_feature,8,5.0,0,36,113.77777777777777,0.09375,-0.03435762088455814,ok,,-0.3984175907399538,-0.2488995434124851,2.4430602312183667,1.0,2,4096,0.19467927579216357,0.816615906130069,-0.1693806940632321,-0.019862646735763406,,,False,coupled_tail_not_stable
random_feature,16,5.0,0,136,30.11764705882353,0.18221724671391565,0.03760639026551847,ok,,-0.5981745467761743,-0.6210928136486746,3.720722080036216,1.0,2,4096,0.7155861234773915,0.5859494874872485,0.07980518643569867,0.05688691956319836,,,False,coupled_tail_not_stable
separable,4,5.0,0,10,409.6,0.04941058844013093,-0.011743127741693789,ok,0.24390799684847325,-0.10126728749277505,-0.018624489849176085,0.37693317236532664,1.0,2,4096,0.006881362107482297,0.7267890072136372,-0.08264279764359896,0.0,0.26253248669764934,0.01763181029097416,False,separable_full_not_close_to_exact
separable,8,5.0,0,36,113.77777777777777,0.09375,-0.08190890308545846,ok,-0.0923511912448592,-0.44596887294085413,-0.2964508256133854,3.1621421398761127,1.0,2,4096,0.21454192252792698,0.734754170933976,-0.1495180473274687,0.0,0.20409963436852624,0.09869646659398461,True,
separable,16,5.0,0,136,30.11764705882353,0.18221724671391565,-0.3504103716007781,ok,-0.4668206893128286,-0.986191308642471,-1.0091095755149713,5.537947662546404,1.0,2,4096,0.6586992039141931,0.6284250624335486,0.022918266872500315,0.0,0.5422888862021427,0.034643542349524714,False,separable_full_not_close_to_exact
