run_id,experiment_group,potential_family,seed,N_theta,kappa_target,rho,M_mc,operator_estimator,backend,chunk_size,Lambda_hat_raw_forward,Lambda_hat_full_sym,Lambda_hat_diag,Lambda_hat_separable_exact,full_over_diag,full_minus_diag,diag_minus_exact,gamma_loc,inverse_gamma_loc,self_adjoint_error_H_raw,self_adjoint_error_H_sym,self_adjoint_error_L_star,eig_residual_H,eig_residual_L_star,current_bound_rate,conjecture_bound_rate,lambda_over_logkappa,inverse_gamma_over_logkappa,runtime_seconds,status,error_message,family,quadrature_nodes,device,dtype,eigensolver,explicit_dense_max_N_theta,basis_block_size,torch_available,torch_version,cuda_available,cuda_version,device_name,gpu_available,diag_offdiag_norm,full_sym_minus_exact,operator_matrix_dim,dense_matrix_memory_mb,matrix_construction_runtime_seconds,eigh_runtime_seconds,gpu_peak_memory_mb,separable_exact_status,Lambda_true,gamma_true,baseline_type,Lambda_hat,log_kappa_factor,Gamma_current,D_kappa,alpha_target,beta_target,L_A,L_A_is_empirical,norm_mean_grad,norm_mean_hess_minus_I,empirical_min_hess_eig,empirical_max_hess_eig,p_sym_dim,M_over_p,sqrt_p_over_M
nglr_20260604_232745,natural_gradient_local_rate,gaussian,0,4,5.0,0.0,2048,symmetrized,torch,1024,0.0,0.14676125961918496,0.09568897931023733,1.0993866694076281e-16,1.5337321045442862,0.05107228030894763,0.09568897931023722,0.9049646063992748,1.1050155916913231,0.8813021087832613,5.551115123125783e-17,8.881784197001252e-16,1.9027670904586943e-17,6.192574063483953e-16,0.25,0.0491965649785553,0.05624248000684757,0.423468819252556,1.2744944095611572,ok,,gaussian,80,cuda,float64,torch_dense_eigh,64,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.20324532500188366,0.14676125961918485,14,0.001568,0.4182868003845215,0.2722740173339844,9.21088,ok,0.0,1.0,gaussian,0.14676125961918496,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,10,204.8,0.06987712429686843
nglr_20260604_232745,natural_gradient_local_rate,gaussian,0,4,5.0,0.0,4096,symmetrized,torch,1024,2.4368373751573655e-18,0.08952415975108126,0.04965031115289864,1.0993866694076281e-16,1.8030936296731495,0.03987384859818262,0.04965031115289853,0.929081292316691,1.0763320801632665,0.7998302650807546,2.7755575615628914e-17,5.634082536091051e-16,2.8095693023383186e-17,3.510833468576701e-16,0.25,0.0491965649785553,0.03430783285721964,0.4124766008167855,0.025371313095092773,ok,,gaussian,80,cuda,float64,torch_dense_eigh,64,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.13130146984614804,0.08952415975108115,14,0.001568,0.005647182464599609,0.0015110969543457031,9.276416,ok,0.0,1.0,gaussian,0.08952415975108126,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,10,409.6,0.04941058844013093
nglr_20260604_232745,natural_gradient_local_rate,separable,0,4,5.0,1.085124029884772,2048,symmetrized,torch,1024,0.0,0.01459587839529107,-0.23557406828932353,-0.2580119146533747,-0.06195876524645719,0.2501699466846146,0.02243784636405116,0.6906920763629322,1.4478231823156726,0.5439297971371176,1.1102230246251565e-16,3.22609925911355e-16,1.4860682642130306e-16,2.1761015294745194e-16,0.2142857142857143,0.0491965649785553,0.005593495183671928,0.5548410159202193,0.09354472160339355,ok,,separable,80,cuda,float64,torch_dense_eigh,64,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.2267972046461178,0.2726077930486658,14,0.001568,0.08267354965209961,0.0015721321105957031,9.458688,ok,,,separable_exact,0.01459587839529107,2.6094379124341005,0.6666666666666665,16.32662240617609,0.33333333333333337,1.6666666666666665,0.6143690935841308,False,9.765393198659963e-18,0.0,0.3340342209940783,1.5009127069455859,10,204.8,0.06987712429686843
nglr_20260604_232745,natural_gradient_local_rate,separable,0,4,5.0,1.0751952247342753,4096,symmetrized,torch,1024,0.0,0.006881362107482297,-0.23801931429919287,-0.25565112459016703,-0.028910939970326732,0.24490067640667518,0.01763181029097416,0.7267890072136372,1.375915141911404,0.4564943391208939,3.3306690738754696e-16,4.59928169689222e-16,9.8960029899645e-17,2.6126024047237537e-16,0.2142857142857143,0.0491965649785553,0.002637105130837667,0.5272841079510266,0.01631617546081543,ok,,separable,80,cuda,float64,torch_dense_eigh,64,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.17422789744826297,0.26253248669764934,14,0.001568,0.005891323089599609,0.0014286041259765625,9.524224,ok,,,separable_exact,0.006881362107482297,2.6094379124341005,0.6666666666666665,16.32662240617609,0.33333333333333337,1.6666666666666665,0.620042436322601,False,2.0034565512074278e-17,0.0,0.33611820050677543,1.5005553234448539,10,409.6,0.04941058844013093
nglr_20260604_232745,natural_gradient_local_rate,random_feature,0,4,5.0,0.6996642346511834,2048,symmetrized,torch,1024,0.043973618497051815,0.07492527418603298,0.03755915787386664,,1.9948603330684733,0.03736611631216634,,0.8692123317651418,1.1504668807094152,0.8613771175102531,1.1102230246251565e-16,1.3322676295501878e-15,3.251757114846022e-17,7.457454965107863e-16,0.2142857142857143,0.0491965649785553,0.02871318525304256,0.44088685736778166,0.01534414291381836,ok,,random_feature,80,cuda,float64,torch_dense_eigh,64,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.2108653189727912,,14,0.001568,0.007048606872558594,0.0015032291412353516,9.802752,not_separable,,,,0.07492527418603298,2.6094379124341005,0.6666666666666665,16.32662240617609,0.33333333333333337,1.6666666666666665,0.9528379952121353,True,4.655411169294438e-17,0.0,0.6666666666666667,1.3048356507754988,10,204.8,0.06987712429686843
nglr_20260604_232745,natural_gradient_local_rate,random_feature,0,4,5.0,0.6740068048034629,4096,symmetrized,torch,1024,0.056042788634127844,0.07246527142061672,0.029407785553581794,,2.4641526064104013,0.04305748586703492,,0.9213349794419022,1.0853815629639385,0.30997439242909075,1.1102230246251565e-16,1.1224239339439143e-15,6.813690958988117e-17,3.2189288747661586e-16,0.2142857142857143,0.0491965649785553,0.02777045243165822,0.41594458246814064,0.0154571533203125,ok,,random_feature,80,cuda,float64,torch_dense_eigh,64,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.07568659350301725,,14,0.001568,0.007212638854980469,0.001506805419921875,9.868288,not_separable,,,,0.07246527142061672,2.6094379124341005,0.6666666666666665,16.32662240617609,0.33333333333333337,1.6666666666666665,0.9891096972842335,True,1.2954468623459761e-17,0.0,0.6666666666666667,1.2936200137248688,10,409.6,0.04941058844013093
nglr_20260604_232745,natural_gradient_local_rate,gaussian,0,8,5.0,0.0,2048,symmetrized,torch,1024,0.1695318622575971,0.5250587228353586,0.27960061851808277,1.0993866694076281e-16,1.877888273703519,0.24545810431727583,0.27960061851808266,0.8222365697111191,1.21619499404087,1.4800642098482368,3.9989187313896124e-16,3.552713678800501e-15,1.244174784657945e-16,3.6317089540546403e-16,0.25,0.0491965649785553,0.20121525801914192,0.46607546715161946,0.028962373733520508,ok,,gaussian,80,cuda,float64,torch_dense_eigh,64,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.3645023236349534,0.5250587228353585,44,0.015488,0.003164529800415039,0.0027832984924316406,11.0592,ok,0.0,1.0,gaussian,0.5250587228353586,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,36,56.888888888888886,0.13258252147247765
nglr_20260604_232745,natural_gradient_local_rate,gaussian,0,8,5.0,0.0,4096,symmetrized,torch,1024,0.12111479441573428,0.3640599698553957,0.1906293052891473,1.0993866694076281e-16,1.9097796600747616,0.1734306645662484,0.19062930528914718,0.8785274122801693,1.138268409183221,1.1973557868474687,3.3306690738754696e-16,1.7763568394002505e-15,9.914327875366995e-17,6.853623774497946e-16,0.25,0.0491965649785553,0.13951662468021636,0.4362121067373612,0.018862485885620117,ok,,gaussian,80,cuda,float64,torch_dense_eigh,64,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.24334225784205132,0.36405996985539557,44,0.015488,0.005721092224121094,0.0028226375579833984,11.190272,ok,0.0,1.0,gaussian,0.3640599698553957,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,36,113.77777777777777,0.09375
nglr_20260604_232745,natural_gradient_local_rate,separable,0,8,5.0,1.050131584263897,2048,symmetrized,torch,1024,0.08556022440500635,0.33733587507369245,0.15542388728784498,0.010423295987258177,2.1704249003175846,0.18191198778584747,0.1450005913005868,0.6893629432097809,1.4506146723579958,0.8052083235925809,3.8452130971515716e-16,1.3226050225271667e-15,2.0576866204388463e-16,4.952726664413674e-16,0.21428571428571427,0.0491965649785553,0.12927530234242032,0.5559107827190466,0.016715049743652344,ok,,separable,80,cuda,float64,torch_dense_eigh,64,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.43942798498301827,0.3269125790864343,44,0.015488,0.0036635398864746094,0.0027692317962646484,12.108288,ok,,,separable_exact,0.33733587507369245,2.6094379124341005,0.6666666666666667,16.32662240617609,0.33333333333333326,1.6666666666666667,0.6348410776864455,False,3.182538672933217e-17,0.0,0.3671596543401472,1.666666418166316,36,56.888888888888886,0.13258252147247765
nglr_20260604_232745,natural_gradient_local_rate,separable,0,8,5.0,1.052045017389566,4096,symmetrized,torch,1024,0.07717475318946687,0.21454192252792698,0.10913875475338534,0.01044228815940074,1.9657721311986305,0.10540316777454163,0.09869646659398461,0.734754170933976,1.3609994193416544,0.6210620967690532,4.170947022178341e-16,8.881784197001252e-16,2.013495087292489e-16,4.649953903092973e-16,0.2142857142857143,0.0491965649785553,0.08221767665198092,0.5215680407096198,0.01949787139892578,ok,,separable,80,cuda,float64,torch_dense_eigh,64,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.26326456048187413,0.20409963436852624,44,0.015488,0.006387233734130859,0.0027832984924316406,12.23936,ok,,,separable_exact,0.21454192252792698,2.6094379124341005,0.6666666666666665,16.32662240617609,0.33333333333333337,1.6666666666666665,0.6336864446360512,False,1.613516834643421e-17,0.0,0.37017354494363275,1.6666664177135262,36,113.77777777777777,0.09375
