potential_family,N_theta,kappa_target,M_mc,Lambda_hat_full_sym_mean,Lambda_hat_full_sym_std,Lambda_hat_raw_forward_mean,Lambda_hat_raw_forward_std,Lambda_hat_diag_mean,Lambda_hat_diag_std,Lambda_hat_separable_exact_mean,Lambda_hat_separable_exact_std,Lambda_true_mean,Lambda_true_std,gamma_loc_mean,gamma_loc_std,gamma_true_mean,gamma_true_std,inverse_gamma_loc_mean,inverse_gamma_loc_std,full_sym_minus_exact_mean,full_sym_minus_exact_std,full_sym_minus_diag_mean,full_sym_minus_diag_std,full_sym_minus_gaussian_mean,full_sym_minus_gaussian_std,full_sym_minus_separable_mean,full_sym_minus_separable_std,full_sym_over_separable_mean,full_sym_over_separable_std,full_sym_minus_separable_exact_mean,full_sym_minus_separable_exact_std,diag_minus_exact_mean,diag_minus_exact_std,abs_diag_minus_exact_mean,abs_diag_minus_exact_std,gamma_minus_gaussian_mean,gamma_minus_gaussian_std,gamma_minus_separable_mean,gamma_minus_separable_std,inverse_gamma_minus_gaussian_inverse_mean,inverse_gamma_minus_gaussian_inverse_std,self_adjoint_error_H_sym_mean,self_adjoint_error_H_sym_std,self_adjoint_error_L_star_mean,self_adjoint_error_L_star_std,n_seeds,baseline_correction_status,is_largest_M_row
gaussian,4,5.0,2048,0.14676125961918496,,0.0,,0.09568897931023733,,1.0993866694076281e-16,,0.0,,0.9049646063992748,,1.0,,1.1050155916913231,,0.14676125961918485,,0.05107228030894763,,0.0,,0.13216538122389387,,10.054979607567377,,0.14676125961918485,,0.09568897931023722,,0.09568897931023722,,0.0,,0.2142725300363426,,0.0,,5.551115123125783e-17,,8.881784197001252e-16,,1,ok,False
gaussian,4,5.0,4096,0.08952415975108126,,2.4368373751573655e-18,,0.04965031115289864,,1.0993866694076281e-16,,0.0,,0.929081292316691,,1.0,,1.0763320801632665,,0.08952415975108115,,0.03987384859818262,,0.0,,0.08264279764359896,,13.009656860483936,,0.08952415975108115,,0.04965031115289853,,0.04965031115289853,,0.0,,0.20229228510305386,,0.0,,2.7755575615628914e-17,,5.634082536091051e-16,,1,ok,True
gaussian,8,5.0,2048,0.5250587228353586,,0.1695318622575971,,0.27960061851808277,,1.0993866694076281e-16,,0.0,,0.8222365697111191,,1.0,,1.21619499404087,,0.5250587228353585,,0.24545810431727583,,0.0,,0.18772284776166615,,1.55648646240385,,0.5250587228353585,,0.27960061851808266,,0.27960061851808266,,0.0,,0.13287362650133827,,0.0,,3.9989187313896124e-16,,3.552713678800501e-15,,1,ok,False
gaussian,8,5.0,4096,0.3640599698553957,,0.12111479441573428,,0.1906293052891473,,1.0993866694076281e-16,,0.0,,0.8785274122801693,,1.0,,1.138268409183221,,0.36405996985539557,,0.1734306645662484,,0.0,,0.1495180473274687,,1.6969176260085295,,0.36405996985539557,,0.19062930528914718,,0.19062930528914718,,0.0,,0.1437732413461933,,0.0,,3.3306690738754696e-16,,1.7763568394002505e-15,,1,ok,True
gaussian,16,5.0,2048,0.9015527515788803,,2.8623084560433886e-16,,0.3049988797885252,,1.0993866694076281e-16,,0.0,,0.47294907702853234,,1.0,,2.1143925394311984,,0.9015527515788802,,0.5965538717903551,,0.0,,-0.17513332443417073,,0.8373404018721164,,0.9015527515788802,,0.3049988797885251,,0.3049988797885251,,0.0,,0.02757022585086899,,0.0,,6.003545091603776e-16,,1.3859383976261975e-15,,1,ok,False
gaussian,16,5.0,4096,0.6357809370416928,,3.1125161476635235e-17,,0.1395071464815726,,1.0993866694076281e-16,,0.0,,0.6180405928856262,,1.0,,1.6180166990828364,,0.6357809370416927,,0.4962737905601202,,0.0,,-0.022918266872500315,,0.9652067791545627,,0.6357809370416927,,0.1395071464815725,,0.1395071464815725,,0.0,,-0.010384469547922381,,0.0,,6.661338147750939e-16,,3.773614702711832e-15,,1,ok,True
random_feature,4,5.0,2048,0.07492527418603298,,0.043973618497051815,,0.03755915787386664,,,,,,0.8692123317651418,,,,1.1504668807094152,,,,0.03736611631216634,,-0.07183598543315198,,0.06032939579074191,,5.133317239077945,,,,,,,,-0.035752274634133,,0.17852025540220962,,0.045451289018092034,,1.1102230246251565e-16,,1.3322676295501878e-15,,1,ok,False
random_feature,4,5.0,4096,0.07246527142061672,,0.056042788634127844,,0.029407785553581794,,,,,,0.9213349794419022,,,,1.0853815629639385,,,,0.04305748586703492,,-0.01705888833046454,,0.06558390931313442,,10.530658071579056,,,,,,,,-0.007746312874788774,,0.19454597222826508,,0.00904948280067197,,1.1102230246251565e-16,,1.1224239339439143e-15,,1,ok,True
random_feature,8,5.0,2048,0.2895494646795069,,0.0791643151228466,,0.104087267249559,,,,,,0.7449276332975518,,,,1.3424122764426472,,,,0.18546219742994788,,-0.23550925815585172,,-0.047786410394185574,,0.8583417480167314,,,,,,,,-0.07730893641356729,,0.055564690087770985,,0.1262172824017771,,2.220446049250313e-16,,8.881784197001252e-16,,1,ok,False
random_feature,8,5.0,4096,0.19467927579216357,,0.07679858216888005,,0.07467304045845544,,,,,,0.816615906130069,,,,1.2245659097420545,,,,0.12000623533370813,,-0.1693806940632321,,-0.019862646735763406,,0.9074183427568666,,,,,,,,-0.061911506150100326,,0.08186173519609297,,0.08629750055883356,,2.7755575615628914e-16,,1.9342457461370702e-15,,1,ok,True
random_feature,16,5.0,2048,0.9964145239878418,,0.10924415350126397,,0.2039631754888197,,,,,,0.3823915341404805,,,,2.615120657019113,,,,0.7924513484990221,,0.09486177240896154,,-0.08027155202520919,,0.9254457229330454,,,,,,,,-0.09055754288805185,,-0.06298731703718286,,0.5007281175879146,,3.006967551774203e-16,,1.0594662409412441e-15,,1,ok,False
random_feature,16,5.0,4096,0.7155861234773915,,0.1306377758644188,,0.20928365467774795,,,,,,0.5859494874872485,,,,1.7066317512936848,,,,0.5063024687996436,,0.07980518643569867,,0.05688691956319836,,1.086362514521285,,,,,,,,-0.03209110539837767,,-0.042475574946300054,,0.08861505221084842,,4.440892098500626e-16,,8.099753935668167e-16,,1,ok,True
separable,4,5.0,2048,0.01459587839529107,,0.0,,-0.23557406828932353,,-0.2580119146533747,,,,0.6906920763629322,,,,1.4478231823156726,,0.2726077930486658,,0.2501699466846146,,-0.13216538122389387,,0.0,,1.0,,0.2726077930486658,,0.02243784636405116,,0.02243784636405116,,-0.2142725300363426,,0.0,,0.3428075906243495,,1.1102230246251565e-16,,3.22609925911355e-16,,1,ok,False
separable,4,5.0,4096,0.006881362107482297,,0.0,,-0.23801931429919287,,-0.25565112459016703,,,,0.7267890072136372,,,,1.375915141911404,,0.26253248669764934,,0.24490067640667518,,-0.08264279764359896,,0.0,,1.0,,0.26253248669764934,,0.01763181029097416,,0.01763181029097416,,-0.20229228510305386,,0.0,,0.2995830617481374,,3.3306690738754696e-16,,4.59928169689222e-16,,1,ok,True
separable,8,5.0,2048,0.33733587507369245,,0.08556022440500635,,0.15542388728784498,,0.010423295987258177,,,,0.6893629432097809,,,,1.4506146723579958,,0.3269125790864343,,0.18191198778584747,,-0.18772284776166615,,0.0,,1.0,,0.3269125790864343,,0.1450005913005868,,0.1450005913005868,,-0.13287362650133827,,0.0,,0.23441967831712573,,3.8452130971515716e-16,,1.3226050225271667e-15,,1,ok,False
separable,8,5.0,4096,0.21454192252792698,,0.07717475318946687,,0.10913875475338534,,0.01044228815940074,,,,0.734754170933976,,,,1.3609994193416544,,0.20409963436852624,,0.10540316777454163,,-0.1495180473274687,,0.0,,1.0,,0.20409963436852624,,0.09869646659398461,,0.09869646659398461,,-0.1437732413461933,,0.0,,0.22273101015843344,,4.170947022178341e-16,,8.881784197001252e-16,,1,ok,True
