potential_family,N_theta,kappa_target,seed,p_sym_dim,M_over_p,sqrt_p_over_M,Lambda_inf_fit,Lambda_inf_fit_status,Lambda_inf_minus_exact,Lambda_inf_minus_gaussian,Lambda_inf_minus_separable,fit_slope_noise,fit_r2_scaling,n_M_values,largest_M_mc,largest_M_Lambda_hat_full_sym,largest_M_gamma_loc,largest_M_full_sym_minus_gaussian,largest_M_full_sym_minus_separable,largest_M_full_sym_minus_exact,largest_M_diag_minus_exact,converged_flag,convergence_warning
gaussian,2,5.0,0,3,1398101.3333333333,0.0008457279333832408,-0.002080217902446133,ok,-0.0020802179024459163,-0.0021319088931711187,-0.002082491467914688,1.8637683605466215,0.8634061124090215,5,4194304,5.1690990724985735e-05,0.9984205685835192,0.0,4.941742525643074e-05,5.169099072520258e-05,2.0236689914133202e-05,True,
gaussian,2,5.0,1,3,1398101.3333333333,0.0008457279333832408,-0.00240525413215312,ok,-0.002405254132152903,-0.0030064828959853267,-0.002405833907758361,2.2343485320172407,0.6184635663015762,5,4194304,0.0006012287638322068,0.9982816252243701,0.0,0.0006006489882269657,0.0006012287638324236,3.505326508561591e-05,True,
gaussian,2,5.0,2,3,1398101.3333333333,0.0008457279333832408,0.0007130940058059049,ok,0.0007130940058061217,0.0003335493227151416,0.000712719767792608,-0.1464101833459639,0.37403299626430897,5,4194304,0.00037954468309076326,0.9995274729797223,0.0,0.0003791704450774664,0.0003795446830909801,0.00035792481243729856,True,
gaussian,4,5.0,0,10,419430.4,0.0015440808887540916,0.0008726401629711542,ok,0.000872640162971371,-0.003577036601065821,0.0008425674487029779,2.103613748996955,0.9498782298909083,5,4194304,0.004449676764036975,0.9991493378543476,0.0,0.004419604049768798,0.004449676764037192,0.003989134170648637,True,
gaussian,4,5.0,1,10,419430.4,0.0015440808887540916,0.000173539694790943,ok,0.00017353969479115983,-0.0017791577999026094,-0.008757041619509964,1.9554550283974974,0.7337703387608725,5,4194304,0.0019526974946935524,0.9967406528367129,0.0,-0.006977883819607356,0.0019526974946937692,0.0008574745228361289,True,
gaussian,4,5.0,2,10,419430.4,0.0015440808887540916,0.0006674374956957238,ok,0.0006674374956959407,-0.0017428120631984506,-0.10907951066111624,0.9554962294513581,0.8210433863995221,5,4194304,0.0024102495588941746,0.9982417730216737,0.0,-0.10733669859791779,0.0024102495588943914,0.00046023406121164004,True,
gaussian,8,5.0,0,36,116508.44444444444,0.0029296875,-0.004888198961431069,ok,-0.004888198961430852,-0.012684850582640468,-0.015851474207611096,3.435102021275086,0.8937156167867976,5,4194304,0.007796651621209399,0.9946668401763941,0.0,-0.003166623624970627,0.007796651621209616,0.0021962322392474034,True,
gaussian,8,5.0,1,36,116508.44444444444,0.0029296875,0.001889072959363262,ok,0.0018890729593634787,-0.004143964552714279,-0.008120538156283816,1.9920904316911723,0.9702353617807489,5,4194304,0.006033037512077541,0.9940971099498709,0.0,-0.003976573603569538,0.006033037512077758,0.002327589229821432,True,
gaussian,8,5.0,2,36,116508.44444444444,0.0029296875,0.0005958203116628448,ok,0.0005958203116630616,-0.006046530295986622,-0.11069277804755191,2.0067535375394407,0.9884462786324708,5,4194304,0.006642350607649466,0.9956417334300625,0.0,-0.1046462477515653,0.006642350607649683,0.001757909652526781,True,
gaussian,12,5.0,0,78,53773.1282051282,0.004312383235511644,0.0052902621591847466,ok,0.005290262159184963,-0.007699707821483707,-0.005051330988614961,2.5817048356842456,0.9557769472929892,5,4194304,0.012989969980668453,0.9932838768702315,0.0,0.0026483768328687454,0.01298996998066867,0.00421258193038219,True,
gaussian,12,5.0,1,78,53773.1282051282,0.004312383235511644,-0.0010567811250913701,ok,-0.0010567811250911533,-0.01469660623729796,-0.01373344146067193,3.6323668825507607,0.9925924082439995,5,4194304,0.01363982511220659,0.9921533688265288,0.0,0.0009631647766260298,0.013639825112206808,0.005527563952990153,True,
gaussian,12,5.0,2,78,53773.1282051282,0.004312383235511644,0.003413815403015981,ok,0.003413815403016198,-0.012627599450501648,-0.10817597824300498,2.8719219496061865,0.9978643490924126,5,4194304,0.01604141485351763,0.9927252444919334,0.0,-0.09554837879250333,0.016041414853517847,0.005531272302161911,True,
gaussian,16,5.0,0,136,30840.470588235294,0.005694288959809864,-0.0032439713191438004,ok,-0.0032439713191435835,-0.020309512943540425,-0.12028126650186359,3.6844634531380533,0.99791372338448,5,4194304,0.017065541624396625,0.985548137898836,0.0,-0.09997175355832316,0.017065541624396843,0.0014538260349934522,True,
gaussian,16,5.0,1,136,30840.470588235294,0.005694288959809864,-0.0017239686386537614,ok,-0.0017239686386535445,-0.024061012848087943,-0.014611242920383386,4.119980831692053,0.9959484430728547,5,4194304,0.022337044209434182,0.9878070235724061,0.0,0.009449769927704557,0.0223370442094344,0.006174803759959666,True,
gaussian,16,5.0,2,136,30840.470588235294,0.005694288959809864,-0.0034136943888384325,ok,-0.0034136943888382156,-0.031021806573816858,-0.11450937346454648,4.536675657714693,0.9558356606259758,5,4194304,0.027608112184978426,0.9890969914089404,0.0,-0.08348756689072963,0.027608112184978644,0.011942274333678034,True,
radial_tail,2,5.0,0,3,1398101.3333333333,0.0008457279333832408,0.1712289359465347,ok,,0.17117724495580972,0.17122666238106615,1.4881968918904254,0.9259145792644181,5,4194304,0.17273109358255678,0.9999999999999997,0.1726794025918318,0.17272882001708822,,,True,
radial_tail,2,5.0,1,3,1398101.3333333333,0.0008457279333832408,0.17438375862999858,ok,,0.17378252986616638,0.17438317885439333,-0.28306634084373705,0.10542626742576822,5,4194304,0.17409338726186266,0.9999999999999999,0.17349215849803046,0.1740928074862574,,,True,
radial_tail,2,5.0,2,3,1398101.3333333333,0.0008457279333832408,0.17757179398528045,ok,,0.17719224930218969,0.17757141974726715,-3.54414827183278,0.9303355895608517,5,4194304,0.17317983574054274,1.0,0.17280029105745198,0.17317946150252944,,,True,
radial_tail,4,5.0,0,10,419430.4,0.0015440808887540916,0.20070212562940645,ok,,0.19625244886536947,0.2006720529151383,1.2253595713537324,0.45296286943324304,5,4194304,0.2058730134338662,0.9999999999999992,0.2014233366698292,0.20584294071959802,,,True,
radial_tail,4,5.0,1,10,419430.4,0.0015440808887540916,0.20472336785894055,ok,,0.202770670364247,0.19579278654463964,0.9547922313253879,0.6886467576561588,5,4194304,0.20583727341314056,1.0,0.20388457591844703,0.19690669209883965,,,True,
radial_tail,4,5.0,2,10,419430.4,0.0015440808887540916,0.2000002207615348,ok,,0.19758997120264063,0.09025327260472285,-0.7689751552993852,0.12146175548968008,5,4194304,0.20166581923085633,0.9999999999999997,0.19925556967196215,0.09191887107404437,,,True,
radial_tail,8,5.0,0,36,116508.44444444444,0.0029296875,0.22344854623923377,ok,,0.21565189461802436,0.21248527099305375,0.5093652588472645,0.3222759653997671,5,4194304,0.22435645321147862,0.9999999999999982,0.21655980159026922,0.2133931779652986,,,True,
radial_tail,8,5.0,1,36,116508.44444444444,0.0029296875,0.22523103778034484,ok,,0.2191980002682673,0.21522142666469776,0.49907840590921937,0.2589693915916955,5,4194304,0.22428774192061238,0.9999999999999992,0.21825470440853484,0.2142781308049653,,,True,
radial_tail,8,5.0,2,36,116508.44444444444,0.0029296875,0.22324249063597096,ok,,0.21660014002832148,0.1119538922767562,0.6562992092526526,0.7381007850635743,5,4194304,0.22539210730213233,0.9999999999999992,0.21874975669448285,0.11410350894291757,,,True,
radial_tail,12,5.0,0,78,53773.1282051282,0.004312383235511644,0.22072605959093983,ok,,0.20773608961027137,0.21038446644314013,4.197469508788001,0.9972940854811024,5,4194304,0.2393154713657448,0.9999999999999988,0.22632550138507634,0.2289738782179451,,,True,
radial_tail,12,5.0,1,78,53773.1282051282,0.004312383235511644,0.22796775538090686,ok,,0.21432793026870026,0.2152910950453263,0.8802412862508284,0.607499296957049,5,4194304,0.23281959899800142,0.9999999999999989,0.21917977388579482,0.22014293866242085,,,True,
