run_id,experiment_group,potential_family,seed,N_theta,kappa_target,rho,M_mc,operator_estimator,backend,chunk_size,Lambda_hat_raw_forward,Lambda_hat_full_sym,Lambda_hat_diag,Lambda_hat_separable_exact,full_over_diag,full_minus_diag,diag_minus_exact,gamma_loc,inverse_gamma_loc,self_adjoint_error_H_raw,self_adjoint_error_H_sym,self_adjoint_error_L_star,eig_residual_H,eig_residual_L_star,current_bound_rate,conjecture_bound_rate,lambda_over_logkappa,inverse_gamma_over_logkappa,runtime_seconds,status,error_message,family,quadrature_nodes,device,dtype,eigensolver,explicit_dense_max_N_theta,basis_block_size,torch_available,torch_version,cuda_available,cuda_version,device_name,gpu_available,diag_offdiag_norm,full_sym_minus_exact,operator_matrix_dim,dense_matrix_memory_mb,matrix_construction_runtime_seconds,eigh_runtime_seconds,gpu_peak_memory_mb,separable_exact_status,Lambda_true,gamma_true,baseline_type,Lambda_hat,log_kappa_factor,Gamma_current,D_kappa,alpha_target,beta_target,L_A,L_A_is_empirical,norm_mean_grad,norm_mean_hess_minus_I,empirical_min_hess_eig,empirical_max_hess_eig,p_sym_dim,M_over_p,sqrt_p_over_M,Lambda_hat_gaussian_baseline,gamma_loc_gaussian_baseline,full_sym_minus_gaussian,gamma_minus_gaussian,inverse_gamma_minus_gaussian_inverse,Lambda_hat_separable_baseline,gamma_loc_separable_baseline,full_sym_minus_separable,gamma_minus_separable,full_sym_over_separable,full_sym_minus_separable_exact,full_sym_minus_diag,abs_diag_minus_exact,full_sym_excess_over_gaussian,full_sym_excess_over_separable,noise_baseline_available,baseline_match,gaussian_baseline_match,separable_baseline_match,baseline_correction_status
nglr_20260605_180452,natural_gradient_local_rate,gaussian,0,2,5.0,0.0,262144,symmetrized,torch,8192,0.0,0.0049922840943351756,1.2575528107961048e-05,-2.1684908619625858e-16,396.9840512045587,0.004979708566227215,1.2575528108177896e-05,0.9954777844692125,1.0045427588654816,0.02676920001091472,3.469446951953614e-18,4.440892098500626e-16,2.876713442418084e-18,2.900673848835933e-16,0.25,0.0491965649785553,0.0019131645441904156,0.38496518889328074,0.5635013580322266,ok,,gaussian,160,cuda,float64,torch_dense_eigh,32,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.0028830850813038483,0.004992284094335392,5,0.0002,0.18447208404541016,0.06955838203430176,14.0288,ok,0.0,1.0,gaussian,0.0049922840943351756,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,3,87381.33333333333,0.0033829117335329633,0.0049922840943351756,0.9954777844692125,0.0,0.0,0.0,3.257186723403097e-05,0.7922221955667049,0.004959712227101145,0.2032555889025076,153.2698158955792,0.004992284094335392,0.004979708566227215,1.2575528108177896e-05,0.0,0.004959712227101145,True,seed_exact,seed_exact,seed_exact,ok
nglr_20260605_180452,natural_gradient_local_rate,gaussian,0,2,5.0,0.0,524288,symmetrized,torch,8192,0.0,0.001252246827879181,0.0005982745811505414,-2.1684908619625858e-16,2.0930971619602925,0.0006539722467286396,0.0005982745811507583,0.9985360758744314,1.001466070341311,0.0033080631530374538,8.673617379884035e-19,4.440892098500626e-16,2.710505431213761e-19,5.579048328494756e-16,0.25,0.0491965649785553,0.0004798914056978183,0.3837861271077866,0.09206604957580566,ok,,gaussian,160,cuda,float64,torch_dense_eigh,32,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.0020309171556376696,0.001252246827879398,5,0.0002,0.07686352729797363,0.001438140869140625,18.223104,ok,0.0,1.0,gaussian,0.001252246827879181,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,3,174762.66666666666,0.002392079826936697,0.001252246827879181,0.9985360758744314,0.0,0.0,0.0,5.566674908663624e-06,0.7937032222477985,0.0012466801529705173,0.20483285362663284,224.95418691151923,0.001252246827879398,0.0006539722467286396,0.0005982745811507583,0.0,0.0012466801529705173,True,seed_exact,seed_exact,seed_exact,ok
nglr_20260605_180452,natural_gradient_local_rate,gaussian,0,2,5.0,0.0,1048576,symmetrized,torch,8192,2.168404344971009e-19,0.0007950683179685785,1.4270740895522612e-05,-2.1684908619625858e-16,55.7131773177963,0.0007807975770730559,1.427074089573946e-05,0.9982326035989658,1.0017705256216458,0.0062853958998175434,8.673617379884035e-19,2.181367072416839e-16,6.414226553434176e-19,3.867947759648858e-16,0.25,0.0491965649785553,0.0003046894943083484,0.3839028017674457,0.16704583168029785,ok,,gaussian,160,cuda,float64,torch_dense_eigh,32,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.0019574596366090102,0.0007950683179687953,5,0.0002,0.15019989013671875,0.0014083385467529297,26.611712,ok,0.0,1.0,gaussian,0.0007950683179685785,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,3,349525.3333333333,0.0016914558667664816,0.0007950683179685785,0.9982326035989658,0.0,0.0,0.0,1.3901768128713694e-05,0.7951173021841815,0.0007811665498398647,0.2031153014147843,57.191884557935346,0.0007950683179687953,0.0007807975770730559,1.427074089573946e-05,0.0,0.0007811665498398647,True,seed_exact,seed_exact,seed_exact,ok
nglr_20260605_180452,natural_gradient_local_rate,gaussian,0,2,5.0,0.0,2097152,symmetrized,torch,8192,0.0,0.00022873104997225366,5.7347953507708254e-05,-2.1684908619625858e-16,3.98847798363911,0.0001713830964645454,5.73479535079251e-05,0.9982836628386568,1.0017192880392962,0.002082414450291247,1.3010426069826053e-18,2.207693316065359e-16,1.2942486043731165e-18,2.0338980759780768e-16,0.25,0.0491965649785553,8.765529498990527e-05,0.3838831662811575,0.32240748405456543,ok,,gaussian,160,cuda,float64,torch_dense_eigh,32,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.0023466322682979524,0.0002287310499724705,5,0.0002,0.30191731452941895,0.0013887882232666016,43.388928,ok,0.0,1.0,gaussian,0.00022873104997225366,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,3,699050.6666666666,0.0011960399134683486,0.00022873104997225366,0.9982836628386568,0.0,0.0,0.0,5.859724011783987e-06,0.7953265786452445,0.00022287132596046966,0.2029570841934123,39.03444078804263,0.0002287310499724705,0.0001713830964645454,5.73479535079251e-05,0.0,0.00022287132596046966,True,seed_exact,seed_exact,seed_exact,ok
nglr_20260605_180452,natural_gradient_local_rate,gaussian,0,2,5.0,0.0,4194304,symmetrized,torch,8192,0.0,5.1690990724985735e-05,2.023668991391635e-05,-2.1684908619625858e-16,2.5543204419730183,3.1454300811069387e-05,2.0236689914133202e-05,0.9984205685835192,1.0015819299663684,0.0019058631882197356,4.336808689942018e-19,2.220446049250313e-16,4.915127181270243e-19,3.178314301206649e-17,0.25,0.0491965649785553,1.980924339248526e-05,0.38383052733072553,0.6384978294372559,ok,,gaussian,160,cuda,float64,torch_dense_eigh,32,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.002225721281290954,5.169099072520258e-05,5,0.0002,0.6104042530059814,0.001430511474609375,76.94336,ok,0.0,1.0,gaussian,5.1690990724985735e-05,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,3,1398101.3333333333,0.0008457279333832408,5.1690990724985735e-05,0.9984205685835192,0.0,0.0,0.0,2.2735654685549965e-06,0.795481096768775,4.941742525643074e-05,0.20293947181474425,22.735650870805504,5.169099072520258e-05,3.1454300811069387e-05,2.0236689914133202e-05,0.0,4.941742525643074e-05,True,seed_exact,seed_exact,seed_exact,ok
nglr_20260605_180452,natural_gradient_local_rate,gaussian,1,2,5.0,0.0,262144,symmetrized,torch,8192,0.006838555757583461,0.006972077940434206,0.0069716314283075126,-2.1684908619625858e-16,1.0000640470069717,4.4651212669378354e-07,0.006971631428307729,0.9999332389085747,1.0000667655487663,0.002599888188724798,2.6020852139652106e-18,2.220446049250313e-16,1.939905915646984e-18,1.1760689561290582e-16,0.25,0.0491965649785553,0.002671869641815163,0.3832498795175002,0.05272817611694336,ok,,gaussian,160,cuda,float64,torch_dense_eigh,32,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.005023786568069419,0.006972077940434423,5,0.0002,0.039032697677612305,0.001340627670288086,14.0288,ok,0.0,1.0,gaussian,0.006972077940434206,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,3,87381.33333333333,0.0033829117335329633,0.006972077940434206,0.9999332389085747,0.0,0.0,0.0,2.2816429650821146e-05,0.7513222835709804,0.006949261510783385,0.24861095533759425,305.5726968300356,0.006972077940434423,4.4651212669378354e-07,0.006971631428307729,0.0,0.006949261510783385,True,seed_exact,seed_exact,seed_exact,ok
nglr_20260605_180452,natural_gradient_local_rate,gaussian,1,2,5.0,0.0,524288,symmetrized,torch,8192,1.0842021724855044e-19,0.00023431408784742807,0.0002163034142605887,-2.1684908619625858e-16,1.0832657850011616,1.801067358683938e-05,0.00021630341426080553,0.9983553031710058,1.001647406312933,0.0013830746128025411,4.336808689942018e-19,2.220446049250313e-16,4.464112752416105e-19,3.087990802180283e-16,0.25,0.0491965649785553,8.97948507342941e-05,0.38385561945736807,0.09314155578613281,ok,,gaussian,160,cuda,float64,torch_dense_eigh,32,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.00246616670314588,0.0002343140878476449,5,0.0002,0.07804369926452637,0.0014781951904296875,18.223104,ok,0.0,1.0,gaussian,0.00023431408784742807,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,3,174762.66666666666,0.002392079826936697,0.00023431408784742807,0.9983553031710058,0.0,0.0,0.0,2.910199357111325e-06,0.751060104417683,0.00023140388849031675,0.24729519875332284,80.51478922736383,0.0002343140878476449,1.801067358683938e-05,0.00021630341426080553,0.0,0.00023140388849031675,True,seed_exact,seed_exact,seed_exact,ok
nglr_20260605_180452,natural_gradient_local_rate,gaussian,1,2,5.0,0.0,1048576,symmetrized,torch,8192,0.0,0.0006663750347348743,0.00016619509004472862,-2.1684908619625858e-16,4.009595196558037,0.0005001799446901457,0.00016619509004494546,0.9981354737505881,1.0018680092016023,0.003876460998389429,8.673617379884035e-19,4.440892098500626e-16,1.6263032587282567e-19,3.350952100648066e-16,0.25,0.0491965649785553,0.00025537110178386097,0.3839401598434865,0.17299580574035645,ok,,gaussian,160,cuda,float64,torch_dense_eigh,32,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.0024006753537858918,0.0006663750347350912,5,0.0002,0.15598011016845703,0.001424551010131836,26.611712,ok,0.0,1.0,gaussian,0.0006663750347348743,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,3,349525.3333333333,0.0016914558667664816,0.0006663750347348743,0.9981354737505881,0.0,0.0,0.0,1.2555481488644371e-05,0.750787884766858,0.00065381955324623,0.2473475889837301,53.07443090394963,0.0006663750347350912,0.0005001799446901457,0.00016619509004494546,0.0,0.00065381955324623,True,seed_exact,seed_exact,seed_exact,ok
nglr_20260605_180452,natural_gradient_local_rate,gaussian,1,2,5.0,0.0,2097152,symmetrized,torch,8192,0.0,0.0007444003521475133,1.594033085250669e-05,-2.1684908619625858e-16,46.699178268966286,0.0007284600212950066,1.594033085272354e-05,0.9975345814957589,1.0024715118152037,0.008360995307940412,8.673617379884035e-19,2.2075684560654027e-16,1.2170139202310228e-18,2.5807068608296506e-16,0.25,0.0491965649785553,0.00028527229891173455,0.3841714367061111,0.3358802795410156,ok,,gaussian,160,cuda,float64,torch_dense_eigh,32,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.002982800780782558,0.0007444003521477301,5,0.0002,0.31436681747436523,0.0014104843139648438,43.388928,ok,0.0,1.0,gaussian,0.0007444003521475133,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,3,699050.6666666666,0.0011960399134683486,0.0007444003521475133,0.9975345814957589,0.0,0.0,0.0,6.986114696718489e-07,0.7502873782057204,0.0007437017406778415,0.24724720329003846,1065.5427007191454,0.0007444003521477301,0.0007284600212950066,1.594033085272354e-05,0.0,0.0007437017406778415,True,seed_exact,seed_exact,seed_exact,ok
nglr_20260605_180452,natural_gradient_local_rate,gaussian,1,2,5.0,0.0,4194304,symmetrized,torch,8192,0.0,0.0006012287638322068,3.5053265085399064e-05,-2.1684908619625858e-16,17.151861955439923,0.0005661754987468077,3.505326508561591e-05,0.9982816252243701,1.001721332670271,0.006485403175236429,6.505213034913027e-19,1.3874253464362698e-16,1.0529188523429856e-18,3.3540816314390993e-16,0.25,0.0491965649785553,0.0002304054681536288,0.3838839498334179,0.6489574909210205,ok,,gaussian,160,cuda,float64,torch_dense_eigh,32,32,True,2.11.0+cu128,True,12.8,NVIDIA A100-SXM4-40GB,True,0.0020545887798743877,0.0006012287638324236,5,0.0002,0.6174716949462891,0.0014400482177734375,76.94336,ok,0.0,1.0,gaussian,0.0006012287638322068,2.6094379124341005,0.0,16.32662240617609,1.0,1.0,0.0,False,,,,,3,1398101.3333333333,0.0008457279333832408,0.0006012287638322068,0.9982816252243701,0.0,0.0,0.0,5.797756052410557e-07,0.7501403222708357,0.0006006489882269657,0.24814130295353443,1037.0025202806376,0.0006012287638324236,0.0005661754987468077,3.505326508561591e-05,0.0,0.0006006489882269657,True,seed_exact,seed_exact,seed_exact,ok
