n,omega,tau_type,tau_value,init_name,dt,T,final_energy,final_normalized_energy,time_to_1e_minus_2,time_to_1e_minus_4,time_to_1e_minus_6,monotone_energy_bool,min_eig_min_over_time,max_eig_max_over_time
2,0.5,zero,0.0,mixed,0.02,20.0,0.0,0.0,2.3000000000000003,4.7,7.0,True,0.44626032029685964,8.963378140676129
2,0.5,positive,0.125,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,0.5,positive,0.125,volume_high,0.02,20.0,6.050715484207103e-13,3.7495781996561785e-13,2.3000000000000003,5.6000000000000005,9.0,True,1.0000011000902385,4.0
2,0.5,positive,0.125,volume_low,0.02,20.0,1.0051737220351242e-11,1.5797306772701847e-11,4.8,8.4,11.8,True,0.25,0.9999955163137486
2,0.5,positive,0.125,shape_only,0.02,20.0,1.4834800055041342e-12,5.370654983978174e-13,2.8000000000000003,6.0,9.3,True,0.1353352832366127,7.38905609893065
2,0.5,positive,0.125,mixed,0.02,20.0,3.952393967665557e-14,7.886377896022712e-15,2.1,4.4,6.9,True,0.44626032029685964,8.963378140676129
2,1.0,negative,-0.25,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,1.0,negative,-0.25,volume_high,0.02,20.0,0.0,0.0,1.6,3.7,6.0,True,1.000000001244349,4.0
2,1.0,negative,-0.25,volume_low,0.02,20.0,0.0,0.0,3.2,5.6000000000000005,7.9,True,0.25,0.9999999948793946
2,1.0,negative,-0.25,shape_only,0.02,20.0,1.2438322594121587e-08,4.503056258567232e-09,5.5,10.1,14.700000000000001,True,0.1233811382093469,7.38905609893065
2,1.0,negative,-0.25,mixed,0.02,20.0,2.1182771092753683e-09,4.2266873972857296e-10,3.7,7.8,12.3,True,0.3638281904916887,8.963378140676129
2,1.0,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,1.0,zero,0.0,volume_high,0.02,20.0,5.168860894855243e-10,3.2031002249222885e-10,3.1,7.5,12.0,True,1.0000321526723988,4.0
2,1.0,zero,0.0,volume_low,0.02,20.0,8.503498793999142e-09,1.3364095792131203e-08,6.4,11.200000000000001,15.8,True,0.25,0.9998695947896128
2,1.0,zero,0.0,shape_only,0.02,20.0,1.9741141832341214e-08,7.146901972248246e-09,5.5,10.5,15.1,True,0.1353352832366127,7.38905609893065
2,1.0,zero,0.0,mixed,0.02,20.0,1.0828775653948242e-09,2.1607111451171168e-10,3.0,7.1000000000000005,11.700000000000001,True,0.44626032029685964,8.963378140676129
2,1.0,positive,0.25,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,1.0,positive,0.25,volume_high,0.02,20.0,4.321165096854429e-07,2.677790169868441e-07,4.7,11.200000000000001,18.1,True,1.000929929439204,4.0
2,1.0,positive,0.25,volume_low,0.02,20.0,6.9998467688847654e-06,1.100095678447456e-05,9.6,16.7,inf,True,0.25,0.9962630486749486
2,1.0,positive,0.25,shape_only,0.02,20.0,1.0411272979293784e-06,3.769201803080563e-07,5.5,11.9,18.6,True,0.1353352832366127,7.38905609893065
2,1.0,positive,0.25,mixed,0.02,20.0,2.947852517642957e-08,5.881974096222359e-09,2.8000000000000003,6.9,12.6,True,0.44626032029685964,8.963378140676129
2,2.0,negative,-0.5,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,2.0,negative,-0.5,volume_high,0.02,20.0,5.168860894855243e-10,3.2031002249222885e-10,3.1,7.5,12.0,True,1.0000321526723988,4.0
2,2.0,negative,-0.5,volume_low,0.02,20.0,8.503498793999142e-09,1.3364095792131203e-08,6.4,11.200000000000001,15.8,True,0.25,0.9998695947896128
2,2.0,negative,-0.5,shape_only,0.02,20.0,0.00029449009808191207,0.00010661449477766047,10.9,inf,inf,True,0.12356408095114674,7.38905609893065
2,2.0,negative,-0.5,mixed,0.02,20.0,5.030513668380365e-05,1.0037595473658522e-05,6.2,15.5,inf,True,0.3649612782499923,8.963378140676129
2,2.0,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,2.0,zero,0.0,volume_high,0.02,20.0,1.2448581426349747e-05,7.714282658756092e-06,6.2,15.0,inf,True,1.0049980081908072,4.0
2,2.0,zero,0.0,volume_low,0.02,20.0,0.00019537100879429836,0.00030704501050495177,12.8,inf,inf,True,0.25,0.9803628367297369
2,2.0,zero,0.0,shape_only,0.02,20.0,0.00043975210870672576,0.00015920382112181468,11.0,inf,inf,True,0.1353352832366127,7.38905609893065
2,2.0,zero,0.0,mixed,0.02,20.0,2.5633164319582846e-05,5.1146930733343824e-06,4.9,14.1,inf,True,0.44626032029685964,8.963378140676129
2,2.0,positive,0.5,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
2,2.0,positive,0.5,volume_high,0.02,20.0,0.0003652118358732359,0.00022631874554685712,9.3,inf,inf,True,1.0272703723694083,4.0
2,2.0,positive,0.5,volume_low,0.02,20.0,0.004966071144989037,0.007804675710544808,19.3,inf,inf,True,0.25,0.9036227170975337
2,2.0,positive,0.5,shape_only,0.02,20.0,0.001032345369291976,0.00037374085139021366,10.9,inf,inf,True,0.1353352832366127,7.38905609893065
2,2.0,positive,0.5,mixed,0.02,20.0,3.702256684756655e-05,7.387268456264841e-06,4.7,13.8,inf,True,0.44626032029685964,8.963378140676129
5,0.125,negative,-0.0125,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,0.125,negative,-0.0125,volume_high,0.02,20.0,0.0,0.0,0.2,0.5,0.7000000000000001,True,1.0000000000000002,4.0
5,0.125,negative,-0.0125,volume_low,0.02,20.0,0.0,0.0,0.4,0.7000000000000001,1.0,True,0.25,0.9999999999999993
5,0.125,negative,-0.0125,shape_only,0.02,20.0,0.0,0.0,0.7000000000000001,1.3,1.9000000000000001,True,0.1353352832366127,7.38905609893065
5,0.125,negative,-0.0125,mixed,0.02,20.0,0.0,0.0,1.8,4.1,6.4,True,0.41140495396356425,8.963378140676129
