experiment,method,R,epsilon,dt,eta,num_steps,status,stop_reason,final_c,final_log_c,max_fr_grad_sq,max_fr_grad_norm,max_bw_grad_sq,running_min_bw_grad_sq,theorem_envelope_final,bw_bound_satisfied_all_N,F0,F_star_num,Delta,wall_time_seconds
riemannian_cascade,riemannian,20.0,,1.0,,2,stopped,c_threshold,24018.35058760907,10.086573424983488,388188186.69691867,19702.49189054315,16162.150072752404,,,,,,,0.00020612499999994593
riemannian_cascade,riemannian,50.0,,1.0,,2,stopped,c_threshold,30915.07706088623,10.338999274659342,300344915.70323616,17330.4620741409,9715.159859110709,,,,,,,0.00016362500000000058
riemannian_cascade,riemannian,100.0,,1.0,,2,stopped,c_threshold,32095.77244129957,10.376479600796959,41591780.95954545,6449.169013101257,1295.864775824083,,,,,,,0.00016383399999997383
riemannian_cascade,riemannian,300.0,,1.0,,2,stopped,c_threshold,32456.520514213575,10.387656642291994,322882897.2957278,17968.942575892655,9948.167338342037,,,,,,,0.0001783750000000639
riemannian_cascade,riemannian,1000.0,,1.0,,2,stopped,log_c_overflow_guard,32497.87971389494,10.388930126617172,931019514.2572987,30512.61238008471,28648.62330877629,,,,,,,0.0001651249999999882
kl_pole,kl,1000.0,0.1,1.0,,1,stopped,non_spd,17.999708405248665,2.8903555580565405,360.96429796637665,18.99906044956899,20.0538969765266,,,,,,,0.00011733399999991345
kl_pole,kl,1000.0,0.01,1.0,,1,stopped,non_spd,197.96119572324335,5.28807103029197,39554.387812170076,198.88284946714253,199.80879418140356,,,,,,,0.00011162499999994857
kl_pole,kl,1000.0,0.001,1.0,,1,stopped,non_spd,1994.0199401631348,7.597907950553596,3948563.4096838925,1987.0992450514123,1980.202569770116,,,,,,,0.00011108399999992802
kl_pole,kl,1000.0,0.0001,1.0,,1,stopped,non_spd,19605.960003803117,9.88358888082179,355954404.29738474,18866.753941719406,18155.4182620151,,,,,,,0.00011083299999992136
kl_pole,kl,1000.0,1e-05,1.0,,1,stopped,non_spd,166665.61110126512,12.023744755323754,15383469183.555506,124030.11401895713,92301.39968231715,,,,,,,0.00011445899999995568
kl_pole,kl,1000.0,1e-06,1.0,,1,stopped,non_spd,666667.7776975709,13.410047116401078,56308545388.61253,237294.2169304017,84462.67732195166,,,,,,,0.0001179580000000291
wasserstein_fb,wasserstein_fb,20.0,,,0.9,19999,stopped,max_iter,717.9284046842844,6.576369849151965,8172.2007853066825,90.40022558216701,42.6219559037424,1.9847104540766242e-32,2.169263812503802,1.0,-0.4987541446912317,-260.8104116451475,260.31165750045625,0.990890333
wasserstein_fb,wasserstein_fb,50.0,,,0.9,19999,stopped,max_iter,4472.438901895695,8.405689154450144,350284.4857016272,591.848363773718,277.2986252726731,1.3582571258139965e-29,13.597588931523282,1.0,-0.4998001065761871,-1632.21047188937,1631.7106717827937,0.970021625
wasserstein_fb,wasserstein_fb,100.0,,,0.9,19999,stopped,max_iter,17881.39098262884,9.791515841150636,5634608.3089756025,2373.7329902446068,1096.7553064157316,5.441692846618471e-29,54.4130732938548,1.0,-0.49995000666527795,-6530.068745269241,6529.568795262576,1.0182990840000001
wasserstein_fb,wasserstein_fb,300.0,,,0.9,19999,stopped,max_iter,160910.2071042373,11.988601768533577,428583440.99422586,20702.256905811642,9888.656787488086,2.1492001376087386e-27,489.7782560655959,1.0,-0.49999444453084785,-58773.890722316035,58773.390727871505,1.0006709580000002
wasserstein_fb,wasserstein_fb,1000.0,,,0.9,19999,stopped,max_iter,1787862.9885319322,14.39653160344165,50002129144.21411,223611.55861049338,107542.03508857994,7.12306342470849e-29,5442.057215321139,1.0,-0.49999950011109173,-653047.3658380368,653046.8658385366,1.2758895000000008
