R,eta,N,running_min_bw_grad_sq,theorem_envelope,bound_satisfied,F0,F_star_num,Delta
20.0,0.9,1,3.9801240504250757,43385.276250076044,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,2,3.9801240504250757,21692.638125038022,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,3,3.9801240504250757,14461.758750025347,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,4,3.9801240504250757,10846.319062519011,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,5,3.9801240504250757,8677.055250015208,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,6,3.9801240504250757,7230.879375012673,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,7,3.9801240504250757,6197.896607153721,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,8,0.7196633423420808,5423.1595312595055,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,9,0.09825231479110484,4820.5862500084495,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,10,0.012660715232070964,4338.527625007604,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,11,0.0015977728129271042,3944.1160227341857,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,12,0.00020014634973066072,3615.4396875063367,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,13,2.500566719587945e-05,3337.3289423135416,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,14,3.121228142009099e-06,3098.9483035768603,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,15,3.894663498115121e-07,2892.3517500050693,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,16,4.859191090458897e-08,2711.5797656297527,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,17,6.062338998294276e-09,2552.0750735338847,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,18,7.563279862717953e-10,2410.2931250042247,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,19,9.435782111458258e-11,2283.435592109265,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,20,1.177185357546996e-11,2169.263812503802,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,21,1.4686270533140362e-12,2065.9655357179067,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,22,1.8322219924709319e-13,1972.0580113670928,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,23,2.2858337063596372e-14,1886.3163586989583,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,24,2.8517475665589034e-15,1807.7198437531683,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,25,3.557768576868387e-16,1735.4110500030417,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,26,4.4385808170712057e-17,1668.6644711567708,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,27,5.537465744720754e-18,1606.8620833361497,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,28,6.908389915843149e-19,1549.4741517884302,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,29,8.6187072435309e-20,1496.0440086233118,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,30,1.0753238531144096e-20,1446.1758750025347,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,31,1.3414344940279316e-21,1399.5250403250336,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,32,1.6739352458625921e-22,1355.7898828148764,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,33,2.0904847447983117e-23,1314.7053409113953,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,34,2.608773428856028e-24,1276.0375367669424,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,35,3.2592050457311336e-25,1239.5793214307441,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,36,4.125252138862675e-26,1205.1465625021124,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,37,4.826121450355866e-27,1172.5750337858387,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,38,6.0434929504246875e-28,1141.7177960546326,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,39,1.0423671834769553e-28,1112.4429807711806,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,40,6.79217535146373e-29,1084.631906251901,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,41,1.9847104540766242e-32,1058.1774695140498,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,42,1.9847104540766242e-32,1032.9827678589534,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,43,1.9847104540766242e-32,1008.9599127924661,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,44,1.9847104540766242e-32,986.0290056835464,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,45,1.9847104540766242e-32,964.1172500016899,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,46,1.9847104540766242e-32,943.1581793494792,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,47,1.9847104540766242e-32,923.090984044171,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,48,1.9847104540766242e-32,903.8599218765842,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,49,1.9847104540766242e-32,885.41380102196,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,50,1.9847104540766242e-32,867.7055250015209,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,51,1.9847104540766242e-32,850.6916911779616,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,52,1.9847104540766242e-32,834.3322355783854,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,53,1.9847104540766242e-32,818.590117925963,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,54,1.9847104540766242e-32,803.4310416680748,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,55,1.9847104540766242e-32,788.8232045468371,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,56,1.9847104540766242e-32,774.7370758942151,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,57,1.9847104540766242e-32,761.145197369755,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,58,1.9847104540766242e-32,748.0220043116559,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
