R,beta,lambda_minus,lambda_plus,L_clip,dt_projected_KL_theory,dt_used,dt_rule,safety,dt_times_L_clip,num_steps,final_c,min_c,max_c,final_D_min,final_B_N,min_bound_margin,max_violation,theorem_check_pass,boundary_active_fraction,first_upper_clip_step,first_lower_clip_step,energy_monotone,denominator_positive,theory_version
20.0,1.0,0.5,2.0,4.0,0.25,0.0625,theorem_safe_s0.25,0.25,0.25,300,2.0,1.0,2.0,0.0,0.00017559425621421374,0.00017559425621421374,0.0,True,0.9866666666666667,4,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
20.0,1.0,0.5,2.0,4.0,0.25,0.125,theorem_safe,0.5,0.5,300,2.0,1.0,2.0,0.0,0.0003511885124284275,0.0003511885124284275,0.0,True,0.9933333333333333,2,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
20.0,1.0,0.5,2.0,4.0,0.25,0.225,theorem_safe_s0.9,0.9,0.9,300,2.0,1.0,2.0,0.0,0.0006321393223711695,0.0006321393223711695,0.0,True,0.9966666666666667,1,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
20.0,1.0,0.5,2.0,4.0,0.25,0.5,outside_theorem_2x,0.5,2.0,300,2.0,1.0,2.0,0.0,0.00140475404971371,0.00140475404971371,0.0,True,1.0,0,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
50.0,1.0,0.5,2.0,4.0,0.25,0.0625,theorem_safe_s0.25,0.25,0.25,300,2.0,1.0,2.0,0.0,0.0001762446532478932,0.0001762446532478932,0.0,True,0.9866666666666667,4,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
50.0,1.0,0.5,2.0,4.0,0.25,0.125,theorem_safe,0.5,0.5,300,2.0,1.0,2.0,0.0,0.0003524893064957864,0.0003524893064957864,0.0,True,0.9933333333333333,2,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
50.0,1.0,0.5,2.0,4.0,0.25,0.225,theorem_safe_s0.9,0.9,0.9,300,2.0,1.0,2.0,0.0,0.0006344807516924155,0.0006344807516924155,0.0,True,0.9966666666666667,1,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
50.0,1.0,0.5,2.0,4.0,0.25,0.5,outside_theorem_2x,0.5,2.0,300,2.0,1.0,2.0,0.0,0.0014099572259831457,0.0014099572259831457,0.0,True,1.0,0,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
100.0,1.0,0.5,2.0,4.0,0.25,0.0625,theorem_safe_s0.25,0.25,0.25,300,2.0,1.0,2.0,0.0,0.00017633825769291522,0.00017633825769291522,0.0,True,0.9866666666666667,4,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
100.0,1.0,0.5,2.0,4.0,0.25,0.125,theorem_safe,0.5,0.5,300,2.0,1.0,2.0,0.0,0.00035267651538583043,0.00035267651538583043,0.0,True,0.9933333333333333,2,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
100.0,1.0,0.5,2.0,4.0,0.25,0.225,theorem_safe_s0.9,0.9,0.9,300,2.0,1.0,2.0,0.0,0.0006348177276944947,0.0006348177276944947,0.0,True,0.9966666666666667,1,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
100.0,1.0,0.5,2.0,4.0,0.25,0.5,outside_theorem_2x,0.5,2.0,300,2.0,1.0,2.0,0.0,0.0014107060615433217,0.0014107060615433217,0.0,True,1.0,0,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
300.0,1.0,0.5,2.0,4.0,0.25,0.0625,theorem_safe_s0.25,0.25,0.25,300,2.0,1.0,2.0,0.0,0.0001763660258725299,0.0001763660258725299,0.0,True,0.9866666666666667,4,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
300.0,1.0,0.5,2.0,4.0,0.25,0.125,theorem_safe,0.5,0.5,300,2.0,1.0,2.0,0.0,0.0003527320517450598,0.0003527320517450598,0.0,True,0.9933333333333333,2,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
300.0,1.0,0.5,2.0,4.0,0.25,0.225,theorem_safe_s0.9,0.9,0.9,300,2.0,1.0,2.0,0.0,0.0006349176931411077,0.0006349176931411077,0.0,True,0.9966666666666667,1,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
300.0,1.0,0.5,2.0,4.0,0.25,0.5,outside_theorem_2x,0.5,2.0,300,2.0,1.0,2.0,0.0,0.0014109282069802392,0.0014109282069802392,0.0,True,1.0,0,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
1000.0,1.0,0.5,2.0,4.0,0.25,0.0625,theorem_safe_s0.25,0.25,0.25,300,2.0,1.0,2.0,0.0,0.0001763691854626906,0.0001763691854626906,0.0,True,0.9866666666666667,4,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
1000.0,1.0,0.5,2.0,4.0,0.25,0.125,theorem_safe,0.5,0.5,300,2.0,1.0,2.0,0.0,0.0003527383709253812,0.0003527383709253812,0.0,True,0.9933333333333333,2,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
1000.0,1.0,0.5,2.0,4.0,0.25,0.225,theorem_safe_s0.9,0.9,0.9,300,2.0,1.0,2.0,0.0,0.0006349290676656861,0.0006349290676656861,0.0,True,0.9966666666666667,1,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
1000.0,1.0,0.5,2.0,4.0,0.25,0.5,outside_theorem_2x,0.5,2.0,300,2.0,1.0,2.0,0.0,0.0014109534837015247,0.0014109534837015247,0.0,True,1.0,0,-1,True,True,projected_kl_L_clip_2_beta_lambda_plus
