potential_family,N_theta,kappa_target,gamma_loc_mean,gamma_loc_std,gamma_loc_min,inverse_gamma_loc_mean,inverse_gamma_over_logkappa_mean,Lambda_hat_full_sym_mean,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,current_bound_rate,conjecture_bound_rate,self_adjoint_error_L_star_max,n_seeds
additive_index,4,2.0,0.9663808360944257,0.00821166954217552,0.9569002910938631,1.0348387908134242,0.6111924602273442,0.02852181503019252,0.008565658882368493,,0.23076923076923078,0.06852312846017043,6.661338147750939e-16,3
additive_index,4,5.0,0.9381252580225384,0.013749064998662791,0.9236181362598974,1.0661088117485495,0.40855879600295847,0.057465198202634175,0.02701132260638317,,0.2142857142857143,0.0491965649785553,5.650476793619691e-16,3
additive_index,4,10.0,0.9271199089004463,0.009602092524710833,0.9177476812543786,1.0786862164030426,0.3266187504725673,0.060571107666974856,0.01839661632122745,,0.20754716981132074,0.04054578386931515,8.881784197001252e-16,3
additive_index,4,20.0,0.9177844536040052,0.013165371945142841,0.9026957671623922,1.0897311086302663,0.27272375475271987,0.07022925363359339,0.02399817798316327,,0.20388349514563106,0.0344823648038378,1.1102230246251565e-15,3
additive_index,4,50.0,0.9188552085817735,0.01402949928489291,0.9054402053458521,1.0884796127878487,0.22159497453187793,0.08196447518158942,0.03712680428031716,,0.2015810276679842,0.02879078069520258,1.1102230246251565e-15,3
additive_index,4,100.0,0.9131298423499756,0.01703284492668464,0.8938701579681503,1.0953908661678091,0.19542508609392228,0.07063964157999543,0.036195967681556966,,0.20079522862823063,0.02559495781739623,9.222780293967088e-16,3
additive_index,8,2.0,0.9610048519107594,0.003320213317318668,0.9575745822740364,1.0405857563722918,0.6145867106651394,0.08073755705577089,0.0436616080485252,,0.23076923076923078,0.06852312846017043,4.884981308350689e-15,3
additive_index,8,5.0,0.9305486850212876,0.011910848020966017,0.9186690183919282,1.0747521827828104,0.41187114575961487,0.09538667700327408,0.06105382036375515,,0.2142857142857143,0.0491965649785553,1.7763568394002505e-15,3
additive_index,8,10.0,0.9155049049813461,0.014428107744877612,0.8997590674271737,1.0924752355559482,0.33079397041834757,0.10766064001481555,0.047448327544248915,,0.20754716981132074,0.04054578386931515,1.3322676295501878e-15,3
additive_index,8,20.0,0.9091254826608832,0.01625700737166908,0.8964946002927945,1.1001907915213271,0.2753414683969219,0.13943153265938457,0.07788816878293339,,0.20388349514563106,0.0344823648038378,1.7763568394002505e-15,3
additive_index,8,50.0,0.8994216673731749,0.016532201731617867,0.8841021188628476,1.1120751674326466,0.22639860729555253,0.14584915154616906,0.08261140899321791,,0.2015810276679842,0.02879078069520258,1.7763568394002505e-15,3
additive_index,8,100.0,0.896345882898215,0.018015772179376693,0.8816286137590351,1.11593887652412,0.1990909891217513,0.14007357799910694,0.07132840646282373,,0.20079522862823063,0.02559495781739623,2.220446049250313e-15,3
additive_index,16,2.0,0.9078927358650603,0.006816202395201347,0.9031119549384407,1.1014929286449175,0.6505594677721045,0.19220404561433932,0.05932281323369032,,0.23076923076923078,0.06852312846017043,4.7154097005630154e-15,3
additive_index,16,5.0,0.8873727591313263,0.0074919999828322835,0.8795526340497208,1.1269757506610103,0.4318844856552881,0.18355223883928526,0.06420222588286284,,0.2142857142857143,0.0491965649785553,4.998102528913935e-15,3
additive_index,16,10.0,0.896451569161012,0.004706454951408702,0.8927537173938966,1.1155296806360726,0.3377746974642702,0.2144455863570931,0.08649923069861937,,0.20754716981132074,0.04054578386931515,2.750041522302917e-15,3
additive_index,16,20.0,0.8935549576935355,0.015965593048684713,0.8772264523454342,1.119363906415294,0.2801398666832299,0.2155200338633735,0.08834698316332468,,0.20388349514563106,0.0344823648038378,1.2860971828433212e-15,3
