run_id,experiment_group,potential_family,seed,N_theta,kappa_target,rho,M_mc,operator_estimator,backend,chunk_size,Lambda_hat_raw_forward,Lambda_hat_full_sym,Lambda_hat_diag,Lambda_hat_separable_exact,full_over_diag,full_minus_diag,diag_minus_exact,tau_H,tau_H_sq,coupling_bound_rate,tau_top_total,tau_top_longitudinal,tau_top_mixed,tau_top_transverse,tau_top_longitudinal_fraction,tau_top_mixed_fraction,tau_top_transverse_fraction,tau_top_X_longitudinal_norm_sq,tau_top_X_mixed_norm_sq,tau_top_X_transverse_norm_sq,tau_top_svd_gap,gamma_over_coupling_bound,gamma_loc,inverse_gamma_loc,self_adjoint_error_H_raw,self_adjoint_error_H_sym,self_adjoint_error_L_star,eig_residual_H,eig_residual_L_star,current_bound_rate,conjecture_bound_rate,lambda_over_logkappa,inverse_gamma_over_logkappa,runtime_seconds,status,error_message,family,quadrature_nodes,device,dtype,eigensolver,explicit_dense_max_N_theta,basis_block_size,torch_available,torch_version,cuda_available,cuda_version,device_name,gpu_available,diag_offdiag_norm,full_sym_minus_exact,operator_matrix_dim,dense_matrix_memory_mb,matrix_construction_runtime_seconds,eigh_runtime_seconds,gpu_peak_memory_mb,torch_accumulation_mode,separable_exact_status,Lambda_true,gamma_true,baseline_type,Lambda_hat,log_kappa_factor,Gamma_current,D_kappa,alpha_target,beta_target,L_A,L_A_is_empirical,norm_mean_grad,norm_mean_hess_minus_I,empirical_min_hess_eig,empirical_max_hess_eig
nglr_20260610_232251,natural_gradient_local_rate,product_feature,0,4,10.0,0.40481380963322205,32768,symmetrized,torch,262144,0.07249736121272075,0.07575581963988479,0.05485938460720261,,1.3809090310126926,0.020896435032682174,,0.0817266452797274,0.006679244548678387,0.33259284368729075,0.08172664527972744,0.06796350400763,0.003072377164232121,0.010690764107865298,0.831595421236366,0.03759333511997505,0.13081124364365873,0.8315954212363666,0.037593335119975875,0.1308112436436586,0.04039017781301812,2.8147410393443515,0.9361627265188582,1.0681903601508704,0.13152289756423752,5.551115123125783e-17,7.551998543026325e-16,5.1152286218529335e-17,3.961251597903749e-16,0.20754716981132074,0.04054578386931515,0.022938339969071422,0.3234406775519217,0.22007179260253906,ok,,product_feature,80,cuda,float64,auto,64,32,True,2.12.0+cu130,True,13.0,NVIDIA H200 NVL,True,0.029715849552947877,,14,0.001568,0.14282917976379395,0.005063056945800781,193.993216,generic_dense,not_separable,,,,0.07575581963988479,3.302585092994046,0.8181818181818183,20.663476804965537,0.18181818181818177,1.8181818181818183,2.021131193432172,True,4.20013991207289e-19,0.0,0.671830287255968,1.4090909090909092
nglr_20260610_232251,natural_gradient_local_rate,product_feature,1,4,10.0,0.416550284963479,32768,symmetrized,torch,262144,0.0732765435565941,0.07941920592980259,0.022190328875598037,,3.5790008510030344,0.057228877054204555,,0.0769921215010531,0.005927786773232923,0.33267598922376906,0.07699212150105311,0.04551646850411844,0.004824581830287779,0.026651071166646896,0.5911834563942475,0.06266331848281109,0.3461532251229414,0.5911834563942474,0.06266331848281138,0.34615322512294144,0.015737924138632745,2.7591529816147133,0.9179039475783867,1.08943860916842,0.14234012407098018,1.1102230246251565e-16,1.1102230246251565e-15,5.800471490058014e-17,4.916342217752931e-16,0.20754716981132074,0.04054578386931515,0.02404758808434002,0.3298745008809934,0.07054424285888672,ok,,product_feature,80,cuda,float64,auto,64,32,True,2.12.0+cu130,True,13.0,NVIDIA H200 NVL,True,0.06116899073180912,,14,0.001568,0.012045145034790039,0.0031507015228271484,193.994752,generic_dense,not_separable,,,,0.07941920592980259,3.302585092994046,0.8181818181818183,20.663476804965537,0.18181818181818177,1.8181818181818183,1.9641849921037797,True,3.8786350452013315e-19,0.0,0.5909090909090908,1.375169455999056
nglr_20260610_232251,natural_gradient_local_rate,product_feature,2,4,10.0,0.4441784884296173,32768,symmetrized,torch,262144,0.10353395330345806,0.10429600674205992,0.05386658288269213,,1.9361912555171803,0.05042942385936779,,0.09447029444700893,0.008924636532904566,0.33234464827017757,0.09447029444700891,0.06657853526775012,0.0011191801238215953,0.026772579055437194,0.7047563009883062,0.011846899921005067,0.28339679909068877,0.7047563009883058,0.011846899921004747,0.28339679909068854,0.028164907406482947,2.8031850655661947,0.9316235546518117,1.073394929751152,0.13446861730044218,3.469446951953614e-17,9.503011055220872e-16,3.6107676391371623e-17,7.663394974516388e-16,0.20754716981132074,0.04054578386931515,0.03158011188366009,0.3250165853495201,0.06244039535522461,ok,,product_feature,80,cuda,float64,auto,64,32,True,2.12.0+cu130,True,13.0,NVIDIA H200 NVL,True,0.034377810632297945,,14,0.001568,0.012109756469726562,0.0030868053436279297,193.994752,generic_dense,not_separable,,,,0.10429600674205992,3.302585092994046,0.8181818181818183,20.663476804965537,0.18181818181818177,1.8181818181818183,1.8420113524058335,True,5.115702304751672e-19,0.0,0.5909090909090908,1.4033487385886536
nglr_20260610_232251,natural_gradient_local_rate,random_feature,0,4,10.0,0.8366326923775164,32768,symmetrized,torch,262144,0.1033636705305531,0.10837871915700086,0.08313351924771341,,1.3036705307045187,0.025245199909287447,,0.07273174245069546,0.005289906359914295,0.33274660054717525,0.07273174245069536,0.038045302240328316,0.021854828568498814,0.012831611641868235,0.5230907573281243,0.3004854253741293,0.17642381729774656,0.5230907573281232,0.30048542537412815,0.176423817297746,0.012998939721622443,2.8185775391650574,0.9378720945357956,1.066243473738234,0.15056689820157232,2.7755575615628914e-17,5.296613927993504e-16,1.0261296271831153e-16,3.739928638505326e-16,0.20754716981132074,0.04054578386931515,0.03281632905898793,0.322851173766912,0.06119346618652344,ok,,random_feature,80,cuda,float64,auto,64,32,True,2.12.0+cu130,True,13.0,NVIDIA H200 NVL,True,0.043159914779635204,,14,0.001568,0.011822223663330078,0.0031027793884277344,122.690048,generic_dense,not_separable,,,,0.10837871915700086,3.302585092994046,0.8181818181818183,20.663476804965537,0.18181818181818177,1.8181818181818183,0.9779462667861268,True,4.680804115303049e-19,0.0,0.6478382486147571,1.4090909090909092
nglr_20260610_232251,natural_gradient_local_rate,random_feature,1,4,10.0,0.9364433168166253,32768,symmetrized,torch,262144,0.08697032383043737,0.10099090775399987,0.04189997064888537,,2.4102858830209333,0.0590909371051145,,0.08424247152767697,0.007096794009091465,0.33254666161470314,0.084242471527677,0.01038801723467992,0.06278909331358859,0.011065360979408485,0.12331092673684252,0.7453377396811046,0.13135133358205278,0.12331092673684263,0.7453377396811047,0.13135133358205328,0.009093615144651124,2.810482536206678,0.9346165849419549,1.0699574735902058,0.14458265810515122,1.1102230246251565e-16,8.881784197001252e-16,4.246530788431252e-17,2.600523494180257e-16,0.20754716981132074,0.04054578386931515,0.030579350693563472,0.3239757473198692,0.06113409996032715,ok,,random_feature,80,cuda,float64,auto,64,32,True,2.12.0+cu130,True,13.0,NVIDIA H200 NVL,True,0.045615021881980834,,14,0.001568,0.011827945709228516,0.0030782222747802734,122.690048,generic_dense,not_separable,,,,0.10099090775399987,3.302585092994046,0.8181818181818183,20.663476804965537,0.18181818181818177,1.8181818181818183,0.8737120586894369,True,3.2299932085041353e-19,0.0,0.6089341260083021,1.4090909090909092
nglr_20260610_232251,natural_gradient_local_rate,random_feature,2,4,10.0,0.7350360373496742,32768,symmetrized,torch,262144,0.12125451967017584,0.12331018957352785,0.01214856378746383,,10.15018661718452,0.11116162578606402,,0.10901556592835325,0.011884393614679134,0.3320180555801019,0.10901556592835313,0.10250130992573347,0.003448223109776113,0.0030660328928435523,0.9402447169159226,0.03163055734666684,0.028124725737410757,0.9402447169159195,0.031630557346668205,0.0281247257374108,0.02330860801422875,2.659806370290034,0.8831037392832655,1.1323697947554934,0.2272864441176529,1.1102230246251565e-16,6.661338147750939e-16,1.4285082634114602e-16,8.136278449847342e-16,0.20754716981132074,0.04054578386931515,0.0373374753719783,0.3428737679333838,0.06218576431274414,ok,,random_feature,80,cuda,float64,auto,64,32,True,2.12.0+cu130,True,13.0,NVIDIA H200 NVL,True,0.06107902763648667,,14,0.001568,0.01192164421081543,0.003307342529296875,122.690048,generic_dense,not_separable,,,,0.12331018957352785,3.302585092994046,0.8181818181818183,20.663476804965537,0.18181818181818177,1.8181818181818183,1.1131179651163003,True,2.039073915978264e-19,0.0,0.5909090909090908,1.4028840788726749
nglr_20260610_232251,natural_gradient_local_rate,additive_index,0,4,10.0,0.6902218290026932,32768,symmetrized,torch,262144,0.06281644187462429,0.07128678804468444,0.038783067707654335,,1.8380904930482094,0.032503720337030105,,0.05936841148651969,0.0035246082824327233,0.33294216975696783,0.05936841148651967,0.03157745238168623,0.016608902174857526,0.011182056929975908,0.5318897978069749,0.27975992213685524,0.1883502800561698,0.5318897978069739,0.2797599221368558,0.18835028005616977,0.009272716730286623,2.849919700628343,0.9488584487603288,1.0538979774132664,0.15771734991389083,4.163336342344337e-17,5.909296506201695e-16,5.902522491902194e-17,3.287014905352939e-16,0.20754716981132074,0.04054578386931515,0.021585148009027534,0.3191130425825992,0.06147170066833496,ok,,additive_index,80,cuda,float64,auto,64,32,True,2.12.0+cu130,True,13.0,NVIDIA H200 NVL,True,0.02796955910052184,,14,0.001568,0.011908769607543945,0.0033516883850097656,122.690048,generic_dense,not_separable,,,,0.07128678804468444,3.302585092994046,0.8181818181818183,20.663476804965537,0.18181818181818166,1.8181818181818183,1.1853896585160388,True,4.844816853695761e-19,0.0,0.5909090909090908,1.2863324553106017
nglr_20260610_232251,natural_gradient_local_rate,additive_index,1,4,10.0,0.8953485142491516,32768,symmetrized,torch,262144,0.06787297046111188,0.08113661312365635,0.04847876270927662,,1.6736527210941072,0.03265785041437973,,0.08120304289911737,0.006593934176075894,0.3326022808178249,0.0812030428991174,0.0012991561037127416,0.07345059823017336,0.0064532885652312955,0.01599885986202202,0.904530121136282,0.07947101900169602,0.015998859862022066,0.9045301211362824,0.07947101900169591,0.010992410018505289,2.7895485814597607,0.9278102206456444,1.077806622246649,0.1473344793301265,5.551115123125783e-17,4.111092380931279e-16,6.494217159638439e-17,4.494389680718465e-16,0.20754716981132074,0.04054578386931515,0.024567607143802555,0.3263524154254372,0.06151223182678223,ok,,additive_index,80,cuda,float64,auto,64,32,True,2.12.0+cu130,True,13.0,NVIDIA H200 NVL,True,0.06111679544693357,,14,0.001568,0.011939048767089844,0.003348827362060547,122.690048,generic_dense,not_separable,,,,0.08113661312365635,3.302585092994046,0.8181818181818183,20.663476804965537,0.18181818181818177,1.8181818181818183,0.913813788888625,True,3.103298916503157e-19,0.0,0.6357835222235197,1.4090909090909092
nglr_20260610_232251,natural_gradient_local_rate,additive_index,2,4,10.0,0.7309770101479575,32768,symmetrized,torch,262144,0.11149069902126396,0.11296831749777816,0.015243752735446495,,7.410794405966156,0.09772456476233167,,0.10967617321881762,0.012028862971924086,0.3320021306214559,0.10967617321881752,0.0975822112800045,0.008227053338619722,0.003866908600193297,0.8897302706333118,0.0750122209516349,0.035257508415053256,0.8897302706333104,0.07501222095163483,0.03525750841505313,0.02548307916139822,2.6840097786675154,0.8910969651264374,1.1222123283273784,0.11675498630291065,8.326672684688674e-17,6.661338147750939e-16,7.166108874958765e-17,3.4338762476989256e-16,0.20754716981132074,0.04054578386931515,0.03420602779847339,0.3397981571187942,0.06145024299621582,ok,,additive_index,80,cuda,float64,auto,64,32,True,2.12.0+cu130,True,13.0,NVIDIA H200 NVL,True,0.061295953283808824,,14,0.001568,0.011915922164916992,0.0033349990844726562,122.690048,generic_dense,not_separable,,,,0.11296831749777816,3.302585092994046,0.8181818181818183,20.663476804965537,0.18181818181818177,1.8181818181818183,1.1192989749653133,True,2.9962499489143953e-19,0.0,0.5909090909090908,1.3983959054434987
nglr_20260610_232251,natural_gradient_local_rate,radial_tail,0,4,10.0,0.32119202711001676,32768,symmetrized,torch,262144,0.22547148197552402,0.22908920297313315,0.22580431099200607,,1.0145475166824578,0.0032848919811270805,,1.4383294182735456e-17,2.068791515471116e-34,0.3333333333333333,1.4383294182735437e-17,2.9906203520678165e-18,1.729425467454891e-18,9.663248363212731e-18,,,,0.2079231860290747,0.12023848260927267,0.67183833136165,5.2934387255969306e-18,2.999999999999997,0.9999999999999989,1.000000000000001,0.12612124912122136,1.1102230246251565e-16,8.881784197001252e-16,3.565162733532823e-17,1.3011248059273408e-15,0.20754716981132074,0.04054578386931515,0.06936663144853181,0.3027931065641142,0.05764913558959961,ok,,radial_tail,80,cuda,float64,auto,64,32,True,2.12.0+cu130,True,13.0,NVIDIA H200 NVL,True,0.12405113313832057,,14,0.001568,0.009776830673217773,0.0031249523162841797,56.627712,generic_dense,not_separable,,,,0.22908920297313315,3.302585092994046,0.8181818181818183,20.663476804965537,0.18181818181818177,1.8181818181818183,2.547329164872356,True,4.344417688547221e-19,0.0,0.8322060830196283,1.4090909090909092
