potential_family,N_theta,kappa_target,Lambda_hat_full_sym_mean,Lambda_hat_full_sym_std,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,tau_H_sq_mean,coupling_bound_rate_mean,full_minus_diag_mean,lambda_over_logkappa_mean,self_adjoint_error_H_sym_max,n_seeds
additive_index,4,10.0,0.08846390622203965,0.021785416968685526,0.03416852771745915,,0.007382468476810902,0.3325155270654162,0.0542953785045805,0.026786260983767827,8.326672684688674e-17,3
additive_index,4,50.0,0.12844228186465145,0.009890738338385255,0.06822710350982815,,0.011747201601437407,0.33203360975183777,0.0602151783548233,0.026148550550906074,1.1102230246251565e-16,3
additive_index,4,100.0,0.12560364981782957,0.017531735809387963,0.05909366901847154,,0.012604892621048356,0.3319389753614175,0.06650998079935803,0.022408534558293326,9.71445146547012e-17,3
additive_index,8,10.0,0.13351901451851117,0.020705030027028715,0.07335930571614865,,0.014228511439064945,0.33176067294996087,0.06015970880236251,0.040428637191439014,1.1102230246251565e-16,3
additive_index,8,50.0,0.16230497496408153,0.023699647435649444,0.08965219022097164,,0.01967443476498225,0.33116275202311346,0.07265278474310989,0.033042389008504765,1.6653345369377348e-16,3
additive_index,8,100.0,0.16021859204003022,0.0062788057777961055,0.08028409706359639,,0.020460528639667224,0.3310766222460458,0.07993449497643385,0.028584072690700388,2.220446049250313e-16,3
additive_index,12,10.0,0.18757219759395563,0.016517409506526415,0.0684767221781548,,0.014466361406620916,0.3317337434897596,0.11909547541580083,0.05679556841453163,1.6653345369377348e-16,3
additive_index,12,50.0,0.1839076576046237,0.014911853522570961,0.07218770389243971,,0.020828981849320125,0.331034965745141,0.11171995371218398,0.03744030868776311,2.7755575615628914e-16,3
additive_index,12,100.0,0.21823856471998804,0.03700100834461917,0.09114527143504865,,0.020650674209647616,0.3310545643815621,0.1270932932849394,0.03893522542197645,2.7755575615628914e-16,3
product_feature,4,10.0,0.08649034410391576,0.015528564526859577,0.04363876545516426,,0.007177222618271958,0.33253782706041246,0.042851578648751505,0.026188679979023844,1.1102230246251565e-16,3
product_feature,4,50.0,0.09582260587025936,0.011573934397977098,0.057117942689762675,,0.009264878923304506,0.3323072446217326,0.038704663180496666,0.01950776813633982,2.220446049250313e-16,3
product_feature,4,100.0,0.11536991709962408,0.01969880551384093,0.06805440134503814,,0.010126717906782717,0.33221206061808833,0.047315515754585945,0.020582767921664167,1.1102230246251565e-16,3
product_feature,8,10.0,0.1530846983535834,0.010419465619675689,0.07820137947950469,,0.006826333053652585,0.33257663595455844,0.0748833188740787,0.04635299138191181,2.220446049250313e-16,3
product_feature,8,50.0,0.13576346272131268,0.0217174597503787,0.05631129859866418,,0.009836714682208708,0.332244136235271,0.0794521641226485,0.027639011985750892,2.220446049250313e-16,3
product_feature,8,100.0,0.12653025605673238,0.012222664075324253,0.06075025784770651,,0.0106843728908965,0.33215063079778995,0.06577999820902586,0.022573847333491326,2.220446049250313e-16,3
