potential_family,N_theta,kappa_target,gamma_loc_mean,gamma_loc_std,gamma_loc_min,inverse_gamma_loc_mean,inverse_gamma_over_logkappa_mean,tau_H_sq_mean,coupling_bound_rate_mean,gamma_over_coupling_bound_min,Lambda_hat_full_sym_mean,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,current_bound_rate,conjecture_bound_rate,self_adjoint_error_L_star_max,n_seeds
additive_index,64,100.0,0.4975788081711909,0.014839260752888963,0.4870858662650277,2.01062602579561,0.3587091843922616,0.025530205243815635,0.33052085211469256,1.4750287353688862,0.9972459398263931,0.18048359568205635,,0.20079522862823063,0.02559495781739623,1.0129385643751375e-14,2
additive_index,64,1000.0,0.47690810449758947,0.010940330897613182,0.46917212233146244,2.097391896796563,0.2652322717132103,0.026422271975415874,0.33042345679923635,1.42126660707962,1.0234721107093914,0.18346298183375304,,0.20007995202878273,0.0186996580382348,5.100572647853102e-15,2
product_feature,64,100.0,0.49657236348676304,0.01755288015146789,0.48416060290230534,2.0150640823811043,0.3595009634887445,0.01635546356953389,0.33152594200046204,1.4608299173254111,0.9640619106987545,0.14840004178551636,,0.20079522862823063,0.02559495781739623,9.902838228047248e-15,2
product_feature,64,1000.0,0.501956702893331,0.020693473046114432,0.48732420777612245,1.9938980644535906,0.2521446344897814,0.017152364947892525,0.33143843566378084,1.4710811072819923,1.0343132500570706,0.20038582092232388,,0.20007995202878273,0.0186996580382348,4.319235262276596e-15,2
random_feature,64,100.0,0.4793970380722966,0.005251848019269351,0.4756834207241101,2.086078826971363,0.37217047078894794,0.02512793887557047,0.3305648321210884,1.4403753681940572,1.0096589162503644,0.17726391073379588,,0.20079522862823063,0.02559495781739623,9.598945345821598e-15,2
random_feature,64,1000.0,0.479683612483554,0.002308037393344922,0.4780515835914877,2.084731580928343,0.26363127175537526,0.026673416584974168,0.33039638987459297,1.4489369343330611,1.019018443466853,0.16219172329004972,,0.20007995202878273,0.0186996580382348,7.588087996555004e-15,2
